"Date","Price","Open","High","Low","Vol.","Change %"
"02/10/2023","40.68","40.79","41.09","40.11","426.62K","-0.66%"
"02/09/2023","40.95","42.10","42.12","40.88","519.57K","-1.85%"
"02/08/2023","41.72","41.68","42.10","41.16","573.47K","0.07%"
"02/07/2023","41.69","40.67","41.94","40.44","728.81K","2.58%"
"02/06/2023","40.64","41.99","41.99","40.24","830.28K","-5.02%"
"02/03/2023","42.79","43.22","44.52","42.62","1.13M","-2.62%"
"02/02/2023","43.94","38.20","44.03","38.20","2.16M","15.42%"
"02/01/2023","38.07","36.25","38.71","34.93","3.40M","-7.21%"
"01/31/2023","41.03","39.08","41.09","38.86","879.70K","4.14%"
"01/30/2023","39.40","39.48","40.51","39.25","1.25M","-2.76%"
"01/27/2023","40.52","40.04","41.18","39.01","1.43M","0.72%"
"01/26/2023","40.23","42.89","43.49","38.47","2.01M","-5.83%"
"01/25/2023","42.72","40.20","42.91","39.97","1.93M","5.04%"
"01/24/2023","40.67","39.97","42.00","39.92","888.47K","0.87%"
"01/23/2023","40.32","39.12","41.02","38.69","1.49M","3.70%"
"01/20/2023","38.88","36.66","38.89","36.10","1.52M","7.43%"
"01/19/2023","36.19","36.17","36.81","34.58","1.21M","-3.00%"
"01/18/2023","37.31","38.51","38.76","37.20","766.29K","-3.09%"
"01/17/2023","38.50","38.30","38.90","37.78","939.20K","0.42%"
"01/13/2023","38.34","38.82","39.23","37.89","605.91K","-3.40%"
"01/12/2023","39.69","39.23","40.36","38.51","1.50M","1.53%"
"01/11/2023","39.09","38.70","39.35","38.43","1.05M","0.88%"
"01/10/2023","38.75","38.95","38.99","37.36","950.83K","-1.52%"
"01/09/2023","39.35","41.63","41.63","39.31","688.10K","-4.28%"
"01/06/2023","41.11","40.50","41.37","39.24","804.60K","1.86%"
"01/05/2023","40.36","40.36","40.89","39.65","729.42K","0.62%"
"01/04/2023","40.11","38.90","40.94","38.90","879.52K","5.72%"
"01/03/2023","37.94","38.07","38.92","37.57","664.71K","0.74%"
"12/30/2022","37.66","36.71","37.82","36.58","447.64K","0.91%"
"12/29/2022","37.32","35.79","37.41","35.73","444.17K","4.77%"
"12/28/2022","35.62","37.10","37.25","35.60","503.61K","-3.49%"
"12/27/2022","36.91","37.18","37.90","36.41","486.60K","-1.02%"
"12/23/2022","37.29","36.87","37.47","36.28","421.33K","0.84%"
"12/22/2022","36.98","36.71","37.00","35.65","595.66K","-1.33%"
"12/21/2022","37.48","36.62","37.72","36.54","626.09K","3.88%"
"12/20/2022","36.08","36.92","37.33","36.04","877.40K","-3.14%"
"12/19/2022","37.25","37.98","38.08","36.85","852.37K","-1.61%"
"12/16/2022","37.86","38.96","39.34","36.69","1.37M","-4.13%"
"12/15/2022","39.49","38.80","39.77","38.00","1.47M","-0.95%"
"12/14/2022","39.87","38.79","40.69","38.79","752.32K","1.94%"
"12/13/2022","39.11","40.04","40.63","38.32","605.92K","2.14%"
"12/12/2022","38.29","37.99","38.62","37.88","468.99K","0.26%"
"12/09/2022","38.19","37.14","38.72","36.96","380.32K","1.62%"
"12/08/2022","37.58","38.28","38.42","37.22","408.88K","-1.13%"
"12/07/2022","38.01","37.96","38.49","37.50","337.58K","-0.76%"
"12/06/2022","38.30","38.80","39.22","37.46","394.86K","-1.36%"
"12/05/2022","38.83","39.19","39.42","38.38","269.47K","-2.39%"
"12/02/2022","39.78","40.00","41.09","39.74","445.06K","-1.51%"
"12/01/2022","40.39","40.97","41.37","40.01","571.42K","-1.56%"
"11/30/2022","41.03","40.26","41.07","38.63","859.33K","1.99%"
"11/29/2022","40.23","38.34","40.38","38.34","688.05K","5.59%"
"11/28/2022","38.10","38.96","39.42","37.68","446.54K","-3.69%"
"11/25/2022","39.56","39.76","39.76","39.36","146.88K","-0.18%"
"11/23/2022","39.63","38.78","39.90","38.31","435.40K","1.41%"
"11/22/2022","39.08","38.28","39.08","38.09","488.65K","3.36%"
"11/21/2022","37.81","37.58","38.11","37.02","497.85K","-0.03%"
"11/18/2022","37.82","37.69","37.91","36.28","514.12K","2.19%"
"11/17/2022","37.01","36.50","37.03","35.96","519.45K","-1.83%"
"11/16/2022","37.70","39.20","39.76","37.42","601.17K","-4.61%"
"11/15/2022","39.52","41.38","41.59","39.38","651.26K","-2.92%"
"11/14/2022","40.71","42.16","42.72","40.71","760.56K","-5.28%"
"11/11/2022","42.98","40.58","43.24","40.43","996.78K","6.31%"
"11/10/2022","40.43","38.44","41.18","38.44","1.16M","10.07%"
"11/09/2022","36.73","36.63","37.20","35.95","859.57K","-1.69%"
"11/08/2022","37.36","36.89","37.65","36.55","701.31K","1.41%"
"11/07/2022","36.84","35.50","36.94","34.76","811.12K","5.17%"
"11/04/2022","35.03","34.84","35.95","34.68","605.35K","2.49%"
"11/03/2022","34.18","34.71","34.93","33.75","722.94K","-3.56%"
"11/02/2022","35.44","36.33","37.13","35.29","1.55M","-3.46%"
"11/01/2022","36.71","36.81","37.49","36.25","10.88M","1.66%"
"10/31/2022","36.11","36.41","37.11","35.79","2.11M","-2.43%"
"10/28/2022","37.01","35.13","37.49","34.81","2.85M","7.18%"
"10/27/2022","34.53","33.45","35.13","32.75","1.15M","5.89%"
"10/26/2022","32.61","32.93","33.53","32.20","949.14K","-0.09%"
"10/25/2022","32.64","30.51","32.96","30.18","1.19M","7.09%"
