"Date","Price","Open","High","Low","Vol.","Change %"
"02/10/2023","7.970","7.780","7.980","7.650","41.61K","2.57%"
"02/09/2023","7.770","7.845","7.900","7.720","29.97K","0.00%"
"02/08/2023","7.770","7.650","7.860","7.600","103.41K","2.24%"
"02/07/2023","7.600","8.010","8.010","7.550","71.64K","-4.40%"
"02/06/2023","7.950","7.870","8.220","7.830","60.17K","-0.38%"
"02/03/2023","7.980","8.260","8.335","7.910","68.00K","-3.86%"
"02/02/2023","8.300","8.400","8.400","8.110","67.90K","0.24%"
"02/01/2023","8.280","8.380","8.465","8.100","77.80K","-1.43%"
"01/31/2023","8.400","7.450","8.555","7.392","88.49K","10.82%"
"01/30/2023","7.580","7.620","7.730","7.380","124.71K","-0.66%"
"01/27/2023","7.630","7.850","7.930","7.465","81.70K","-2.80%"
"01/26/2023","7.850","8.010","8.030","7.755","79.35K","-2.00%"
"01/25/2023","8.010","7.970","8.250","7.725","85.25K","-0.37%"
"01/24/2023","8.040","8.190","8.340","7.890","76.50K","-2.19%"
"01/23/2023","8.220","8.590","8.649","8.130","62.91K","-4.75%"
"01/20/2023","8.630","8.590","8.675","8.285","81.49K","2.01%"
"01/19/2023","8.460","8.590","8.750","8.280","82.67K","4.32%"
"01/18/2023","8.110","8.440","8.640","7.920","95.90K","-5.59%"
"01/17/2023","8.590","8.800","8.800","8.330","129.84K","-1.83%"
"01/13/2023","8.750","8.245","8.900","8.235","120.93K","1.27%"
"01/12/2023","8.640","8.040","8.680","7.895","72.63K","7.33%"
"01/11/2023","8.050","7.810","8.090","7.810","44.22K","2.16%"
"01/10/2023","7.880","7.740","8.055","7.690","87.37K","1.03%"
"01/09/2023","7.800","7.630","7.820","7.250","86.37K","1.96%"
"01/06/2023","7.650","7.170","7.750","6.990","108.69K","5.66%"
"01/05/2023","7.240","7.580","7.730","7.210","109.49K","-4.11%"
"01/04/2023","7.550","7.440","7.620","7.400","53.33K","1.62%"
"01/03/2023","7.430","7.360","7.770","7.180","99.89K","1.09%"
"12/30/2022","7.350","6.680","7.400","6.680","211.24K","9.70%"
"12/29/2022","6.700","5.810","6.760","5.810","83.58K","11.48%"
"12/28/2022","6.010","6.140","6.240","5.930","82.81K","-3.06%"
"12/27/2022","6.200","6.560","6.610","5.950","132.39K","-4.91%"
"12/23/2022","6.520","7.220","7.220","6.465","106.91K","-9.82%"
"12/22/2022","7.230","6.980","7.530","6.930","136.82K","2.55%"
"12/21/2022","7.050","6.780","7.080","6.720","97.45K","4.29%"
"12/20/2022","6.760","6.540","6.770","6.530","92.07K","2.89%"
"12/19/2022","6.570","6.880","6.880","6.170","136.61K","-3.67%"
"12/16/2022","6.820","6.550","7.160","6.220","1.23M","4.44%"
