"Date","Price","Open","High","Low","Vol.","Change %"
"01/24/2017","213.00","213.00","213.00","213.00","2.70K","49.68%"
"01/22/2016","142.30","142.30","142.30","142.30","0.05K","23.74%"
"10/28/2015","115.00","115.00","115.00","115.00","0.10K","-41.62%"
"09/08/2015","197.00","197.00","197.00","197.00","0.10K","-9.43%"
"07/24/2015","217.50","217.50","217.50","217.50","0.33K","4.07%"
"07/07/2015","209.00","202.85","209.00","202.85","0.70K","1.46%"
"07/06/2015","206.00","206.00","206.00","206.00","0.25K","1.23%"
"07/01/2015","203.50","203.50","203.50","203.50","0.12K","-22.03%"
"06/23/2015","261.00","261.00","261.00","261.00","0.05K","1.16%"
"05/06/2015","258.00","258.00","258.00","258.00","0.19K","-3.97%"
"04/27/2015","268.66","268.66","268.66","268.66","0.50K","-0.50%"
"04/24/2015","270.00","270.00","270.00","270.00","0.35K","-0.99%"
"04/15/2015","272.70","272.70","272.70","272.70","0.10K","4.28%"
"04/14/2015","261.50","261.50","261.50","261.50","0.09K","1.83%"
"04/13/2015","256.81","256.81","256.81","256.81","0.17K","-38.12%"
"03/09/2015","415.00","415.00","415.00","415.00","6.00K","6.96%"
"02/13/2015","388.00","388.00","388.00","388.00","6.00K","17.75%"
"10/16/2014","329.50","329.50","329.50","329.50","0.70K","-2.08%"
"10/15/2014","336.50","336.50","336.50","336.50","1.40K","-6.27%"
"09/15/2014","359.00","359.00","359.00","359.00","0.50K","0.56%"
"09/04/2014","357.00","357.00","357.00","357.00","1.00K","0.00%"
"08/15/2014","357.00","357.00","357.00","357.00","0.05K","-5.05%"
"06/23/2014","376.00","379.00","379.00","376.00","0.11K","-0.82%"
"06/20/2014","379.10","378.50","380.00","378.50","5.23K","-9.09%"
"04/03/2014","417.00","426.00","426.00","417.00","25.07K","-8.55%"
"04/01/2014","456.00","452.50","456.00","450.50","1.87K","2.24%"
"03/31/2014","446.00","446.00","446.00","446.00","0.35K","9.37%"
"03/12/2014","407.80","407.80","407.80","407.80","0.02K","2.72%"
"03/11/2014","397.00","397.00","397.00","397.00","0.01K","-16.10%"
"03/10/2014","473.19","473.19","473.19","473.19","0.01K","8.28%"
"03/04/2014","437.00","437.00","437.00","437.00","0.03K","0.69%"
"03/03/2014","434.00","434.00","434.00","434.00","0.21K","-3.77%"
"02/27/2014","451.00","451.00","451.00","451.00","2.00K","4.04%"
"02/21/2014","433.50","433.50","433.50","433.50","0.02K","-2.00%"
"02/20/2014","442.35","442.00","443.00","442.00","9.24K","2.63%"
"02/18/2014","431.00","431.00","431.00","431.00","0.06K","-2.71%"
"02/07/2014","443.00","443.00","443.00","443.00","0.35K","-5.52%"
"01/23/2014","468.90","468.80","468.90","468.80","13.47K","-0.45%"
"01/22/2014","471.00","468.00","471.75","468.00","21.76K","41.44%"
"12/17/2013","333.00","333.00","333.00","333.00","0.02K","4.23%"
"12/09/2013","319.50","319.50","319.50","319.50","0.06K","-0.16%"
"12/06/2013","320.00","320.15","320.15","320.00","28.63K","-4.05%"
"12/05/2013","333.50","333.10","333.50","332.76","11.57K","-2.32%"
"11/27/2013","341.43","341.43","341.43","341.43","0.21K","0.72%"
"11/26/2013","339.00","339.00","339.00","339.00","0.55K","-2.81%"
"11/25/2013","348.80","348.80","348.80","348.80","3.12K","3.50%"
"11/20/2013","337.00","339.00","339.00","335.50","5.25K","-2.36%"
"11/06/2013","345.16","345.16","345.16","345.16","0.04K","4.59%"
"11/05/2013","330.00","329.00","330.00","328.00","5.38K","-2.37%"
"11/04/2013","338.00","338.00","338.00","338.00","0.14K","-0.80%"
"11/01/2013","340.73","342.00","342.00","340.50","2.16K","1.11%"
"10/31/2013","337.00","337.00","337.00","337.00","0.02K","-9.65%"
"10/29/2013","373.00","373.00","373.00","373.00","0.20K","5.34%"
"10/25/2013","354.10","354.10","354.10","354.10","0.22K","-3.65%"
"10/24/2013","367.50","345.10","367.90","345.10","49.37K","36.11%"
"10/15/2013","270.00","270.00","270.00","270.00","0.01K","-0.74%"
"10/02/2013","272.00","272.00","272.00","272.00","0.50K","2.26%"
"09/23/2013","266.00","266.00","266.00","266.00","0.10K","-2.35%"
"09/12/2013","272.40","272.40","272.40","272.40","0.07K","0.52%"
"09/10/2013","271.00","271.00","271.00","271.00","0.02K","2.23%"
"09/06/2013","265.10","265.10","265.10","265.10","0.57K","1.65%"
"09/05/2013","260.80","260.80","260.80","260.80","0.10K","7.92%"
"08/20/2013","241.65","241.65","241.65","240.00","47.00K","-5.61%"
"08/09/2013","256.00","256.55","256.55","256.00","18.89K","6.67%"
"08/05/2013","240.00","240.00","240.00","240.00","0.06K","3.96%"
"07/23/2013","230.85","230.80","231.00","230.80","28.12K","-3.33%"
"07/12/2013","238.80","239.00","239.20","238.00","30.98K","-4.10%"
"07/11/2013","249.00","249.00","249.00","249.00","3.53K","9.98%"
"07/09/2013","226.40","227.00","227.00","226.40","28.75K","-13.32%"
"06/21/2013","261.20","261.20","261.20","261.20","0.02K","-4.04%"
"06/14/2013","272.20","272.20","272.20","272.20","0.28K","7.17%"
"06/03/2013","254.00","254.00","254.00","254.00","0.51K","-2.23%"
"05/28/2013","259.80","262.90","263.80","259.80","47.70K","1.68%"
"05/23/2013","255.50","255.50","255.50","255.50","13.14K","0.39%"
"05/22/2013","254.50","263.50","263.50","254.50","26.60K","1.27%"
"05/15/2013","251.30","251.30","251.30","251.30","27.48K","-0.30%"
"05/14/2013","252.06","242.00","252.06","242.00","24.46K","16.16%"
"04/29/2013","217.00","217.00","217.00","217.00","0.02K","5.08%"
"04/10/2013","206.50","206.50","206.50","206.50","3.00K","-14.53%"
"01/10/2013","241.60","241.60","241.60","241.60","0.06K","-11.92%"
"01/07/2013","274.31","274.31","274.31","274.31","23.27K","11.51%"
"12/03/2012","246.00","246.00","246.00","246.00","0.17K","-8.62%"
"10/18/2012","269.20","269.20","269.20","269.20","1.00K","-23.47%"
"10/16/2012","351.78","351.78","351.78","351.78","0.26K","-4.66%"
"10/12/2012","368.98","368.98","368.98","368.98","0.76K","0.73%"
"10/04/2012","366.31","366.31","366.31","366.31","0.28K","1.79%"
"10/03/2012","359.86","359.86","359.86","359.86","0.37K","-3.42%"
"10/02/2012","372.60","372.60","372.60","372.60","0.29K","-1.24%"
"09/28/2012","377.29","377.29","377.29","377.29","0.14K","1.20%"
"09/26/2012","372.80","372.80","372.80","372.80","0.36K","-1.32%"
"09/21/2012","377.78","377.78","377.78","377.78","0.10K","-1.49%"
"09/18/2012","383.49","383.49","383.49","383.49","1.74K","3.42%"
"09/17/2012","370.80","370.80","370.80","370.80","0.99K","-0.93%"
"09/14/2012","374.27","374.27","374.27","374.27","0.31K","-4.29%"
"09/07/2012","391.05","391.05","391.05","391.05","0.32K","5.63%"
"09/05/2012","370.20","370.20","370.20","370.20","0.13K","4.28%"
"08/31/2012","354.99","354.99","354.99","354.99","0.17K","0.37%"
"08/29/2012","353.68","353.68","353.68","353.68","0.09K","0.12%"
"08/28/2012","353.24","353.24","353.24","353.24","0.22K","-1.01%"
"08/27/2012","356.84","356.84","356.84","356.84","0.94K","0.26%"
"08/24/2012","355.90","355.90","355.90","355.90","1.07K","-1.66%"
"08/23/2012","361.92","361.92","361.92","361.92","0.38K","-2.03%"
"08/22/2012","369.41","369.41","369.41","369.41","0.75K","-2.40%"
"08/21/2012","378.49","378.49","378.49","378.49","0.37K","-0.58%"
"08/16/2012","380.71","380.71","380.71","380.71","0.34K","6.36%"
"08/06/2012","357.95","357.95","357.95","357.95","0.24K","2.40%"
"08/03/2012","349.57","349.57","349.57","349.57","0.09K","0.11%"
"08/02/2012","349.20","349.20","349.20","349.20","0.31K","-3.80%"
"07/31/2012","363.00","363.00","363.00","363.00","0.14K","0.13%"
"07/30/2012","362.53","362.53","362.53","362.53","0.21K","-1.53%"
"07/26/2012","368.16","368.16","368.16","368.16","0.17K","-5.77%"
"07/23/2012","390.70","390.70","390.70","390.70","0.30K","-1.34%"
"07/20/2012","396.00","396.00","396.00","396.00","0.50K","-1.72%"
"07/18/2012","402.95","402.95","402.95","402.95","0.22K","-5.01%"
"07/13/2012","424.22","424.22","424.22","424.22","0.51K","-2.16%"
"07/11/2012","433.60","433.60","433.60","433.60","0.74K","-5.48%"
"07/10/2012","458.72","458.72","458.72","458.72","0.83K","-2.33%"
"07/09/2012","469.65","469.65","469.65","469.65","1.21K","-4.38%"
"07/06/2012","491.18","490.00","491.18","490.00","4.44K","0.80%"
"07/05/2012","487.30","487.30","487.30","487.30","2.23K","-0.49%"
"07/02/2012","489.70","489.70","489.70","489.70","0.05K","0.91%"
"06/29/2012","485.30","485.30","485.30","485.30","0.10K","-1.35%"
"06/27/2012","491.94","491.94","491.94","491.94","0.12K","6.11%"
"06/22/2012","463.63","463.63","463.63","463.63","0.13K","-0.32%"
"06/19/2012","465.14","465.14","465.14","465.14","0.13K","0.71%"
"06/18/2012","461.87","461.87","461.87","461.87","0.11K","-4.37%"
"06/07/2012","483.00","483.00","483.00","483.00","0.01K","5.57%"
"05/30/2012","457.53","457.53","457.53","457.53","0.29K","-1.93%"
"05/29/2012","466.53","466.53","466.53","466.53","0.37K","-13.80%"
"03/05/2012","541.20","541.20","541.20","541.20","0.07K","-6.45%"
"02/28/2012","578.50","578.50","578.50","578.50","0.07K","-24.09%"
"01/09/2012","762.13","762.13","762.13","762.13","0.04K","31.53%"
