"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2020","5.600","5.640","5.920","5.050","165.45M","-0.88%"
"01/02/2020","5.650","5.640","5.680","5.470","19.86M","0.18%"
"12/31/2019","5.640","5.640","5.640","5.490","9.23M","-1.05%"
"12/30/2019","5.700","5.700","5.765","5.660","3.18M","0.35%"
"12/27/2019","5.680","5.780","5.795","5.635","2.22M","-1.63%"
"12/26/2019","5.774","5.734","5.784","5.694","2.18M","0.70%"
"12/24/2019","5.734","5.804","5.804","5.724","828.70K","-0.52%"
"12/23/2019","5.764","5.674","5.784","5.644","5.86M","2.49%"
"12/20/2019","5.624","5.684","5.734","5.574","18.14M","-0.53%"
"12/19/2019","5.654","5.445","5.684","5.415","15.83M","4.03%"
"12/18/2019","5.435","5.315","5.455","5.255","20.26M","2.45%"
"12/17/2019","5.305","5.445","5.510","5.305","4.51M","-4.50%"
"12/16/2019","5.555","5.285","5.595","5.285","10.49M","4.81%"
"12/13/2019","5.300","5.180","5.390","5.120","10.95M","3.52%"
"12/12/2019","5.120","4.930","5.155","4.930","3.33M","3.02%"
"12/11/2019","4.970","4.890","4.970","4.859","2.58M","1.64%"
"12/10/2019","4.890","4.860","4.905","4.740","10.20M","1.45%"
"12/09/2019","4.820","4.920","4.920","4.790","5.38M","-1.63%"
"12/06/2019","4.900","4.840","4.900","4.805","3.03M","1.45%"
"12/05/2019","4.830","4.800","4.850","4.760","3.84M","1.05%"
"12/04/2019","4.780","4.760","4.830","4.740","5.91M","0.21%"
"12/03/2019","4.770","4.630","4.780","4.560","15.78M","2.58%"
"12/02/2019","4.650","4.580","4.680","4.520","5.08M","1.31%"
"11/29/2019","4.590","4.580","4.641","4.540","3.05M","2.46%"
"11/27/2019","4.480","4.440","4.500","4.370","2.80M","0.45%"
"11/26/2019","4.460","4.410","4.490","4.280","10.31M","0.90%"
"11/25/2019","4.420","4.430","4.455","4.380","2.43M","-0.45%"
"11/22/2019","4.440","4.410","4.485","4.380","4.93M","0.68%"
"11/21/2019","4.410","4.350","4.430","4.325","8.21M","2.08%"
"11/20/2019","4.320","4.340","4.370","4.280","3.48M","-0.46%"
"11/19/2019","4.340","4.300","4.360","4.220","8.47M","1.17%"
"11/18/2019","4.290","4.430","4.445","4.270","13.37M","-3.60%"
"11/15/2019","4.450","4.470","4.540","4.400","8.37M","0.45%"
"11/14/2019","4.430","4.500","4.550","4.410","10.21M","-1.12%"
"11/13/2019","4.480","4.500","4.550","4.400","6.83M","-0.88%"
"11/12/2019","4.520","4.690","4.690","4.500","4.87M","-3.62%"
"11/11/2019","4.690","4.620","4.700","4.610","4.26M","1.08%"
"11/08/2019","4.640","4.710","4.790","4.590","7.89M","-2.52%"
"11/07/2019","4.760","4.600","4.785","4.580","11.35M","10.19%"
"11/06/2019","4.320","4.170","4.400","4.170","10.60M","3.10%"
"11/05/2019","4.190","4.210","4.230","4.140","4.60M","-0.95%"
"11/04/2019","4.230","4.410","4.440","4.205","6.96M","-2.76%"
"11/01/2019","4.350","4.340","4.480","4.270","7.87M","1.40%"
"10/31/2019","4.290","4.330","4.340","4.160","5.69M","0.70%"
"10/30/2019","4.260","4.170","4.270","4.120","3.75M","3.15%"
"10/29/2019","4.130","4.250","4.250","4.100","3.76M","-2.82%"
"10/28/2019","4.250","4.250","4.360","4.210","5.10M","-0.93%"
"10/25/2019","4.290","4.100","4.310","4.100","6.04M","4.63%"
"10/24/2019","4.100","4.240","4.240","4.090","3.12M","-3.30%"
"10/23/2019","4.240","4.320","4.330","4.130","6.60M","-0.93%"
"10/22/2019","4.280","4.170","4.330","4.150","3.43M","2.39%"
"10/21/2019","4.180","4.180","4.240","4.100","3.21M","-0.24%"
"10/18/2019","4.190","4.230","4.260","4.140","1.52M","0.48%"
"10/17/2019","4.170","4.150","4.250","4.140","4.21M","0.97%"
