"Date","Price","Open","High","Low","Vol.","Change %"
"02/10/2023","0.31","0.34","0.34","0.30","3.15M","-11.02%"
"02/09/2023","0.35","0.36","0.37","0.33","3.24M","-2.94%"
"02/08/2023","0.36","0.32","0.37","0.32","6.55M","18.60%"
"02/07/2023","0.30","0.38","0.38","0.30","7.29M","-21.57%"
"02/06/2023","0.38","0.41","0.42","0.37","5.45M","-4.03%"
"02/03/2023","0.40","0.40","0.42","0.37","6.84M","2.56%"
"02/02/2023","0.39","0.41","0.47","0.39","17.81M","-3.96%"
"02/01/2023","0.41","0.35","0.47","0.34","19.87M","13.72%"
"01/31/2023","0.36","0.32","0.36","0.32","5.15M","13.22%"
"01/30/2023","0.32","0.32","0.35","0.31","6.51M","-2.53%"
"01/27/2023","0.32","0.38","0.40","0.32","13.48M","-8.07%"
"01/26/2023","0.35","0.35","0.48","0.32","52.70M","-3.40%"
"01/25/2023","0.36","0.28","0.38","0.26","44.59M","31.03%"
"01/24/2023","0.28","0.24","0.32","0.23","20.61M","18.64%"
"01/23/2023","0.23","0.23","0.25","0.22","4.66M","5.02%"
"01/20/2023","0.22","0.25","0.25","0.22","8.21M","-6.69%"
"01/19/2023","0.24","0.28","0.28","0.24","5.54M","-13.36%"
"01/18/2023","0.28","0.31","0.32","0.27","9.64M","-13.34%"
"01/17/2023","0.32","0.27","0.34","0.27","15.02M","12.98%"
"01/13/2023","0.28","0.25","0.32","0.25","15.60M","7.80%"
"01/12/2023","0.26","0.28","0.33","0.23","23.06M","-20.34%"
"01/11/2023","0.33","0.25","0.40","0.24","90.97M","56.38%"
"01/10/2023","0.21","0.20","0.22","0.19","5.18M","2.94%"
"01/09/2023","0.20","0.21","0.22","0.20","4.35M","-3.27%"
"01/06/2023","0.21","0.19","0.23","0.19","10.73M","11.53%"
"01/05/2023","0.19","0.19","0.19","0.18","5.85M","0.00%"
"01/04/2023","0.19","0.19","0.20","0.19","4.65M","0.00%"
"01/03/2023","0.19","0.20","0.22","0.18","8.97M","-3.06%"
"12/30/2022","0.20","0.18","0.21","0.18","12.09M","6.23%"
"12/29/2022","0.18","0.19","0.20","0.18","7.90M","0.00%"
"12/28/2022","0.19","0.18","0.20","0.18","7.57M","0.00%"
"12/27/2022","0.18","0.21","0.22","0.18","14.09M","-9.35%"
"12/23/2022","0.20","0.20","0.23","0.19","18.28M","2.62%"
"12/22/2022","0.19","0.22","0.22","0.18","15.45M","-13.11%"
"12/21/2022","0.22","0.23","0.28","0.21","56.92M","7.78%"
"12/20/2022","0.21","0.16","0.38","0.15","149.19M","37.36%"
"12/19/2022","0.15","0.23","0.24","0.12","32.74M","-35.94%"
"12/16/2022","0.24","0.31","0.33","0.17","49.95M","-54.10%"
"12/15/2022","0.52","0.60","0.64","0.50","10.29M","-12.53%"
"12/14/2022","0.59","0.70","0.72","0.55","19.01M","-14.70%"
"12/13/2022","0.69","0.76","0.89","0.67","25.02M","-40.47%"
"12/12/2022","1.16","1.15","1.18","1.11","1.12M","1.75%"
"12/09/2022","1.14","1.10","1.19","1.10","1.17M","1.79%"
"12/08/2022","1.12","1.14","1.16","1.09","1.21M","-1.75%"
"12/07/2022","1.14","1.20","1.24","1.13","1.58M","-6.56%"
"12/06/2022","1.22","1.23","1.26","1.20","1.64M","-2.40%"
"12/05/2022","1.25","1.22","1.34","1.20","1.62M","0.00%"
"12/02/2022","1.25","1.10","1.29","1.08","3.62M","4.17%"
"12/01/2022","1.20","1.06","1.23","1.03","5.11M","24.22%"
"11/30/2022","0.97","0.98","1.03","0.82","12.88M","-13.75%"
"11/29/2022","1.12","1.11","1.18","1.10","1.98M","0.90%"
"11/28/2022","1.11","1.13","1.28","1.09","3.13M","-2.63%"
"11/25/2022","1.14","1.23","1.27","1.11","1.34M","-3.39%"
"11/23/2022","1.18","1.21","1.25","1.15","1.65M","-4.84%"
"11/22/2022","1.24","1.22","1.26","1.18","2.45M","3.33%"
"11/21/2022","1.20","1.29","1.33","1.17","2.27M","-9.77%"
"11/18/2022","1.33","1.46","1.47","1.28","2.90M","-5.00%"
"11/17/2022","1.40","1.54","1.57","1.33","4.08M","-12.50%"
"11/16/2022","1.60","1.59","1.65","1.55","1.57M","-1.84%"
"11/15/2022","1.63","1.61","1.72","1.58","3.21M","3.82%"
"11/14/2022","1.57","1.59","1.62","1.52","1.74M","-5.42%"
"11/11/2022","1.66","1.51","1.68","1.51","2.80M","7.79%"
"11/10/2022","1.54","1.38","1.54","1.37","2.37M","15.79%"
"11/09/2022","1.33","1.50","1.54","1.28","3.99M","-13.64%"
"11/08/2022","1.54","1.52","1.57","1.48","2.54M","1.99%"
"11/07/2022","1.51","1.47","1.60","1.47","2.20M","-3.21%"
"11/04/2022","1.56","1.57","1.62","1.46","1.96M","-0.64%"
"11/03/2022","1.57","1.55","1.59","1.47","2.35M","-0.63%"
"11/02/2022","1.58","1.57","1.79","1.51","5.43M","2.60%"
"11/01/2022","1.54","1.62","1.64","1.46","3.09M","-2.53%"
"10/31/2022","1.58","1.46","1.58","1.41","3.80M","8.22%"
"10/28/2022","1.46","1.41","1.47","1.33","1.81M","5.04%"
"10/27/2022","1.39","1.42","1.46","1.33","3.06M","-1.42%"
"10/26/2022","1.41","1.36","1.48","1.35","2.58M","1.44%"
"10/25/2022","1.39","1.25","1.41","1.23","3.73M","13.01%"
"10/24/2022","1.23","1.13","1.23","1.08","2.93M","5.13%"
"10/21/2022","1.17","1.20","1.23","1.15","2.21M","-2.50%"
"10/20/2022","1.20","1.20","1.29","1.15","2.09M","-1.64%"
"10/19/2022","1.22","1.34","1.35","1.20","2.77M","-9.63%"
"10/18/2022","1.35","1.37","1.48","1.30","3.98M","3.05%"
"10/17/2022","1.31","1.31","1.38","1.27","3.09M","4.80%"
"10/14/2022","1.25","1.27","1.32","1.22","3.18M","0.00%"
"10/13/2022","1.25","1.13","1.30","1.10","4.78M","6.84%"
"10/12/2022","1.17","1.16","1.20","1.09","2.77M","1.74%"
