"Date","Price","Open","High","Low","Vol.","Change %"
"12/28/2017","331.24","333.49","334.03","331.24","4.71M","-0.59%"
"12/27/2017","333.19","333.20","333.29","332.56","428.21K","-0.07%"
"12/26/2017","333.41","332.60","333.41","331.57","610.95K","0.34%"
"12/22/2017","332.28","331.25","333.67","330.69","1.43M","0.27%"
"12/21/2017","331.40","332.88","333.39","331.40","384.69K","-0.35%"
"12/20/2017","332.56","333.55","334.38","332.50","641.07K","-0.38%"
"12/19/2017","333.83","334.11","334.71","333.02","674.77K","0.01%"
"12/18/2017","333.81","333.92","335.01","333.36","665.88K","-0.21%"
"12/15/2017","334.50","333.00","335.34","332.31","919.56K","0.72%"
"12/14/2017","332.10","332.00","333.21","331.85","591.76K","0.03%"
"12/13/2017","332.00","332.09","333.38","331.96","992.17K","-0.03%"
"12/12/2017","332.09","332.00","333.36","331.79","500.59K","0.01%"
"12/11/2017","332.06","332.00","333.00","331.68","435.66K","-0.22%"
"12/08/2017","332.80","331.88","333.16","331.52","909.30K","0.22%"
"12/07/2017","332.07","331.50","332.34","331.22","569.19K","-0.02%"
"12/06/2017","332.14","332.10","333.48","331.78","811.57K","-0.11%"
"12/05/2017","332.49","332.50","333.51","332.00","710.07K","-0.02%"
"12/04/2017","332.55","337.25","337.25","332.51","344.39K","-1.04%"
"12/01/2017","336.06","336.33","337.73","334.85","517.65K","0.04%"
"11/30/2017","335.94","336.47","337.54","335.26","1.72M","-0.26%"
"11/29/2017","336.81","336.16","337.07","335.58","773.11K","0.11%"
"11/28/2017","336.43","336.58","336.84","335.52","491.27K","0.15%"
"11/27/2017","335.93","336.50","337.19","335.33","534.09K","-0.05%"
"11/24/2017","336.11","335.04","336.44","334.99","173.95K","0.28%"
"11/22/2017","335.18","335.95","336.12","334.45","551.90K","-0.44%"
"11/21/2017","336.66","334.10","336.98","334.10","400.87K","1.01%"
"11/20/2017","333.29","333.72","334.31","333.29","589.96K","-0.08%"
"11/17/2017","333.56","332.75","333.85","332.75","297.43K","-0.21%"
"11/16/2017","334.25","332.85","334.25","332.85","301.31K","0.60%"
