"Date","Price","Open","High","Low","Vol.","Change %"
"07/26/2021","18.52","18.49","18.75","18.49","9.38M","-0.86%"
"07/23/2021","18.68","18.79","18.80","18.61","638.17K","-0.16%"
"07/22/2021","18.71","18.60","18.75","18.51","638.76K","0.32%"
"07/21/2021","18.65","18.48","18.79","18.37","965.39K","1.08%"
"07/20/2021","18.45","18.23","18.46","18.19","589.49K","1.10%"
"07/19/2021","18.25","18.25","18.31","18.16","1.06M","-0.60%"
"07/16/2021","18.36","18.47","18.48","18.33","788.17K","-0.49%"
"07/15/2021","18.45","18.39","18.57","18.33","752.46K","0.00%"
"07/14/2021","18.45","18.59","18.63","18.41","705.53K","-0.32%"
"07/13/2021","18.51","18.72","18.76","18.33","820.78K","-1.12%"
"07/12/2021","18.72","18.80","18.90","18.72","773.33K","-1.37%"
"07/09/2021","18.98","18.86","19.00","18.82","749.45K","1.01%"
"07/08/2021","18.79","18.83","18.83","18.56","563.08K","-0.37%"
"07/07/2021","18.86","18.88","18.90","18.78","358.13K","-0.37%"
"07/06/2021","18.93","18.85","18.95","18.78","497.61K","-0.26%"
"07/02/2021","18.98","19.12","19.12","18.92","530.26K","-0.37%"
"07/01/2021","19.05","18.97","19.09","18.93","381.20K","0.85%"
"06/30/2021","18.89","19.00","19.16","18.88","434.69K","-1.20%"
"06/29/2021","19.12","19.05","19.14","18.84","444.52K","0.26%"
"06/28/2021","19.07","18.98","19.18","18.87","751.03K","0.63%"
"06/25/2021","18.95","18.95","19.07","18.90","1.03M","0.21%"
"06/24/2021","18.91","18.64","18.94","18.55","397.03K","1.45%"
"06/23/2021","18.64","18.70","18.77","18.60","492.47K","-0.11%"
"06/22/2021","18.66","18.61","18.75","18.53","696.22K","0.38%"
"06/21/2021","18.59","18.42","18.59","18.39","465.56K","1.31%"
"06/18/2021","18.35","18.32","18.46","18.28","1.45M","-0.76%"
"06/17/2021","18.49","18.59","18.66","18.44","763.98K","-0.75%"
"06/16/2021","18.63","18.54","18.77","18.54","693.72K","0.22%"
"06/15/2021","18.59","18.50","18.67","18.49","347.11K","0.49%"
"06/14/2021","18.50","18.50","18.54","18.42","402.96K","0.00%"
"06/11/2021","18.50","18.50","18.61","18.48","510.71K","-0.43%"
"06/10/2021","18.58","18.50","18.63","18.46","597.74K","-0.27%"
"06/09/2021","18.63","18.73","18.75","18.55","521.92K","-0.37%"
"06/08/2021","18.70","18.71","18.76","18.65","264.52K","-0.27%"
"06/07/2021","18.75","18.73","18.83","18.73","336.04K","0.16%"
"06/04/2021","18.72","18.74","18.77","18.65","270.05K","0.05%"
"06/03/2021","18.71","18.66","18.73","18.60","351.20K","0.00%"
"06/02/2021","18.71","18.79","18.79","18.65","366.46K","-0.05%"
"06/01/2021","18.72","18.73","18.83","18.67","417.84K","-0.11%"
"05/28/2021","18.74","18.72","18.80","18.60","450.69K","0.32%"
"05/27/2021","18.68","18.60","18.73","18.60","299.73K","0.38%"
"05/26/2021","18.61","18.51","18.63","18.44","279.89K","0.92%"
