"Date","Price","Open","High","Low","Vol.","Change %"
"06/07/2022","94.92","94.98","94.99","94.92","38.20M","-0.05%"
"06/06/2022","94.97","94.96","94.98","94.96","6.06M","0.00%"
"06/03/2022","94.97","94.95","94.97","94.95","4.17M","0.01%"
"06/02/2022","94.96","94.95","94.96","94.94","5.87M","0.29%"
"06/01/2022","94.69","94.83","94.87","94.67","3.28M","-0.17%"
"05/31/2022","94.85","94.67","95.40","94.59","8.35M","0.18%"
"05/27/2022","94.68","94.58","94.68","94.49","2.73M","0.14%"
"05/26/2022","94.55","94.47","94.59","94.47","1.51M","-0.04%"
"05/25/2022","94.59","94.55","94.64","94.38","2.21M","0.16%"
"05/24/2022","94.44","94.18","94.74","94.14","4.23M","0.36%"
"05/23/2022","94.10","94.00","94.16","93.99","2.00M","0.18%"
"05/20/2022","93.93","93.85","94.07","93.75","2.22M","0.01%"
"05/19/2022","93.92","93.86","94.01","93.74","3.57M","-0.05%"
"05/18/2022","93.97","94.15","94.20","93.95","2.35M","-0.29%"
"05/17/2022","94.24","93.93","94.25","93.92","2.54M","0.14%"
"05/16/2022","94.11","94.12","94.43","94.07","3.22M","-0.11%"
"05/13/2022","94.21","94.10","94.24","93.90","2.55M","0.01%"
"05/12/2022","94.20","93.98","94.22","93.79","2.72M","0.22%"
"05/11/2022","93.99","93.82","94.20","93.80","2.82M","-0.16%"
"05/10/2022","94.14","93.73","94.16","93.73","3.61M","0.50%"
"05/09/2022","93.67","93.90","93.95","93.59","3.79M","-0.35%"
"05/06/2022","94.00","94.12","94.25","93.90","4.28M","-0.13%"
"05/05/2022","94.12","94.24","94.38","93.96","4.78M","-0.26%"
"05/04/2022","94.37","93.90","94.46","93.90","4.22M","0.24%"
"05/03/2022","94.14","93.70","94.18","93.70","3.50M","0.34%"
"05/02/2022","93.82","93.65","93.85","93.56","2.66M","0.19%"
"04/29/2022","93.64","93.75","93.86","93.60","2.98M","-0.16%"
"04/28/2022","93.79","93.73","93.88","93.71","1.64M","-0.01%"
"04/27/2022","93.80","93.52","93.86","93.52","4.23M","0.20%"
"04/26/2022","93.61","93.72","93.86","93.58","3.06M","-0.21%"
"04/25/2022","93.81","93.67","93.87","93.65","2.46M","0.12%"
"04/22/2022","93.70","93.36","93.98","93.26","4.14M","0.39%"
"04/21/2022","93.34","93.43","93.54","93.34","1.26M","-0.09%"
"04/20/2022","93.42","93.35","93.59","93.31","2.01M","-0.04%"
"04/19/2022","93.46","93.31","93.48","93.25","1.40M","0.16%"
"04/18/2022","93.31","93.30","93.36","93.15","1.63M","0.01%"
"04/14/2022","93.30","93.43","93.43","93.26","1.26M","-0.05%"
"04/13/2022","93.35","93.35","93.47","93.26","1.14M","0.00%"
"04/12/2022","93.35","93.17","93.35","93.13","1.41M","0.27%"
"04/11/2022","93.10","93.33","93.37","93.01","2.63M","-0.32%"
"04/08/2022","93.40","93.41","93.53","93.31","1.16M","-0.10%"
"04/07/2022","93.49","93.27","93.54","93.22","1.59M","0.23%"
"04/06/2022","93.28","93.04","93.30","93.03","2.33M","0.15%"
"04/05/2022","93.14","93.31","93.49","93.05","3.15M","-0.16%"
"04/04/2022","93.29","93.50","93.54","93.23","3.69M","-0.21%"
"04/01/2022","93.49","93.67","93.71","93.44","3.28M","-0.07%"
"03/31/2022","93.56","93.61","93.64","93.56","2.51M","-0.10%"
"03/30/2022","93.65","93.67","93.72","93.56","2.71M","0.06%"
"03/29/2022","93.59","93.67","93.77","93.55","2.37M","-0.03%"
"03/28/2022","93.62","93.62","93.74","93.57","2.20M","0.00%"
"03/25/2022","93.62","93.60","93.75","93.51","2.46M","-0.03%"
"03/24/2022","93.65","93.59","93.73","93.55","2.27M","0.06%"
"03/23/2022","93.59","93.60","93.67","93.50","2.13M","-0.06%"
"03/22/2022","93.65","93.62","93.76","93.60","2.01M","0.04%"
"03/21/2022","93.61","93.69","93.87","93.21","1.50M","-0.03%"
"03/18/2022","93.64","93.68","93.75","93.50","3.51M","-0.15%"
"03/17/2022","93.78","93.51","93.78","93.50","2.04M","0.22%"
"03/16/2022","93.57","93.60","93.65","93.43","3.20M","-0.03%"
"03/15/2022","93.60","93.48","93.72","93.19","3.00M","0.18%"
"03/14/2022","93.43","93.41","93.58","93.30","2.74M","0.03%"
"03/11/2022","93.40","93.31","93.46","93.26","2.24M","0.43%"
"03/10/2022","93.00","93.10","93.14","92.96","3.59M","-0.11%"
"03/09/2022","93.10","93.07","93.29","93.04","3.06M","0.06%"
"03/08/2022","93.04","93.10","93.25","92.94","4.07M","-0.04%"
"03/07/2022","93.08","93.47","93.47","93.07","4.28M","-0.42%"
"03/04/2022","93.47","93.40","93.50","93.23","4.14M","0.11%"
"03/03/2022","93.37","93.50","93.63","93.30","4.64M","-0.04%"
"03/02/2022","93.41","93.37","93.59","93.30","3.10M","0.12%"
"03/01/2022","93.30","93.28","93.48","93.20","2.72M","0.05%"
"02/28/2022","93.25","93.27","93.42","93.03","4.48M","-0.17%"
"02/25/2022","93.41","93.39","93.42","93.15","2.39M","0.32%"
