"Date","Price","Open","High","Low","Vol.","Change %"
"02/10/2023","38.36","37.90","38.38","37.88","16.10M","1.21%"
"02/09/2023","37.90","39.32","39.42","37.87","20.36M","-2.22%"
"02/08/2023","38.76","39.23","39.40","38.53","19.52M","-2.29%"
"02/07/2023","39.67","39.33","39.89","39.01","16.97M","0.40%"
"02/06/2023","39.51","39.55","39.79","39.26","12.55M","-1.15%"
"02/03/2023","39.97","40.81","40.86","39.80","20.40M","-2.77%"
"02/02/2023","41.11","39.85","41.15","39.73","21.30M","2.85%"
"02/01/2023","39.97","39.10","40.29","38.68","17.79M","1.58%"
"01/31/2023","39.35","39.25","39.42","39.08","26.01M","0.28%"
"01/30/2023","39.24","39.11","39.51","38.94","18.92M","-0.91%"
"01/27/2023","39.60","40.18","40.39","39.53","20.78M","-2.00%"
"01/26/2023","40.41","39.05","40.74","39.01","22.16M","0.77%"
"01/25/2023","40.10","40.31","40.31","39.56","24.53M","0.88%"
"01/24/2023","39.75","40.19","40.44","39.65","21.23M","-1.27%"
"01/23/2023","40.26","39.25","40.42","39.25","30.35M","2.26%"
"01/20/2023","39.37","38.24","39.45","37.97","22.60M","3.22%"
"01/19/2023","38.14","38.24","38.37","37.77","15.94M","-0.37%"
"01/18/2023","38.28","38.87","39.14","38.17","18.20M","-1.69%"
"01/17/2023","38.94","38.99","39.04","38.44","18.35M","0.03%"
"01/13/2023","38.93","38.70","39.06","38.47","14.16M","0.62%"
"01/12/2023","38.69","37.86","38.73","37.71","20.21M","1.95%"
"01/11/2023","37.95","38.06","38.10","37.43","13.35M","0.18%"
"01/10/2023","37.88","37.40","37.93","37.34","15.73M","0.88%"
"01/09/2023","37.55","37.99","38.00","37.42","22.85M","-0.90%"
"01/06/2023","37.89","37.56","38.00","37.17","18.78M","2.46%"
"01/05/2023","36.98","36.90","37.15","36.21","26.06M","1.07%"
"01/04/2023","36.59","36.25","36.97","36.03","22.63M","2.87%"
"01/03/2023","35.57","34.94","35.59","34.74","22.75M","1.72%"
"12/30/2022","34.97","34.81","34.97","34.53","15.39M","-0.23%"
"12/29/2022","35.05","34.81","35.35","34.70","12.58M","1.24%"
"12/28/2022","34.62","35.10","35.25","34.61","14.32M","-1.09%"
"12/27/2022","35.00","35.11","35.28","34.63","15.31M","-0.40%"
"12/23/2022","35.14","34.78","35.19","34.74","12.38M","0.92%"
"12/22/2022","34.82","34.76","35.11","34.40","30.93M","-0.74%"
"12/21/2022","35.08","34.73","35.40","34.67","22.93M","1.95%"
"12/20/2022","34.41","33.98","34.56","33.78","31.93M","1.27%"
"12/19/2022","33.98","34.57","34.74","33.93","23.69M","-1.48%"
"12/16/2022","34.49","34.33","34.76","34.06","68.86M","-0.35%"
"12/15/2022","34.61","34.91","35.17","34.45","27.39M","-2.09%"
"12/14/2022","35.35","34.87","36.21","34.73","33.91M","-3.70%"
