"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2021","0.127","0.124","0.136","0.115","1.66M","-2.31%"
"01/29/2021","0.130","0.124","0.145","0.120","3.76M","2.36%"
"01/28/2021","0.127","0.153","0.160","0.117","10.61M","-3.79%"
"01/27/2021","0.132","0.100","0.184","0.096","45.56M","26.92%"
"01/26/2021","0.104","0.098","0.104","0.092","7.08M","8.33%"
"01/25/2021","0.096","0.097","0.099","0.095","5.02M","-1.03%"
"01/22/2021","0.097","0.100","0.100","0.096","2.99M","-3.00%"
"01/21/2021","0.100","0.101","0.102","0.096","4.55M","-1.96%"
"01/20/2021","0.102","0.111","0.111","0.100","3.54M","-5.56%"
"01/19/2021","0.108","0.115","0.115","0.107","4.70M","-6.09%"
"01/15/2021","0.115","0.111","0.115","0.110","3.34M","2.68%"
"01/14/2021","0.112","0.119","0.119","0.110","4.05M","-3.45%"
"01/13/2021","0.116","0.120","0.121","0.110","3.98M","-2.52%"
"01/12/2021","0.119","0.117","0.125","0.115","6.01M","7.21%"
"01/11/2021","0.111","0.134","0.134","0.090","27.43M","-23.97%"
"01/07/2021","0.146","0.148","0.150","0.145","3.17M","-1.35%"
"01/06/2021","0.148","0.139","0.149","0.139","5.75M","5.71%"
"01/05/2021","0.140","0.146","0.146","0.137","4.01M","-1.41%"
"01/04/2021","0.142","0.148","0.150","0.140","3.71M","-4.05%"
"12/31/2020","0.148","0.149","0.158","0.141","6.59M","0.68%"
"12/30/2020","0.147","0.136","0.149","0.136","6.45M","7.30%"
"12/29/2020","0.137","0.146","0.147","0.136","5.65M","-6.80%"
"12/28/2020","0.147","0.151","0.153","0.144","6.37M","0.68%"
"12/24/2020","0.146","0.152","0.153","0.143","2.76M","-0.68%"
"12/23/2020","0.147","0.152","0.157","0.143","3.22M","-2.00%"
"12/22/2020","0.150","0.148","0.155","0.142","4.69M","1.35%"
"12/21/2020","0.148","0.157","0.157","0.140","6.97M","-7.50%"
"12/18/2020","0.160","0.153","0.163","0.151","6.48M","3.90%"
"12/17/2020","0.154","0.140","0.165","0.134","10.05M","9.22%"
"12/16/2020","0.141","0.150","0.150","0.139","4.57M","-2.08%"
"12/15/2020","0.144","0.152","0.152","0.138","8.10M","-6.49%"
"12/14/2020","0.154","0.168","0.173","0.145","8.14M","-9.41%"
"12/11/2020","0.170","0.189","0.189","0.161","6.57M","-4.49%"
"12/10/2020","0.178","0.180","0.188","0.170","9.82M","5.95%"
"12/09/2020","0.168","0.215","0.240","0.151","47.97M","-18.45%"
"12/08/2020","0.206","0.175","0.210","0.175","43.96M","25.61%"
"12/07/2020","0.164","0.118","0.180","0.110","42.96M","38.98%"
"12/04/2020","0.118","0.121","0.122","0.115","4.78M","-2.48%"
"12/03/2020","0.121","0.122","0.125","0.119","5.68M","0.00%"
"12/02/2020","0.121","0.120","0.125","0.115","6.31M","0.83%"
"12/01/2020","0.120","0.125","0.125","0.120","4.67M","-3.23%"
"11/30/2020","0.124","0.125","0.126","0.116","6.81M","-1.59%"
"11/27/2020","0.126","0.129","0.130","0.121","8.11M","-4.55%"
"11/25/2020","0.132","0.142","0.148","0.120","14.03M","-8.97%"
"11/24/2020","0.145","0.115","0.149","0.115","25.33M","25.00%"
"11/23/2020","0.116","0.126","0.126","0.103","22.58M","-4.92%"
"11/20/2020","0.122","0.166","0.178","0.092","54.95M","-26.51%"
"11/19/2020","0.166","0.180","0.187","0.156","12.77M","-7.26%"
"11/18/2020","0.179","0.220","0.222","0.161","28.54M","-20.09%"
"11/17/2020","0.224","0.215","0.229","0.215","22.04M","5.66%"
