"Date","Price","Open","High","Low","Vol.","Change %"
"06/20/2016","34.87","34.88","34.89","34.87","2.50M","-0.03%"
"06/17/2016","34.88","34.87","34.91","34.87","7.59M","0.03%"
"06/16/2016","34.87","34.88","34.89","34.87","7.25M","0.03%"
"06/15/2016","34.86","34.73","34.89","34.73","5.93M","0.37%"
"06/14/2016","34.73","34.76","34.80","34.71","3.29M","-0.12%"
"06/13/2016","34.77","34.68","34.79","34.68","2.84M","0.26%"
"06/10/2016","34.68","34.70","34.74","34.66","1.66M","-0.06%"
"06/09/2016","34.70","34.65","34.73","34.65","2.07M","0.12%"
"06/08/2016","34.66","34.64","34.75","34.63","2.47M","0.09%"
"06/07/2016","34.63","34.66","34.69","34.62","1.96M","-0.09%"
"06/06/2016","34.66","34.66","34.72","34.64","3.73M","0.03%"
"06/03/2016","34.65","34.73","34.75","34.64","1.99M","-0.26%"
"06/02/2016","34.74","34.72","34.76","34.70","2.74M","0.06%"
"06/01/2016","34.72","34.67","34.75","34.67","2.32M","0.12%"
"05/31/2016","34.68","34.68","34.71","34.61","2.53M","0.03%"
"05/27/2016","34.67","34.63","34.69","34.62","1.50M","0.14%"
"05/26/2016","34.62","34.64","34.69","34.61","1.92M","-0.06%"
"05/25/2016","34.64","34.62","34.69","34.60","2.79M","0.09%"
"05/24/2016","34.61","34.62","34.69","34.58","1.52M","0.09%"
"05/23/2016","34.58","34.64","34.68","34.58","2.49M","-0.17%"
"05/20/2016","34.64","34.55","34.71","34.45","5.75M","0.41%"
"05/19/2016","34.50","34.44","34.63","34.44","2.86M","-0.12%"
"05/18/2016","34.54","34.38","34.65","34.35","6.01M","0.44%"
"05/17/2016","34.39","34.47","34.64","34.36","5.00M","-0.20%"
"05/16/2016","34.46","34.51","34.54","34.30","4.56M","-0.40%"
"05/13/2016","34.60","34.55","34.64","34.55","3.00M","0.12%"
"05/12/2016","34.56","34.60","34.64","34.53","2.07M","-0.14%"
"05/11/2016","34.61","34.56","34.61","34.47","3.59M","-0.09%"
"05/10/2016","34.64","34.65","34.70","34.57","3.59M","0.12%"
"05/09/2016","34.60","34.50","34.62","34.50","2.25M","0.29%"
"05/06/2016","34.50","34.53","34.60","34.50","4.85M","-0.20%"
"05/05/2016","34.57","34.38","34.66","34.28","8.10M","0.35%"
"05/04/2016","34.45","34.35","34.51","34.29","6.69M","1.83%"
"05/03/2016","33.83","33.62","34.09","33.59","4.49M","0.53%"
"05/02/2016","33.65","33.35","33.67","33.25","2.70M","0.78%"
"04/29/2016","33.39","33.32","33.55","33.20","2.26M","0.03%"
"04/28/2016","33.38","33.30","33.52","33.27","1.96M","-0.21%"
"04/27/2016","33.45","33.56","33.58","33.17","2.49M","-0.03%"
"04/26/2016","33.46","33.66","33.72","33.44","2.61M","-0.92%"
"04/25/2016","33.77","33.62","33.85","33.55","2.55M","0.42%"
"04/22/2016","33.63","33.55","33.68","33.45","2.68M","0.36%"
"04/21/2016","33.51","33.58","33.67","33.41","4.70M","-0.15%"
"04/20/2016","33.56","33.60","33.62","33.53","1.98M","0.00%"
"04/19/2016","33.56","33.63","33.67","33.55","2.49M","-0.06%"
"04/18/2016","33.58","33.53","33.72","33.50","1.97M","-0.03%"
"04/15/2016","33.59","33.00","34.05","33.00","9.28M","1.94%"
"04/14/2016","32.95","32.97","33.10","32.94","4.21M","-0.06%"
"04/13/2016","32.97","33.00","33.10","32.94","2.67M","-0.09%"
"04/12/2016","33.00","33.00","33.04","32.94","1.82M","0.24%"
"04/11/2016","32.92","32.99","33.08","32.92","2.23M","-0.03%"
"04/08/2016","32.93","32.81","32.96","32.72","1.66M","0.52%"
"04/07/2016","32.76","32.85","32.92","32.72","3.12M","-0.55%"
"04/06/2016","32.94","32.70","32.98","32.68","1.61M","0.89%"
"04/05/2016","32.65","32.93","32.96","32.63","4.27M","-0.97%"
"04/04/2016","32.97","32.96","33.01","32.90","1.94M","0.06%"
"04/01/2016","32.95","33.00","33.06","32.87","2.29M","-0.15%"
"03/31/2016","33.00","33.04","33.07","32.86","1.88M","0.00%"
"03/30/2016","33.00","33.00","33.04","32.84","1.98M","0.06%"
"03/29/2016","32.98","33.04","33.09","32.89","3.05M","-0.09%"
"03/28/2016","33.01","33.03","33.18","32.95","1.59M","0.15%"
"03/24/2016","32.96","32.95","33.04","32.88","2.60M","-0.06%"
"03/23/2016","32.98","32.95","33.05","32.90","1.79M","0.09%"
"03/22/2016","32.95","33.01","33.04","32.86","1.02M","-0.12%"
"03/21/2016","32.99","32.94","33.10","32.75","1.75M","0.61%"
"03/18/2016","32.79","33.00","33.12","32.75","7.27M","-0.64%"
"03/17/2016","33.00","33.05","33.19","32.95","1.69M","-0.15%"
"03/16/2016","33.05","32.95","33.23","32.95","1.55M","0.30%"
"03/15/2016","32.95","32.75","33.20","32.73","2.05M","0.30%"
"03/14/2016","32.85","32.61","33.02","32.57","2.33M","-0.12%"
"03/11/2016","32.89","33.15","33.19","32.88","2.23M","-0.45%"
"03/10/2016","33.04","33.37","33.41","32.98","3.84M","-0.72%"
"03/09/2016","33.28","33.30","33.31","33.11","2.10M","0.09%"
"03/08/2016","33.25","32.86","33.32","32.86","2.14M","-0.15%"
"03/07/2016","33.30","33.10","33.32","33.02","2.05M","0.06%"
"03/04/2016","33.28","33.35","33.45","33.19","2.14M","0.09%"
"03/03/2016","33.25","32.81","33.30","32.81","2.80M","1.03%"
"03/02/2016","32.91","32.69","32.92","32.57","1.87M","0.64%"
"03/01/2016","32.70","32.70","32.75","32.53","2.21M","0.52%"
"02/29/2016","32.53","32.51","32.76","32.40","2.66M","0.06%"
"02/26/2016","32.51","32.38","32.74","32.36","2.43M","0.18%"
"02/25/2016","32.45","32.53","32.63","32.25","1.79M","0.25%"
"02/24/2016","32.37","32.34","32.50","32.09","1.87M","-0.03%"
"02/23/2016","32.38","32.51","32.74","32.08","1.81M","-0.46%"
"02/22/2016","32.53","32.43","32.60","32.41","1.44M","0.28%"
"02/19/2016","32.44","32.35","32.66","32.35","1.59M","0.09%"
"02/18/2016","32.41","32.60","32.60","32.27","1.63M","-0.43%"
"02/17/2016","32.55","32.84","33.00","32.47","2.31M","-0.43%"
"02/16/2016","32.69","32.50","32.72","32.29","1.66M","0.80%"
"02/12/2016","32.43","32.28","32.47","32.00","1.52M","1.25%"
"02/11/2016","32.03","31.94","32.25","31.86","2.64M","-0.62%"
"02/10/2016","32.23","31.85","32.35","31.65","3.03M","1.93%"
