"Date","Price","Open","High","Low","Vol.","Change %"
"02/10/2023","0.0928","0.0969","0.0969","0.0871","407.15K","-0.75%"
"02/09/2023","0.0935","0.0901","0.1049","0.0901","448.15K","1.52%"
"02/08/2023","0.0921","0.0925","0.1032","0.0900","528.83K","-0.43%"
"02/07/2023","0.0925","0.0885","0.0932","0.0885","435.62K","-0.75%"
"02/06/2023","0.0932","0.0940","0.0940","0.0891","576.05K","-2.82%"
"02/03/2023","0.0959","0.0929","0.0990","0.0908","446.95K","-0.62%"
"02/02/2023","0.0965","0.1060","0.1060","0.0940","394.40K","-5.11%"
"02/01/2023","0.1017","0.0920","0.1138","0.0920","447.93K","8.19%"
"01/31/2023","0.0940","0.0950","0.1000","0.0900","459.90K","-0.74%"
"01/30/2023","0.0947","0.0950","0.0990","0.0880","649.04K","-2.87%"
"01/27/2023","0.0975","0.1000","0.1092","0.0900","581.56K","-3.18%"
"01/26/2023","0.1007","0.1000","0.1092","0.0926","490.10K","-3.17%"
"01/25/2023","0.1040","0.1103","0.1217","0.0997","1.94M","-11.49%"
"01/24/2023","0.1175","0.1234","0.1300","0.1149","762.55K","-0.42%"
"01/23/2023","0.1180","0.1213","0.1290","0.1090","1.09M","-4.07%"
"01/20/2023","0.1230","0.1176","0.1300","0.1100","667.83K","2.93%"
"01/19/2023","0.1195","0.1203","0.1300","0.1175","580.35K","-3.16%"
"01/18/2023","0.1234","0.1201","0.1280","0.1175","412.00K","4.84%"
"01/17/2023","0.1177","0.1299","0.1395","0.1177","2.68M","0.17%"
"01/13/2023","0.1175","0.0901","0.1360","0.0901","1.70M","30.41%"
"01/12/2023","0.0901","0.0940","0.0948","0.0815","364.82K","-1.53%"
"01/11/2023","0.0915","0.0912","0.0945","0.0873","367.25K","-2.45%"
"01/10/2023","0.0938","0.0900","0.0950","0.0860","1.15M","3.08%"
"01/09/2023","0.0910","0.0840","0.1000","0.0840","593.81K","9.51%"
"01/06/2023","0.0831","0.0755","0.0846","0.0726","766.32K","2.59%"
"01/05/2023","0.0810","0.0780","0.0813","0.0710","435.74K","1.76%"
"01/04/2023","0.0796","0.0800","0.0870","0.0781","930.32K","-4.44%"
"01/03/2023","0.0833","0.0708","0.0885","0.0708","891.18K","17.66%"
"12/30/2022","0.0708","0.0716","0.0825","0.0670","1.11M","-1.80%"
"12/29/2022","0.0721","0.0705","0.0732","0.0701","789.27K","1.26%"
"12/28/2022","0.0712","0.0725","0.0850","0.0700","763.08K","-3.52%"
"12/27/2022","0.0738","0.0781","0.0808","0.0712","1.24M","-8.21%"
"12/23/2022","0.0804","0.0782","0.0830","0.0750","673.68K","-0.25%"
"12/22/2022","0.0806","0.0875","0.0875","0.0740","1.04M","-4.05%"
"12/21/2022","0.0840","0.0780","0.0924","0.0780","1.38M","11.26%"
"12/20/2022","0.0755","0.0600","0.0772","0.0600","1.24M","21.77%"
"12/19/2022","0.0620","0.0600","0.0680","0.0600","1.67M","-10.79%"
"12/16/2022","0.0695","0.0738","0.0773","0.0670","1.21M","-5.83%"
"12/15/2022","0.0738","0.0827","0.0827","0.0726","740.81K","-6.58%"
"12/14/2022","0.0790","0.0801","0.0838","0.0780","1.38M","-3.78%"
"12/13/2022","0.0821","0.0830","0.0875","0.0807","890.78K","-5.31%"
"12/12/2022","0.0867","0.0860","0.0900","0.0810","1.05M","-5.45%"
"12/09/2022","0.0917","0.0903","0.0938","0.0860","799.96K","-0.86%"
"12/08/2022","0.0925","0.0900","0.0950","0.0900","864.74K","2.78%"
"12/07/2022","0.0900","0.0903","0.0929","0.0900","816.33K","-2.17%"
"12/06/2022","0.0920","0.0902","0.0939","0.0902","708.47K","-0.22%"
"12/05/2022","0.0922","0.0921","0.0942","0.0901","666.56K","-2.54%"
"12/02/2022","0.0946","0.0945","0.0959","0.0904","765.28K","1.28%"
"12/01/2022","0.0934","0.0915","0.0970","0.0911","448.29K","0.65%"
"11/30/2022","0.0928","0.0902","0.0980","0.0902","840.29K","-2.32%"
"11/29/2022","0.0950","0.0992","0.0992","0.0940","567.87K","-3.16%"
"11/28/2022","0.0981","0.0970","0.1020","0.0952","658.99K","-3.82%"
"11/25/2022","0.1020","0.0970","0.1020","0.0959","219.32K","2.00%"
"11/23/2022","0.1000","0.0948","0.1049","0.0948","828.66K","-6.54%"
"11/22/2022","0.1070","0.0961","0.1075","0.0935","1.76M","7.11%"
"11/21/2022","0.0999","0.0964","0.9020","0.0912","723.11K","1.94%"
"11/18/2022","0.0980","0.0945","0.0989","0.0913","680.77K","-0.91%"
"11/17/2022","0.0989","0.0972","0.1000","0.0931","1.88M","-0.10%"
"11/16/2022","0.0990","0.0964","0.1075","0.0955","733.61K","-1.98%"
"11/15/2022","0.1010","0.0989","0.1099","0.0950","1.37M","3.17%"
"11/14/2022","0.0979","0.1000","0.1030","0.0951","1.50M","-5.68%"
"11/11/2022","0.1038","0.1020","0.1095","0.0990","846.28K","-2.08%"
"11/10/2022","0.1060","0.1090","0.1129","0.1000","1.04M","-2.75%"
"11/09/2022","0.1090","0.1204","0.1249","0.0952","1.68M","-9.17%"
"11/08/2022","0.1200","0.1098","0.1298","0.1040","1.14M","14.29%"
"11/07/2022","0.1050","0.1081","0.1174","0.1020","618.34K","-3.67%"
"11/04/2022","0.1090","0.1288","0.1288","0.1000","1.34M","-5.63%"
"11/03/2022","0.1155","0.1150","0.1200","0.1105","1.34M","3.49%"
