"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2020","49.26","50.76","51.18","48.91","20.71M","-1.58%"
"09/30/2020","50.05","49.37","50.69","49.37","2.85M","2.29%"
"09/29/2020","48.93","49.68","49.96","48.90","1.64M","-2.34%"
"09/28/2020","50.10","49.59","50.83","49.59","1.39M","3.02%"
"09/25/2020","48.63","47.66","48.93","47.48","1.87M","0.87%"
"09/24/2020","48.21","48.16","49.03","47.46","1.81M","0.40%"
"09/23/2020","48.02","49.52","49.90","48.00","1.15M","-2.60%"
"09/22/2020","49.30","49.88","50.28","48.60","1.66M","-1.44%"
"09/21/2020","50.02","50.46","50.85","49.19","3.69M","-3.72%"
"09/18/2020","51.95","52.15","52.77","51.80","2.54M","-0.17%"
"09/17/2020","52.04","52.02","52.74","51.78","1.55M","-1.83%"
"09/16/2020","53.01","52.27","53.77","52.09","1.86M","1.59%"
"09/15/2020","52.18","52.82","53.08","52.08","1.31M","-1.55%"
"09/14/2020","53.00","52.83","53.33","52.21","2.11M","1.45%"
"09/11/2020","52.24","52.18","52.83","51.90","1.52M","0.19%"
"09/10/2020","52.14","53.23","53.46","51.97","1.76M","-1.51%"
"09/09/2020","52.94","52.41","53.41","52.19","1.79M","2.04%"
"09/08/2020","51.88","54.02","54.02","51.87","3.77M","-4.86%"
"09/04/2020","54.53","55.58","55.68","53.53","2.86M","-0.13%"
"09/03/2020","54.60","55.57","56.26","54.02","2.60M","-0.89%"
"09/02/2020","55.09","54.50","55.31","54.30","1.14M","1.27%"
"09/01/2020","54.40","53.67","54.64","53.53","1.45M","0.55%"
"08/31/2020","54.10","54.69","54.70","54.10","2.21M","-1.01%"
"08/28/2020","54.65","54.82","54.97","54.37","3.33M","0.26%"
"08/27/2020","54.51","53.79","54.81","53.66","2.09M","1.58%"
"08/26/2020","53.66","53.82","54.01","53.55","1.04M","-0.57%"
"08/25/2020","53.97","54.76","54.83","53.80","1.05M","-0.63%"
"08/24/2020","54.31","53.16","54.36","53.08","2.26M","2.51%"
"08/21/2020","52.98","52.52","53.34","52.41","2.22M","0.53%"
"08/20/2020","52.70","52.31","52.98","52.31","1.02M","-1.11%"
"08/19/2020","53.29","53.07","53.94","53.07","1.36M","0.74%"
"08/18/2020","52.90","53.14","53.37","52.60","1.28M","-0.88%"
"08/17/2020","53.37","54.31","54.41","53.11","1.85M","-1.82%"
"08/14/2020","54.36","53.94","54.59","53.67","1.25M","0.28%"
"08/13/2020","54.21","53.76","54.49","53.76","1.26M","-0.44%"
"08/12/2020","54.45","54.69","55.51","53.97","2.05M","1.13%"
"08/11/2020","53.84","53.63","55.00","53.53","2.07M","2.34%"
"08/10/2020","52.61","52.58","52.85","52.27","2.33M","0.38%"
"08/07/2020","52.41","51.09","52.52","50.94","1.16M","2.00%"
"08/06/2020","51.38","51.80","51.87","51.19","1.64M","-0.93%"
"08/05/2020","51.86","51.66","51.99","51.42","1.54M","1.15%"
"08/04/2020","51.27","51.37","51.76","51.07","1.33M","-0.37%"
"08/03/2020","51.46","51.18","51.91","50.69","1.50M","1.36%"
"07/31/2020","50.77","50.96","50.96","50.20","1.36M","-0.08%"
"07/30/2020","50.81","50.96","51.17","50.43","2.01M","-2.73%"
