"Date","Price","Open","High","Low","Vol.","Change %"
"07/06/2015","79.39","79.15","79.64","79.15","9.41M","0.05%"
"07/02/2015","79.35","79.27","79.40","79.07","2.22M","0.21%"
"07/01/2015","79.18","79.02","79.22","78.85","1.10M","0.47%"
"06/30/2015","78.81","79.37","79.37","78.68","1.39M","-0.14%"
"06/29/2015","78.92","79.51","79.63","78.89","2.17M","-0.84%"
"06/26/2015","79.59","79.43","79.61","79.29","891.81K","0.39%"
"06/25/2015","79.28","79.49","79.49","79.24","371.66K","-0.06%"
"06/24/2015","79.33","79.26","79.42","79.23","358.86K","0.04%"
"06/23/2015","79.30","79.23","79.46","79.19","1.34M","-0.01%"
"06/22/2015","79.31","79.01","79.32","79.01","1.46M","0.43%"
"06/19/2015","78.97","79.37","79.43","78.96","1.29M","-0.43%"
"06/18/2015","79.31","79.22","79.49","79.16","1.59M","0.20%"
"06/17/2015","79.15","78.65","79.17","78.65","2.31M","0.79%"
"06/16/2015","78.53","78.34","78.58","78.29","752.69K","0.13%"
"06/15/2015","78.43","78.39","78.49","78.29","977.75K","-0.18%"
"06/12/2015","78.57","78.52","78.79","78.52","975.60K","-0.06%"
"06/11/2015","78.62","78.70","78.78","78.50","1.72M","0.15%"
"06/10/2015","78.50","78.26","78.53","78.12","736.39K","0.31%"
"06/09/2015","78.26","78.22","78.35","77.99","732.76K","0.09%"
"06/08/2015","78.19","78.31","78.49","78.14","758.55K","-0.24%"
"06/05/2015","78.38","78.50","78.62","78.25","1.05M","-0.28%"
"06/04/2015","78.60","78.29","78.95","78.29","860.53K","-0.04%"
"06/03/2015","78.63","78.27","78.71","78.17","2.20M","0.43%"
"06/02/2015","78.29","77.84","78.53","77.84","1.04M","0.37%"
"06/01/2015","78.00","77.81","78.21","77.63","1.63M","0.62%"
"05/29/2015","77.52","78.20","78.20","77.47","1.69M","-0.51%"
"05/28/2015","77.92","78.03","78.10","77.80","622.38K","-0.05%"
"05/27/2015","77.96","77.76","78.02","77.76","681.81K","0.22%"
"05/26/2015","77.79","78.33","78.33","77.70","817.88K","-0.49%"
"05/22/2015","78.17","78.43","78.58","78.11","1.25M","-0.48%"
"05/21/2015","78.55","77.61","79.02","77.52","3.66M","0.55%"
"05/20/2015","78.12","78.47","78.47","78.08","1.12M","-0.40%"
"05/19/2015","78.43","78.73","78.77","78.41","1.28M","-0.28%"
"05/18/2015","78.65","78.71","78.71","78.44","1.79M","0.05%"
"05/15/2015","78.61","78.48","78.66","78.29","1.66M","0.36%"
"05/14/2015","78.33","78.56","78.66","78.27","1.01M","-0.28%"
"05/13/2015","78.55","78.84","78.94","78.47","919.02K","-0.43%"
"05/12/2015","78.89","78.79","78.98","78.68","938.76K","0.04%"
"05/11/2015","78.86","78.87","78.99","78.78","453.02K","-0.10%"
"05/08/2015","78.94","78.90","79.18","78.80","314.59K","0.39%"
"05/07/2015","78.63","78.44","78.71","78.29","364.79K","0.37%"
"05/06/2015","78.34","78.27","78.50","78.11","939.17K","0.23%"
"05/05/2015","78.16","78.37","78.41","78.10","440.31K","-0.36%"
"05/04/2015","78.44","78.52","78.58","78.30","208.36K","-0.11%"
"05/01/2015","78.53","78.27","78.58","78.10","373.26K","0.50%"
"04/30/2015","78.14","78.21","78.58","78.05","1.04M","-0.34%"
"04/29/2015","78.41","79.02","79.21","78.39","863.42K","-0.85%"
"04/28/2015","79.08","79.28","79.28","78.97","554.08K","-0.16%"
"04/27/2015","79.21","79.40","79.53","79.17","644.16K","-0.21%"
"04/24/2015","79.38","79.31","79.46","79.14","328.51K","0.01%"
"04/23/2015","79.37","79.31","79.47","79.22","600.71K","0.15%"
"04/22/2015","79.25","79.50","79.50","79.06","409.44K","-0.11%"
"04/21/2015","79.34","78.92","79.34","78.92","499.46K","0.53%"
"04/20/2015","78.92","79.11","79.11","78.66","1.43M","0.22%"
"04/17/2015","78.75","79.17","79.25","78.66","1.01M","-0.79%"
"04/16/2015","79.38","79.39","79.53","79.20","528.66K","0.03%"
"04/15/2015","79.36","79.26","79.44","79.23","679.17K","0.15%"
"04/14/2015","79.24","79.49","79.54","79.22","386.35K","-0.34%"
"04/13/2015","79.51","79.76","79.84","79.47","544.84K","-0.29%"
"04/10/2015","79.74","79.72","79.84","79.65","424.86K","0.06%"
"04/09/2015","79.69","80.60","80.60","79.61","495.92K","-0.35%"
"04/08/2015","79.97","79.23","79.98","79.12","940.70K","1.06%"
"04/07/2015","79.13","79.12","79.46","79.05","1.40M","-0.01%"
"04/06/2015","79.14","79.10","79.43","79.04","1.98M","-0.13%"
"04/02/2015","79.24","79.43","79.43","79.13","956.06K","-0.04%"
"04/01/2015","79.27","79.13","79.36","79.01","4.63M","0.04%"
"03/31/2015","79.24","79.42","79.60","79.24","1.28M","-0.24%"
"03/30/2015","79.43","79.83","79.89","79.39","804.84K","-0.03%"
"03/27/2015","79.45","79.11","79.55","79.11","716.45K","0.28%"
"03/26/2015","79.23","79.15","79.38","79.04","835.99K","-0.03%"
"03/25/2015","79.25","79.47","79.66","79.20","585.76K","-0.45%"
"03/24/2015","79.61","79.61","79.91","79.60","713.05K","-0.09%"
"03/23/2015","79.68","80.08","80.08","79.67","689.04K","-0.28%"
"03/20/2015","79.90","79.78","80.03","79.73","1.53M","0.25%"
"03/19/2015","79.70","79.77","79.94","79.69","609.31K","-0.11%"
"03/18/2015","79.79","79.68","79.99","79.56","836.29K","0.15%"
"03/17/2015","79.67","79.81","79.86","79.67","601.79K","-0.30%"
"03/16/2015","79.91","79.56","79.91","79.45","575.78K","0.77%"
"03/13/2015","79.30","79.19","79.44","79.15","982.83K","0.23%"
"03/12/2015","79.12","78.87","79.34","78.79","761.48K","0.67%"
"03/11/2015","78.59","78.60","78.87","78.55","723.83K","-0.06%"
"03/10/2015","78.64","78.60","78.76","78.55","726.95K","-0.15%"
"03/09/2015","78.76","78.69","78.89","78.68","316.06K","-0.05%"
"03/06/2015","78.80","78.43","78.99","78.43","689.70K","0.13%"
"03/05/2015","78.70","78.79","78.81","78.61","492.48K","0.14%"
"03/04/2015","78.59","78.74","78.74","78.50","509.57K","-0.09%"
"03/03/2015","78.66","78.88","78.94","78.50","2.44M","-0.16%"
"03/02/2015","78.79","78.99","78.99","78.73","757.51K","0.06%"
"02/27/2015","78.74","78.60","78.81","78.52","725.10K","0.17%"
