"Date","Price","Open","High","Low","Vol.","Change %"
"02/10/2023","39.84","39.06","40.02","38.84","490.04K","1.92%"
"02/09/2023","39.09","39.58","39.76","38.97","512.70K","-1.19%"
"02/08/2023","39.56","39.82","40.30","39.51","700.06K","-1.54%"
"02/07/2023","40.18","39.72","40.36","39.50","700.22K","-0.25%"
"02/06/2023","40.28","40.58","40.62","40.08","629.39K","-0.98%"
"02/03/2023","40.68","40.40","41.20","40.02","692.97K","0.69%"
"02/02/2023","40.40","40.36","40.71","40.04","959.94K","0.10%"
"02/01/2023","40.36","39.00","40.52","38.85","841.07K","2.70%"
"01/31/2023","39.30","38.45","39.31","38.06","743.34K","2.26%"
"01/30/2023","38.43","38.42","39.36","38.25","655.11K","-0.65%"
"01/27/2023","38.68","37.08","39.48","36.82","1.55M","1.15%"
"01/26/2023","38.24","37.48","38.25","36.96","707.85K","1.78%"
"01/25/2023","37.57","37.33","37.68","37.24","676.09K","-0.05%"
"01/24/2023","37.59","38.08","38.08","37.48","624.24K","-1.26%"
"01/23/2023","38.07","38.25","38.33","37.72","581.12K","-0.47%"
"01/20/2023","38.25","38.30","38.35","37.69","370.53K","0.47%"
"01/19/2023","38.07","38.29","38.38","38.02","325.10K","-1.04%"
"01/18/2023","38.47","38.28","39.07","38.26","632.08K","-0.23%"
"01/17/2023","38.56","39.02","39.23","38.49","517.19K","-1.66%"
"01/13/2023","39.21","38.48","39.29","38.37","577.16K","1.06%"
"01/12/2023","38.80","38.14","38.89","37.72","1.19M","1.84%"
"01/11/2023","38.10","38.32","38.48","37.87","605.72K","-0.26%"
"01/10/2023","38.20","38.23","38.74","38.13","680.24K","0.39%"
"01/09/2023","38.05","38.46","38.46","37.95","476.34K","-0.99%"
"01/06/2023","38.43","38.07","38.61","37.87","526.07K","2.15%"
"01/05/2023","37.62","37.69","37.83","37.37","453.87K","-0.45%"
"01/04/2023","37.79","37.65","38.26","37.28","751.97K","1.34%"
"01/03/2023","37.29","36.63","37.35","36.24","780.92K","2.70%"
"12/30/2022","36.31","36.42","36.68","36.04","421.67K","-0.66%"
"12/29/2022","36.55","35.70","36.65","35.70","428.35K","3.13%"
"12/28/2022","35.44","36.08","36.18","35.44","387.79K","-1.39%"
"12/27/2022","35.94","35.87","36.01","35.64","263.91K","0.59%"
"12/23/2022","35.73","35.28","35.90","35.28","297.75K","0.82%"
"12/22/2022","35.44","36.32","36.33","35.02","589.92K","-2.80%"
