"Date","Price","Open","High","Low","Vol.","Change %"
"02/10/2023","0.480","0.481","0.490","0.480","584.97K","-1.03%"
"02/09/2023","0.485","0.460","0.497","0.460","1.46M","3.19%"
"02/08/2023","0.470","0.455","0.471","0.451","1.22M","1.08%"
"02/07/2023","0.465","0.450","0.475","0.450","1.58M","-0.21%"
"02/06/2023","0.466","0.460","0.480","0.442","1.89M","-0.64%"
"02/03/2023","0.469","0.480","0.480","0.460","1.03M","-0.21%"
"02/02/2023","0.470","0.490","0.500","0.449","4.00M","-3.09%"
"02/01/2023","0.485","0.469","0.490","0.468","1.38M","3.85%"
"01/31/2023","0.467","0.470","0.470","0.460","778.27K","0.43%"
"01/30/2023","0.465","0.461","0.475","0.450","1.50M","-1.06%"
"01/27/2023","0.470","0.490","0.500","0.445","2.64M","-5.05%"
"01/26/2023","0.495","0.496","0.514","0.492","1.78M","-1.00%"
"01/25/2023","0.500","0.509","0.514","0.492","1.89M","-1.57%"
"01/24/2023","0.508","0.485","0.509","0.481","3.90M","3.67%"
"01/23/2023","0.490","0.495","0.515","0.475","2.59M","-0.61%"
"01/20/2023","0.493","0.472","0.495","0.470","1.14M","4.89%"
"01/19/2023","0.470","0.510","0.515","0.470","1.61M","-6.00%"
"01/18/2023","0.500","0.443","0.556","0.431","8.78M","11.36%"
"01/17/2023","0.449","0.431","0.452","0.431","1.34M","4.18%"
"01/13/2023","0.431","0.430","0.445","0.420","1.26M","-0.23%"
"01/12/2023","0.432","0.434","0.435","0.425","894.95K","-0.69%"
"01/11/2023","0.435","0.459","0.459","0.425","1.03M","-2.25%"
"01/10/2023","0.445","0.439","0.450","0.430","676.65K","3.25%"
"01/09/2023","0.431","0.441","0.462","0.430","1.72M","-2.93%"
"01/06/2023","0.444","0.440","0.446","0.402","1.97M","1.37%"
"01/05/2023","0.438","0.492","0.492","0.421","2.39M","-8.18%"
"01/04/2023","0.477","0.459","0.520","0.455","8.55M","7.19%"
"01/03/2023","0.445","0.352","0.453","0.352","5.77M","26.06%"
"12/30/2022","0.353","0.360","0.365","0.350","6.00M","-2.75%"
"12/29/2022","0.363","0.361","0.370","0.360","3.41M","-1.36%"
"12/28/2022","0.368","0.379","0.384","0.360","3.11M","-3.16%"
"12/27/2022","0.380","0.381","0.390","0.379","3.22M","-0.26%"
"12/23/2022","0.381","0.385","0.390","0.380","1.69M","-1.30%"
"12/22/2022","0.386","0.386","0.390","0.386","1.54M","-0.26%"
"12/21/2022","0.387","0.405","0.405","0.385","1.22M","-0.51%"
"12/20/2022","0.389","0.395","0.400","0.385","2.70M","-3.47%"
"12/19/2022","0.403","0.405","0.408","0.400","1.69M","-0.74%"
"12/16/2022","0.406","0.405","0.410","0.401","1.41M","1.25%"
"12/15/2022","0.401","0.411","0.415","0.400","3.01M","-3.37%"
"12/14/2022","0.415","0.410","0.415","0.405","1.48M","1.22%"
"12/13/2022","0.410","0.406","0.420","0.405","1.63M","0.00%"
"12/12/2022","0.410","0.403","0.415","0.401","2.98M","0.00%"
"12/09/2022","0.410","0.406","0.419","0.400","1.12M","0.99%"
"12/08/2022","0.406","0.402","0.429","0.400","1.29M","1.25%"
"12/07/2022","0.401","0.423","0.439","0.400","2.98M","-5.42%"
"12/06/2022","0.424","0.440","0.445","0.420","1.13M","-3.64%"
"12/05/2022","0.440","0.455","0.455","0.435","10.33M","-2.22%"
"12/02/2022","0.450","0.442","0.455","0.441","931.30K","2.04%"
"12/01/2022","0.441","0.434","0.442","0.425","570.71K","3.04%"
"11/30/2022","0.428","0.439","0.440","0.421","1.65M","0.47%"
"11/29/2022","0.426","0.440","0.449","0.425","1.96M","-3.18%"
"11/28/2022","0.440","0.440","0.450","0.434","2.37M","1.38%"
"11/25/2022","0.434","0.440","0.458","0.432","1.88M","0.23%"
"11/23/2022","0.433","0.450","0.460","0.430","4.72M","-6.07%"
"11/22/2022","0.461","0.460","0.471","0.460","1.44M","-2.54%"
"11/21/2022","0.473","0.488","0.490","0.470","973.17K","-2.67%"
"11/18/2022","0.486","0.482","0.487","0.475","534.77K","1.04%"
"11/17/2022","0.481","0.482","0.489","0.475","855.72K","-0.21%"
"11/16/2022","0.482","0.490","0.500","0.477","772.99K","-1.23%"
"11/15/2022","0.488","0.484","0.500","0.479","1.61M","1.04%"
"11/14/2022","0.483","0.481","0.500","0.471","1.07M","-0.82%"
"11/11/2022","0.487","0.490","0.499","0.481","1.32M","-0.20%"
"11/10/2022","0.488","0.490","0.490","0.465","1.50M","3.83%"
"11/09/2022","0.470","0.482","0.497","0.465","1.47M","-2.69%"
"11/08/2022","0.483","0.500","0.510","0.482","1.68M","-3.40%"
"11/07/2022","0.500","0.486","0.500","0.482","1.61M","3.09%"
"11/04/2022","0.485","0.500","0.510","0.481","1.77M","-3.00%"
"11/03/2022","0.500","0.500","0.500","0.480","9.75M","0.20%"
"11/02/2022","0.499","0.510","0.519","0.490","2.08M","-1.96%"
"11/01/2022","0.509","0.503","0.520","0.492","1.45M","0.20%"
"10/31/2022","0.508","0.499","0.515","0.499","1.50M","0.59%"
"10/28/2022","0.505","0.500","0.510","0.490","795.68K","1.00%"
"10/27/2022","0.500","0.491","0.505","0.490","1.49M","2.04%"
"10/26/2022","0.490","0.500","0.500","0.485","1.18M","-2.00%"
"10/25/2022","0.500","0.490","0.520","0.480","1.23M","3.31%"
"10/24/2022","0.484","0.476","0.495","0.476","986.81K","1.47%"
"10/21/2022","0.477","0.485","0.499","0.477","1.02M","-2.25%"
"10/20/2022","0.488","0.500","0.500","0.483","770.88K","-2.01%"
