"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2016","91.67","91.94","91.95","91.20","8.38M","-0.30%"
"03/01/2016","91.95","91.94","91.96","91.89","1.97M","0.01%"
"02/29/2016","91.94","91.94","91.96","91.90","2.99M","0.00%"
"02/27/2016","91.94","91.94","91.94","91.94","2.68M","-0.01%"
"02/26/2016","91.95","91.92","91.95","91.92","2.76M","0.16%"
"02/25/2016","91.80","91.81","91.84","91.72","2.04M","-0.10%"
"02/24/2016","91.89","91.64","91.91","91.61","2.77M","0.27%"
"02/23/2016","91.64","91.62","91.68","91.62","3.54M","0.03%"
"02/22/2016","91.61","91.55","91.67","91.54","3.78M","0.10%"
"02/19/2016","91.52","91.54","91.60","91.48","13.01M","1.04%"
"02/18/2016","90.58","90.50","90.70","90.49","3.93M","0.20%"
"02/17/2016","90.40","90.35","90.62","90.27","3.16M","-0.07%"
"02/16/2016","90.46","90.10","90.51","90.10","2.49M","0.46%"
"02/12/2016","90.05","90.14","90.19","89.96","2.23M","0.21%"
"02/11/2016","89.86","89.88","90.14","89.80","2.22M","-0.13%"
"02/10/2016","89.98","89.66","90.53","89.60","2.84M","0.55%"
"02/09/2016","89.49","88.87","89.51","88.87","1.81M","0.42%"
"02/08/2016","89.12","89.40","89.61","88.99","3.01M","-0.45%"
"02/05/2016","89.52","89.60","89.82","89.45","3.58M","-0.01%"
"02/04/2016","89.53","89.56","89.84","89.48","4.13M","-0.17%"
"02/03/2016","89.68","89.78","90.00","89.65","3.28M","-0.03%"
"02/02/2016","89.71","89.60","89.88","89.50","3.30M","0.19%"
"02/01/2016","89.54","89.25","89.72","89.15","5.05M","0.32%"
"01/29/2016","89.25","89.15","89.28","89.05","3.33M","0.18%"
"01/28/2016","89.09","89.30","89.46","89.03","4.01M","-0.24%"
"01/27/2016","89.30","89.30","89.63","89.21","2.65M","-0.20%"
"01/26/2016","89.48","89.18","89.53","89.04","2.83M","0.64%"
"01/25/2016","88.91","89.13","89.33","88.88","2.33M","-0.27%"
"01/22/2016","89.15","89.45","89.51","88.90","3.09M","-0.31%"
"01/21/2016","89.43","89.76","89.81","89.00","3.45M","-0.38%"
"01/20/2016","89.77","89.71","89.80","89.12","3.40M","-0.07%"
"01/19/2016","89.83","90.10","90.26","89.63","5.60M","-0.21%"
"01/15/2016","90.02","90.00","90.27","89.91","3.10M","-0.10%"
"01/14/2016","90.11","90.16","90.37","90.01","5.75M","0.00%"
"01/13/2016","90.11","90.51","90.60","90.07","5.34M","-0.34%"
"01/12/2016","90.42","90.20","90.46","90.00","4.83M","0.23%"
"01/11/2016","90.21","90.25","90.34","90.10","2.29M","-0.09%"
"01/08/2016","90.29","90.19","90.37","90.10","2.55M","0.16%"
"01/07/2016","90.15","89.94","90.34","89.93","3.12M","-0.14%"
"01/06/2016","90.28","89.75","90.30","89.66","2.77M","0.42%"
"01/05/2016","89.90","89.92","90.15","89.77","2.89M","-0.20%"
"01/04/2016","90.08","89.60","90.24","89.54","2.74M","0.11%"
"12/31/2015","89.98","90.02","90.38","89.90","1.68M","-0.14%"
"12/30/2015","90.11","90.06","90.20","90.01","1.28M","-0.11%"
"12/29/2015","90.21","89.88","90.32","89.83","1.04M","0.34%"
"12/28/2015","89.90","89.80","89.93","89.59","1.60M","0.02%"
"12/24/2015","89.88","89.75","90.17","89.70","977.21K","0.17%"
"12/23/2015","89.73","89.43","89.79","89.38","2.55M","0.28%"
