"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2022","36.39","35.23","37.26","35.05","4.78M","1.99%"
"03/11/2022","35.68","35.40","37.35","35.11","4.03M","0.25%"
"03/10/2022","35.59","33.84","35.72","33.04","3.73M","6.05%"
"03/09/2022","33.56","32.80","34.87","32.53","4.06M","-1.70%"
"03/08/2022","34.14","30.41","34.18","30.41","6.95M","16.36%"
"03/07/2022","29.34","30.75","31.02","29.19","3.81M","-2.69%"
"03/04/2022","30.15","29.58","30.37","29.27","5.34M","1.55%"
"03/03/2022","29.69","30.59","31.24","29.41","3.55M","-3.76%"
"03/02/2022","30.85","30.38","31.33","30.23","3.14M","2.73%"
"03/01/2022","30.03","30.73","31.80","29.69","3.81M","-1.38%"
"02/28/2022","30.45","29.42","30.88","29.42","3.63M","2.11%"
"02/25/2022","29.82","30.06","30.50","29.14","4.36M","-0.10%"
"02/24/2022","29.85","30.36","30.91","29.20","4.26M","-2.10%"
"02/23/2022","30.49","32.95","33.11","30.45","8.30M","-11.47%"
"02/22/2022","34.44","36.48","36.60","34.12","1.97M","-2.79%"
"02/18/2022","35.43","35.46","36.44","35.20","1.46M","-1.53%"
"02/17/2022","35.98","36.34","36.66","35.90","1.38M","-1.56%"
"02/16/2022","36.55","38.61","39.39","36.53","2.07M","-4.17%"
"02/15/2022","38.14","37.32","38.67","36.90","2.10M","-0.16%"
"02/14/2022","38.20","38.07","38.53","37.50","2.39M","-1.09%"
"02/11/2022","38.62","36.38","38.64","36.09","3.35M","7.07%"
"02/10/2022","36.07","35.86","36.85","35.74","1.78M","-0.33%"
"02/09/2022","36.19","36.49","36.69","36.02","2.04M","-0.55%"
"02/08/2022","36.39","36.93","37.21","36.03","1.82M","-2.18%"
"02/07/2022","37.20","36.20","37.48","36.20","1.24M","1.81%"
"02/04/2022","36.54","36.15","36.94","35.82","1.46M","1.70%"
"02/03/2022","35.93","36.95","36.95","35.92","1.20M","-2.55%"
"02/02/2022","36.87","36.89","37.43","36.28","1.54M","0.16%"
"02/01/2022","36.81","34.82","36.97","34.65","1.69M","4.69%"
"01/31/2022","35.16","34.91","35.39","34.17","2.05M","0.43%"
"01/28/2022","35.01","34.40","35.13","34.17","2.18M","0.72%"
"01/27/2022","34.76","35.21","35.39","33.88","1.86M","1.34%"
"01/26/2022","34.30","35.20","36.04","34.08","2.31M","-0.95%"
"01/25/2022","34.63","33.53","34.91","32.76","1.77M","2.61%"
"01/24/2022","33.75","33.49","33.91","32.28","2.20M","-0.76%"
"01/21/2022","34.01","35.07","35.22","33.76","1.79M","-4.03%"
"01/20/2022","35.44","36.71","37.55","35.38","1.60M","-4.35%"
"01/19/2022","37.05","38.01","38.19","36.92","1.76M","-1.31%"
"01/18/2022","37.54","38.19","38.72","37.21","2.24M","-0.35%"
"01/14/2022","37.67","35.22","37.68","35.22","3.23M","6.83%"
"01/13/2022","35.26","34.93","35.59","34.78","1.55M","1.29%"
"01/12/2022","34.81","34.76","35.22","34.51","1.41M","-0.43%"
"01/11/2022","34.96","34.58","35.28","34.21","1.51M","2.10%"
"01/10/2022","34.24","33.76","34.30","33.36","2.35M","1.75%"
"01/07/2022","33.65","34.05","34.42","33.45","1.58M","-0.59%"
"01/06/2022","33.85","33.91","34.12","32.57","2.50M","2.20%"
"01/05/2022","33.12","33.66","33.89","32.94","2.15M","-0.60%"
"01/04/2022","33.32","34.42","34.68","32.96","3.37M","-1.62%"
"01/03/2022","33.87","33.25","34.01","32.96","1.34M","3.33%"
"12/31/2021","32.78","32.60","33.04","32.49","690.75K","0.37%"
"12/30/2021","32.66","33.14","33.58","32.65","747.86K","-1.27%"
"12/29/2021","33.08","32.70","33.45","32.49","769.64K","0.70%"
"12/28/2021","32.85","32.72","33.42","32.50","896.02K","1.20%"
"12/27/2021","32.46","31.90","32.47","31.40","941.60K","1.18%"
"12/23/2021","32.08","32.44","32.66","32.06","704.60K","-0.12%"
"12/22/2021","32.12","32.18","32.55","31.89","894.63K","-0.74%"
"12/21/2021","32.36","31.83","32.56","31.79","1.38M","2.99%"
"12/20/2021","31.42","30.93","31.52","30.32","1.39M","-1.75%"
"12/17/2021","31.98","31.11","32.11","30.78","3.00M","1.65%"
"12/16/2021","31.46","32.25","32.55","31.33","1.90M","-1.47%"
"12/15/2021","31.93","31.41","32.06","30.79","1.42M","0.60%"
"12/14/2021","31.74","31.81","33.01","31.61","1.75M","-0.81%"
"12/13/2021","32.00","32.65","32.90","31.88","1.32M","-3.35%"
"12/10/2021","33.11","33.12","33.15","32.19","1.13M","1.81%"
"12/09/2021","32.52","32.24","32.72","32.21","1.22M","-1.22%"
"12/08/2021","32.92","33.54","33.85","32.82","1.61M","-1.64%"
"12/07/2021","33.47","33.72","35.06","33.23","2.21M","0.33%"
"12/06/2021","33.36","32.80","33.81","32.49","1.30M","3.70%"
"12/03/2021","32.17","33.94","34.29","31.80","1.97M","-3.88%"
"12/02/2021","33.47","32.42","33.86","32.11","2.03M","3.27%"
"12/01/2021","32.41","33.21","34.36","32.40","3.18M","0.28%"
"11/30/2021","32.32","31.35","32.52","31.11","2.75M","1.06%"
"11/29/2021","31.98","32.58","32.94","31.65","1.32M","0.79%"
"11/26/2021","31.73","31.60","32.05","30.65","1.48M","-6.57%"
"11/24/2021","33.96","33.00","34.16","33.00","1.26M","2.01%"
"11/23/2021","33.29","32.52","33.63","32.49","1.73M","4.32%"
"11/22/2021","31.91","30.97","32.47","30.94","1.96M","2.31%"
"11/19/2021","31.19","31.46","32.00","30.78","1.85M","-4.15%"
"11/18/2021","32.54","32.21","32.78","32.00","1.34M","0.00%"
"11/17/2021","32.54","34.41","34.47","32.46","2.09M","-6.12%"
"11/16/2021","34.66","35.16","35.24","34.41","1.53M","0.17%"
"11/15/2021","34.60","34.74","35.07","34.13","1.41M","0.09%"
"11/12/2021","34.57","33.34","34.70","33.34","1.88M","2.58%"
"11/11/2021","33.70","33.47","34.18","33.27","940.02K","0.60%"
"11/10/2021","33.50","33.96","34.40","33.35","1.62M","-1.35%"
"11/09/2021","33.96","33.52","34.12","33.34","1.37M","1.25%"
"11/08/2021","33.54","33.40","34.28","33.18","1.63M","1.73%"
"11/05/2021","32.97","33.00","33.41","32.60","1.92M","1.70%"
"11/04/2021","32.42","34.67","34.79","32.06","2.48M","-4.37%"
"11/03/2021","33.90","33.53","34.80","33.17","3.02M","0.30%"
"11/02/2021","33.80","33.90","34.35","33.53","2.20M","-1.20%"
"11/01/2021","34.21","34.21","34.81","34.03","2.13M","1.21%"
"10/29/2021","33.80","34.15","34.15","33.27","2.27M","-0.53%"
"10/28/2021","33.98","34.10","34.68","33.56","2.02M","-0.59%"
"10/27/2021","34.18","35.53","35.73","33.97","1.81M","-5.66%"
"10/26/2021","36.23","37.15","37.46","36.12","1.44M","-2.56%"
"10/25/2021","37.18","36.82","37.39","36.73","1.27M","1.75%"
"10/22/2021","36.54","36.71","36.85","35.83","983.88K","-0.08%"
"10/21/2021","36.57","36.96","37.63","36.27","1.14M","-2.19%"
"10/20/2021","37.39","37.19","37.92","36.89","2.14M","-0.37%"
"10/19/2021","37.53","37.13","37.68","36.78","1.30M","2.23%"
"10/18/2021","36.71","36.69","37.28","36.36","1.02M","0.74%"
