"Date","Price","Open","High","Low","Vol.","Change %"
"02/25/2022","108.61","106.99","109.16","105.24","29.95M","0.74%"
"02/24/2022","107.81","103.33","108.41","102.91","3.34M","2.17%"
"02/23/2022","105.52","107.99","108.54","105.42","3.61M","-1.86%"
"02/22/2022","107.52","106.77","108.64","106.48","3.94M","0.38%"
"02/18/2022","107.11","108.10","108.10","106.45","2.04M","-0.72%"
"02/17/2022","107.89","108.99","109.74","107.71","2.64M","-1.34%"
"02/16/2022","109.35","108.76","110.14","107.75","3.16M","0.28%"
"02/15/2022","109.04","109.25","109.99","108.31","2.03M","1.15%"
"02/14/2022","107.80","109.42","109.90","106.26","4.06M","-1.78%"
"02/11/2022","109.75","112.17","112.44","109.35","2.67M","-2.20%"
"02/10/2022","112.22","112.85","115.00","111.48","2.40M","-2.60%"
"02/09/2022","115.22","113.99","115.92","113.73","2.27M","2.02%"
"02/08/2022","112.94","113.95","114.31","110.78","2.13M","-1.20%"
"02/07/2022","114.31","116.97","117.31","113.87","2.04M","-2.10%"
"02/04/2022","116.76","115.49","118.38","115.08","1.59M","0.40%"
"02/03/2022","116.29","117.36","118.27","116.20","2.71M","-2.27%"
"02/02/2022","118.99","117.58","119.11","117.26","5.96M","1.29%"
"02/01/2022","117.47","117.69","117.97","115.38","3.18M","0.58%"
"01/31/2022","116.79","114.01","117.04","114.00","2.49M","1.99%"
"01/28/2022","114.51","111.45","114.65","110.14","1.86M","2.83%"
"01/27/2022","111.36","113.21","115.58","110.74","1.86M","-0.73%"
"01/26/2022","112.18","114.05","115.04","111.27","2.32M","-0.65%"
"01/25/2022","112.91","115.70","116.13","112.73","3.04M","-4.19%"
"01/24/2022","117.85","115.96","118.11","112.97","3.04M","0.17%"
"01/21/2022","117.65","118.86","119.87","116.81","3.55M","-0.25%"
"01/20/2022","117.95","119.78","121.50","117.51","2.02M","-1.02%"
"01/19/2022","119.17","120.45","122.46","119.02","2.02M","-0.28%"
"01/18/2022","119.51","119.93","120.35","118.55","1.95M","-1.86%"
"01/14/2022","121.77","121.66","122.08","120.44","2.93M","-0.90%"
"01/13/2022","122.87","125.92","126.73","122.33","2.05M","-2.54%"
"01/12/2022","126.07","124.84","126.88","124.74","1.81M","1.51%"
"01/11/2022","124.20","123.01","124.36","121.64","1.78M","1.18%"
"01/10/2022","122.75","124.26","124.32","120.83","3.67M","-2.58%"
"01/07/2022","126.00","127.24","127.47","125.69","3.28M","-1.06%"
"01/06/2022","127.35","127.58","128.21","126.03","1.84M","-0.75%"
"01/05/2022","128.31","129.90","130.55","128.31","1.46M","-0.98%"
"01/04/2022","129.58","130.14","130.66","128.71","1.36M","-0.25%"
"01/03/2022","129.91","132.74","133.14","129.03","2.03M","-2.26%"
"12/31/2021","132.92","132.23","133.31","132.02","2.07M","0.45%"
"12/30/2021","132.33","133.87","134.15","132.19","2.22M","-0.83%"
"12/29/2021","133.44","133.79","134.47","132.92","2.03M","0.10%"
"12/28/2021","133.31","135.36","135.61","133.16","3.15M","-0.94%"
"12/27/2021","134.57","133.85","135.19","133.18","1.65M","1.26%"
"12/23/2021","132.90","132.98","133.98","132.83","1.45M","0.11%"
"12/22/2021","132.75","131.62","132.83","131.57","2.41M","0.61%"
"12/21/2021","131.94","129.85","132.21","129.79","2.16M","2.23%"
"12/20/2021","129.06","130.00","130.00","127.33","1.10M","-1.65%"
"12/17/2021","131.22","132.60","133.45","130.53","2.09M","-1.92%"
"12/16/2021","133.79","134.65","135.82","132.38","1.25M","-0.45%"
"12/15/2021","134.40","132.09","134.49","131.72","1.17M","2.00%"
"12/14/2021","131.76","133.22","133.98","130.41","2.39M","-1.78%"
"12/13/2021","134.15","132.96","135.01","132.96","1.49M","1.02%"
"12/10/2021","132.80","131.65","132.86","130.63","1.16M","1.23%"
"12/09/2021","131.18","132.37","132.49","131.08","1.50M","-1.06%"
"12/08/2021","132.59","132.00","132.91","131.30","1.66M","0.51%"
"12/07/2021","131.92","129.98","132.09","129.93","2.70M","2.92%"
"12/06/2021","128.18","128.90","128.90","126.76","2.12M","0.34%"
"12/03/2021","127.74","130.00","130.71","124.79","2.26M","-1.21%"
"12/02/2021","129.30","125.64","129.82","125.64","2.12M","2.81%"
"12/01/2021","125.77","129.16","129.98","125.69","2.67M","-1.60%"
"11/30/2021","127.82","128.98","130.85","127.41","2.98M","-1.78%"
"11/29/2021","130.13","129.19","130.91","128.30","1.54M","2.21%"
"11/26/2021","127.32","128.58","129.77","126.84","1.08M","-1.90%"
"11/24/2021","129.78","127.50","130.26","127.19","1.44M","1.21%"
"11/23/2021","128.23","127.42","128.65","126.41","1.91M","0.12%"
"11/22/2021","128.08","129.30","130.12","127.97","2.84M","-0.83%"
"11/19/2021","129.15","130.85","131.17","128.48","3.18M","-0.68%"
"11/18/2021","130.03","130.54","130.94","128.94","1.81M","-0.16%"
"11/17/2021","130.24","131.69","131.69","126.47","2.91M","-1.15%"
"11/16/2021","131.75","128.11","132.35","128.11","4.58M","2.51%"
"11/15/2021","128.52","125.93","129.97","125.84","4.45M","2.37%"
"11/12/2021","125.55","123.43","126.79","122.71","3.90M","1.64%"
"11/11/2021","123.52","124.61","125.19","123.47","2.07M","-0.76%"
"11/10/2021","124.46","125.98","126.39","123.61","2.11M","-1.64%"
"11/09/2021","126.53","125.81","127.19","125.77","2.01M","0.08%"
"11/08/2021","126.43","127.29","127.88","125.60","2.46M","-0.18%"
"11/05/2021","126.66","128.10","128.99","125.91","2.30M","-0.35%"
"11/04/2021","127.11","125.96","127.79","125.73","3.72M","1.22%"
"11/03/2021","125.58","126.80","127.26","124.49","1.54M","-1.01%"
"11/02/2021","126.86","127.22","129.16","126.56","2.19M","-0.15%"
"11/01/2021","127.05","130.90","131.40","125.72","3.03M","-2.81%"
"10/29/2021","130.72","128.91","130.81","128.29","3.33M","1.15%"
"10/28/2021","129.24","128.06","131.11","128.05","2.01M","1.10%"
"10/27/2021","127.84","127.73","130.03","127.66","1.70M","-0.32%"
"10/26/2021","128.25","124.65","130.07","124.52","4.23M","3.49%"
"10/25/2021","123.93","125.04","125.23","123.32","2.18M","-0.89%"
"10/22/2021","125.04","124.33","125.40","123.92","2.23M","0.57%"
"10/21/2021","124.33","122.45","124.38","121.89","851.54K","1.17%"
"10/20/2021","122.89","125.84","126.03","121.70","1.06M","-2.36%"
"10/19/2021","125.86","124.75","126.30","124.53","2.33M","1.35%"
"10/18/2021","124.18","122.30","124.29","122.29","1.41M","1.04%"
"10/15/2021","122.90","122.78","123.73","122.43","1.24M","0.44%"
"10/14/2021","122.36","120.63","123.33","120.42","1.55M","2.56%"
"10/13/2021","119.31","119.76","119.99","117.53","2.12M","0.03%"
"10/12/2021","119.27","118.95","120.53","117.95","2.66M","0.82%"
"10/11/2021","118.30","118.57","120.12","118.12","599.40K","-0.71%"
"10/08/2021","119.14","119.40","119.63","117.92","2.35M","-0.53%"
"10/07/2021","119.77","119.35","120.80","119.18","1.42M","1.39%"
"10/06/2021","118.13","115.92","118.35","115.75","2.26M","0.68%"
"10/05/2021","117.33","114.92","118.45","114.89","1.66M","2.47%"
"10/04/2021","114.50","117.73","118.50","114.32","2.99M","-2.90%"
"10/01/2021","117.92","117.36","118.57","116.12","1.42M","1.11%"
"09/30/2021","116.62","117.91","118.88","116.62","1.71M","-0.35%"
"09/29/2021","117.03","117.21","117.95","116.12","2.14M","0.48%"
"09/28/2021","116.47","121.30","121.34","114.63","3.41M","-5.05%"
"09/27/2021","122.66","124.02","124.32","121.66","1.25M","-1.53%"
"09/24/2021","124.57","123.53","124.85","123.32","1.10M","0.30%"
"09/23/2021","124.20","123.01","125.23","122.95","2.79M","1.50%"
"09/22/2021","122.37","122.51","122.96","120.95","2.82M","0.46%"
"09/21/2021","121.81","122.00","122.38","120.99","1.87M","0.46%"
"09/20/2021","121.25","120.22","121.34","119.38","1.82M","-0.39%"
"09/17/2021","121.73","123.26","123.42","121.18","5.88M","-1.66%"
"09/16/2021","123.78","123.37","124.13","122.87","2.23M","0.32%"
"09/15/2021","123.39","123.50","123.84","122.43","1.87M","0.00%"
"09/14/2021","123.39","123.50","124.63","123.04","1.92M","0.23%"
"09/13/2021","123.11","121.79","124.00","119.57","4.00M","1.90%"
"09/10/2021","120.82","121.38","122.24","120.13","2.46M","0.81%"
"09/09/2021","119.85","120.98","122.03","119.56","2.50M","-0.63%"
"09/08/2021","120.61","120.35","121.62","120.06","2.92M","0.39%"
"09/07/2021","120.14","122.11","122.64","120.10","2.08M","-1.72%"
"09/03/2021","122.24","121.66","123.20","121.66","1.43M","0.31%"
"09/02/2021","121.86","122.63","123.62","121.40","2.25M","-0.31%"
"09/01/2021","122.24","121.03","122.82","120.60","1.91M","1.36%"
"08/31/2021","120.60","120.67","121.51","120.41","1.50M","-0.19%"
"08/30/2021","120.83","119.45","121.48","119.44","1.68M","1.26%"
"08/27/2021","119.33","119.73","120.20","118.81","1.08M","0.23%"
"08/26/2021","119.06","118.87","119.46","118.10","1.54M","0.05%"
"08/25/2021","119.00","118.62","119.23","118.09","958.49K","-0.01%"
"08/24/2021","119.01","119.34","119.79","118.89","1.37M","-0.17%"
"08/23/2021","119.21","118.32","119.76","118.32","2.30M","0.94%"
"08/20/2021","118.10","116.90","118.55","116.61","1.49M","0.78%"
"08/19/2021","117.19","114.72","117.32","113.78","2.22M","1.40%"
"08/18/2021","115.57","119.39","119.84","115.49","2.04M","-3.60%"
"08/17/2021","119.88","120.11","120.36","119.12","1.73M","-0.37%"
"08/16/2021","120.32","119.25","120.42","118.70","1.82M","0.65%"
"08/13/2021","119.54","118.77","120.03","118.58","1.10M","0.72%"
"08/12/2021","118.68","117.65","118.72","117.40","755.91K","0.69%"
"08/11/2021","117.87","118.13","118.75","117.28","1.21M","-0.13%"
"08/10/2021","118.02","118.43","118.60","117.74","1.59M","0.08%"
"08/09/2021","117.92","119.64","119.64","117.63","2.83M","-1.41%"
"08/06/2021","119.61","119.39","119.79","118.60","2.37M","0.16%"
"08/05/2021","119.42","118.21","120.63","118.03","2.78M","1.26%"
"08/04/2021","117.93","117.53","118.77","116.15","4.30M","0.03%"
"08/03/2021","117.90","118.17","118.54","116.90","2.37M","-0.07%"
"08/02/2021","117.98","117.07","119.07","117.02","3.39M","0.98%"
"07/30/2021","116.84","114.80","117.39","114.80","4.15M","1.31%"
"07/29/2021","115.33","113.46","116.54","113.22","3.18M","2.68%"
"07/28/2021","112.32","113.58","114.12","111.68","2.83M","-0.85%"
"07/27/2021","113.28","113.56","114.35","111.94","2.95M","-0.58%"
"07/26/2021","113.94","114.89","115.01","112.55","1.56M","-1.30%"
"07/23/2021","115.44","115.92","116.58","115.21","2.03M","-0.10%"
"07/22/2021","115.55","115.34","115.89","114.79","1.82M","0.35%"
"07/21/2021","115.15","115.05","116.09","114.98","1.75M","0.24%"
"07/20/2021","114.87","113.04","115.73","112.91","1.64M","1.75%"
"07/19/2021","112.89","113.21","114.25","112.04","3.25M","-1.03%"
"07/16/2021","114.06","113.43","114.40","113.33","1.42M","0.65%"
"07/15/2021","113.32","112.71","113.50","112.52","2.86M","0.91%"
