"Date","Price","Open","High","Low","Vol.","Change %"
"05/26/2017","14.17","14.09","14.30","14.01","57.16M","-0.56%"
"05/25/2017","14.25","14.38","14.45","14.15","4.72M","-0.70%"
"05/24/2017","14.35","14.41","14.44","14.27","3.92M","-1.17%"
"05/23/2017","14.52","14.45","14.55","14.34","2.87M","0.00%"
"05/22/2017","14.52","14.41","14.55","14.34","2.01M","0.97%"
"05/19/2017","14.38","14.10","14.40","14.07","2.08M","1.84%"
"05/18/2017","14.12","13.86","14.17","13.85","1.89M","1.95%"
"05/17/2017","13.85","14.10","14.20","13.76","3.17M","-3.01%"
"05/16/2017","14.28","14.59","14.61","14.26","3.49M","-2.33%"
"05/15/2017","14.62","14.71","14.81","14.61","3.16M","0.90%"
"05/12/2017","14.49","14.47","14.76","14.47","3.24M","0.28%"
"05/11/2017","14.45","14.39","14.56","14.36","2.62M","0.14%"
"05/10/2017","14.43","14.26","14.46","14.23","2.89M","2.41%"
"05/09/2017","14.09","14.17","14.22","14.06","4.73M","1.88%"
"05/08/2017","13.83","13.92","13.98","13.73","3.37M","0.51%"
"05/05/2017","13.76","13.80","13.95","13.71","2.61M","0.15%"
"05/04/2017","13.74","13.72","14.07","13.70","4.87M","0.29%"
"05/03/2017","13.70","13.36","13.74","13.34","2.54M","0.51%"
"05/02/2017","13.63","13.53","13.65","13.46","1.64M","0.66%"
"05/01/2017","13.54","13.76","13.76","13.53","1.42M","-0.88%"
"04/28/2017","13.66","13.67","13.75","13.55","2.06M","-0.87%"
"04/27/2017","13.78","13.57","13.78","13.52","2.29M","1.62%"
"04/26/2017","13.56","13.44","13.69","13.43","2.27M","0.82%"
"04/25/2017","13.45","13.53","13.64","13.39","2.20M","0.15%"
"04/24/2017","13.43","13.51","13.60","13.43","2.69M","2.13%"
"04/21/2017","13.15","13.25","13.32","13.10","2.33M","-0.53%"
"04/20/2017","13.22","13.30","13.41","13.07","4.09M","-0.08%"
"04/19/2017","13.23","13.37","13.44","13.18","2.12M","0.46%"
"04/18/2017","13.17","13.16","13.24","12.96","2.58M","-0.60%"
"04/17/2017","13.25","13.00","13.25","12.96","1.29M","1.92%"
"04/13/2017","13.00","13.18","13.24","12.99","1.32M","-1.66%"
"04/12/2017","13.22","13.08","13.28","13.05","1.43M","0.76%"
"04/11/2017","13.12","13.00","13.24","12.94","2.68M","1.78%"
"04/10/2017","12.89","12.88","13.01","12.83","981.26K","0.62%"
"04/07/2017","12.81","12.89","12.95","12.80","1.12M","-1.16%"
"04/06/2017","12.96","12.85","12.96","12.75","965.80K","0.78%"
"04/05/2017","12.86","13.15","13.16","12.86","1.46M","-1.76%"
"04/04/2017","13.09","13.05","13.14","12.99","1.44M","-1.73%"
"04/03/2017","13.32","13.32","13.38","13.24","2.46M","0.91%"
"03/31/2017","13.20","13.08","13.27","13.05","1.77M","0.69%"
"03/30/2017","13.11","13.11","13.20","13.03","3.57M","1.63%"
"03/29/2017","12.90","12.88","12.95","12.80","1.15M","-0.15%"
"03/28/2017","12.92","12.71","12.94","12.68","1.24M","2.05%"
"03/27/2017","12.66","12.74","12.82","12.60","1.07M","-0.55%"
"03/24/2017","12.73","12.72","12.84","12.64","1.28M","0.16%"
"03/23/2017","12.71","12.68","12.87","12.65","922.76K","0.08%"
"03/22/2017","12.70","12.57","12.72","12.50","1.45M","0.40%"
"03/21/2017","12.65","13.05","13.12","12.58","3.35M","-1.63%"
"03/20/2017","12.86","12.86","12.95","12.77","1.47M","0.31%"
"03/17/2017","12.82","12.96","13.01","12.78","2.49M","-1.08%"
"03/16/2017","12.96","12.92","13.01","12.88","1.40M","1.41%"
"03/15/2017","12.78","12.55","12.81","12.53","1.24M","2.49%"
"03/14/2017","12.47","12.57","12.61","12.01","1.17M","-1.66%"
"03/13/2017","12.68","12.63","12.72","12.63","935.84K","0.16%"
"03/10/2017","12.66","12.59","12.73","12.56","898.34K","1.52%"
"03/09/2017","12.47","12.61","12.61","12.46","1.19M","0.08%"
"03/08/2017","12.46","12.55","12.64","12.45","1.08M","0.32%"
"03/07/2017","12.42","12.45","12.56","12.40","1.36M","-0.24%"
"03/06/2017","12.45","12.42","12.56","12.38","1.73M","0.97%"
"03/03/2017","12.33","12.43","12.49","12.33","1.36M","-0.24%"
"03/02/2017","12.36","12.60","12.65","12.36","1.49M","-1.98%"
"03/01/2017","12.61","12.70","12.74","12.47","2.08M","-0.39%"
"02/28/2017","12.66","12.58","12.75","12.55","1.51M","-0.39%"
"02/27/2017","12.71","12.39","12.74","12.36","850.87K","1.68%"
"02/24/2017","12.50","12.46","12.50","12.35","1.90M","-0.95%"
"02/23/2017","12.62","12.77","12.82","12.55","2.22M","-0.79%"
"02/22/2017","12.72","12.79","12.87","12.68","1.81M","-0.55%"
"02/21/2017","12.79","12.77","12.86","12.69","2.51M","2.73%"
"02/17/2017","12.45","12.39","12.46","12.30","518.00K","0.32%"
"02/16/2017","12.41","12.53","12.53","12.37","692.48K","-1.12%"
"02/15/2017","12.55","12.43","12.56","12.39","868.48K","0.16%"
"02/14/2017","12.53","12.45","12.54","12.34","1.65M","0.97%"
"02/13/2017","12.41","12.22","12.45","12.21","1.54M","2.39%"
"02/10/2017","12.12","12.13","12.20","12.03","1.36M","0.33%"
"02/09/2017","12.08","12.01","12.08","11.96","1.01M","0.00%"
"02/08/2017","12.08","12.20","12.25","11.96","2.11M","-0.66%"
"02/07/2017","12.16","12.27","12.31","12.06","1.42M","-0.33%"
"02/06/2017","12.20","12.23","12.25","12.15","939.84K","-1.21%"
"02/03/2017","12.35","12.38","12.38","12.22","1.88M","0.90%"
"02/02/2017","12.24","12.23","12.29","12.08","1.60M","-0.89%"
"02/01/2017","12.35","12.38","12.44","12.16","1.75M","-1.20%"
"01/31/2017","12.50","12.40","12.54","12.38","1.26M","0.81%"
"01/30/2017","12.40","12.30","12.43","12.24","1.93M","-0.16%"
"01/27/2017","12.42","12.51","12.61","12.23","3.32M","-1.90%"
"01/26/2017","12.66","12.96","13.04","12.54","2.66M","-0.78%"
"01/25/2017","12.76","12.90","12.98","12.62","1.73M","-0.85%"
"01/24/2017","12.87","13.40","13.41","12.83","2.50M","-3.74%"
"01/23/2017","13.37","13.47","13.53","13.29","804.32K","-1.33%"
"01/20/2017","13.55","13.46","13.64","13.46","673.35K","0.52%"
"01/19/2017","13.48","13.48","13.57","13.39","898.47K","0.22%"
"01/18/2017","13.45","13.45","13.63","13.36","1.52M","2.75%"
"01/17/2017","13.09","13.18","13.39","13.03","1.60M","-1.21%"
"01/13/2017","13.25","13.51","13.66","13.20","1.15M","-1.71%"
"01/12/2017","13.48","13.61","13.61","13.33","883.64K","-1.39%"
"01/11/2017","13.67","13.54","13.68","13.41","907.11K","0.96%"
"01/10/2017","13.54","13.53","13.68","13.40","1.11M","-0.07%"
"01/09/2017","13.55","13.59","13.66","13.41","1.58M","-0.81%"
"01/06/2017","13.66","13.68","13.71","13.36","1.13M","0.07%"
"01/05/2017","13.65","13.75","13.90","13.51","1.56M","-0.51%"
"01/04/2017","13.72","13.58","13.78","13.53","1.59M","2.01%"
"01/03/2017","13.45","13.55","13.80","13.33","2.17M","1.36%"
"12/30/2016","13.27","13.47","13.55","13.21","747.16K","-1.04%"
"12/29/2016","13.41","13.37","13.63","13.30","1.05M","0.60%"
"12/28/2016","13.33","13.64","13.66","13.32","783.05K","-2.56%"
"12/27/2016","13.68","13.66","13.79","13.60","239.52K","0.44%"
"12/23/2016","13.62","13.60","13.66","13.51","287.88K","0.52%"
"12/22/2016","13.55","13.63","13.63","13.48","536.89K","-0.66%"
"12/21/2016","13.64","13.64","13.74","13.48","840.74K","-0.37%"
"12/20/2016","13.69","13.49","13.69","13.27","1.16M","0.22%"
"12/19/2016","13.66","13.50","13.66","13.38","1.21M","1.41%"
"12/16/2016","13.47","13.61","13.72","13.39","3.35M","-0.74%"
"12/15/2016","13.57","13.39","13.61","13.35","1.21M","1.57%"
"12/14/2016","13.36","13.44","13.71","13.34","1.68M","-1.18%"
"12/13/2016","13.52","13.79","13.79","13.45","1.35M","-1.17%"
"12/12/2016","13.68","13.95","14.03","13.67","1.38M","-3.25%"
"12/09/2016","14.14","14.18","14.18","13.81","983.68K","-0.77%"
"12/08/2016","14.25","13.92","14.28","13.84","1.74M","2.96%"
