"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2017","28.30","28.30","28.31","28.29","7.37M","0.04%"
"04/04/2017","28.29","28.29","28.30","28.29","1.22M","0.00%"
"04/03/2017","28.29","28.23","28.30","28.23","1.55M","0.14%"
"03/31/2017","28.25","28.19","28.30","28.19","996.84K","-0.14%"
"03/30/2017","28.29","28.24","28.29","28.23","680.84K","0.07%"
"03/29/2017","28.27","28.22","28.28","28.19","547.52K","0.14%"
"03/28/2017","28.23","28.19","28.23","28.19","1.03M","0.11%"
"03/27/2017","28.20","28.18","28.20","28.18","725.31K","0.04%"
"03/24/2017","28.19","28.20","28.21","28.18","409.03K","0.04%"
"03/23/2017","28.18","28.18","28.19","28.16","1.05M","0.00%"
"03/22/2017","28.18","28.16","28.19","28.16","1.08M","0.07%"
"03/21/2017","28.16","28.22","28.22","28.16","816.98K","-0.11%"
"03/20/2017","28.19","28.15","28.21","28.15","1.28M","-0.04%"
"03/17/2017","28.20","28.23","28.25","28.20","1.59M","-0.07%"
"03/16/2017","28.22","28.26","28.26","28.20","1.06M","-0.11%"
"03/15/2017","28.25","28.16","28.29","28.16","2.04M","0.36%"
"03/14/2017","28.15","28.16","28.16","28.14","808.75K","-0.04%"
"03/13/2017","28.16","28.16","28.18","28.15","2.04M","0.00%"
"03/10/2017","28.16","28.19","28.19","28.15","2.50M","-0.04%"
"03/09/2017","28.17","28.17","28.18","28.14","705.19K","0.00%"
"03/08/2017","28.17","28.18","28.21","28.17","1.32M","0.00%"
"03/07/2017","28.17","28.17","28.19","28.16","353.91K","-0.04%"
"03/06/2017","28.18","28.15","28.21","28.14","1.16M","0.11%"
"03/03/2017","28.15","28.15","28.18","28.14","1.25M","-0.04%"
"03/02/2017","28.16","28.18","28.20","28.12","2.18M","-0.14%"
"03/01/2017","28.20","28.19","28.23","28.18","1.13M","0.04%"
"02/28/2017","28.19","28.19","28.19","28.17","1.11M","0.04%"
"02/27/2017","28.18","28.16","28.19","28.15","594.39K","0.00%"
"02/24/2017","28.18","28.14","28.18","28.14","543.06K","0.00%"
"02/23/2017","28.18","28.17","28.19","28.15","1.07M","0.04%"
"02/22/2017","28.17","28.14","28.17","28.14","427.46K","0.00%"
"02/21/2017","28.17","28.14","28.17","28.11","475.46K","0.28%"
"02/17/2017","28.09","28.14","28.15","28.09","712.05K","-0.21%"
"02/16/2017","28.15","28.15","28.15","28.12","450.51K","0.04%"
"02/15/2017","28.14","28.12","28.14","28.11","770.07K","0.11%"
"02/14/2017","28.11","28.13","28.15","28.11","902.75K","-0.11%"
"02/13/2017","28.14","28.15","28.15","28.13","420.58K","0.00%"
"02/10/2017","28.14","28.15","28.16","28.13","538.87K","0.00%"
"02/09/2017","28.14","28.13","28.15","28.13","1.79M","0.00%"
"02/08/2017","28.14","28.15","28.17","28.07","1.23M","0.00%"
"02/07/2017","28.14","28.15","28.15","28.12","1.18M","0.00%"
"02/06/2017","28.14","28.16","28.16","28.13","378.17K","0.00%"
"02/03/2017","28.14","28.15","28.16","28.12","773.74K","0.07%"
"02/02/2017","28.12","28.15","28.15","28.07","1.90M","0.00%"
"02/01/2017","28.12","28.16","28.17","28.12","1.31M","0.00%"
"01/31/2017","28.12","28.11","28.16","28.11","3.24M","0.00%"
"01/30/2017","28.12","28.13","28.14","28.12","875.86K","-0.07%"
"01/27/2017","28.14","28.15","28.17","28.13","655.33K","0.00%"
"01/26/2017","28.14","28.19","28.19","28.12","754.91K","-0.14%"
"01/25/2017","28.18","28.16","28.18","28.14","813.46K","0.11%"
"01/24/2017","28.15","28.16","28.17","28.12","693.02K","0.00%"
"01/23/2017","28.15","28.14","28.17","28.12","577.02K","0.04%"
"01/20/2017","28.14","28.14","28.17","28.13","778.11K","-0.04%"
"01/19/2017","28.15","28.14","28.17","28.12","923.39K","0.04%"
"01/18/2017","28.14","28.15","28.15","28.12","813.13K","0.00%"
"01/17/2017","28.14","28.13","28.15","28.11","633.30K","0.00%"
"01/13/2017","28.14","28.14","28.15","28.12","723.48K","0.00%"
"01/12/2017","28.14","28.13","28.15","28.11","749.93K","-0.04%"
"01/11/2017","28.15","28.10","28.20","28.10","1.01M","0.07%"
"01/10/2017","28.13","28.07","28.14","28.06","896.01K","0.21%"
"01/09/2017","28.07","28.08","28.11","28.06","833.71K","-0.07%"
"01/06/2017","28.09","28.07","28.12","28.06","693.33K","0.11%"
"01/05/2017","28.06","28.08","28.10","28.05","580.86K","-0.11%"
"01/04/2017","28.09","28.03","28.11","28.01","2.08M","0.29%"
"01/03/2017","28.01","28.03","28.04","27.99","1.96M","0.04%"
"12/30/2016","28.00","28.01","28.04","27.98","1.57M","-0.04%"
"12/29/2016","28.01","28.04","28.05","27.98","1.71M","-0.04%"
"12/28/2016","28.02","28.06","28.06","28.02","836.57K","-0.11%"
"12/27/2016","28.05","28.05","28.08","28.04","313.47K","-0.07%"
"12/23/2016","28.07","28.01","28.07","27.98","320.41K","0.21%"
"12/22/2016","28.01","28.01","28.03","27.97","1.32M","0.00%"
"12/21/2016","28.01","28.04","28.04","27.99","775.24K","-0.11%"
"12/20/2016","28.04","28.08","28.11","28.01","832.31K","-0.07%"
"12/19/2016","28.06","28.06","28.10","28.01","1.18M","0.18%"
"12/16/2016","28.01","28.06","28.14","27.94","4.81M","-0.25%"
"12/15/2016","28.08","28.00","28.08","28.00","1.38M","0.07%"
"12/14/2016","28.06","28.08","28.08","28.04","1.03M","0.04%"
"12/13/2016","28.05","28.06","28.09","28.05","760.15K","-0.04%"
"12/12/2016","28.06","28.08","28.09","28.03","1.22M","0.00%"
"12/09/2016","28.06","28.08","28.12","28.04","796.48K","-0.11%"
"12/08/2016","28.09","28.04","28.14","28.02","1.05M","0.21%"
"12/07/2016","28.03","28.11","28.11","28.02","781.85K","-0.21%"
"12/06/2016","28.09","28.11","28.14","28.08","677.83K","0.00%"
"12/05/2016","28.09","28.06","28.17","28.06","817.17K","0.04%"
"12/02/2016","28.08","28.09","28.13","28.03","589.32K","-0.04%"
"12/01/2016","28.09","28.02","28.18","28.01","1.17M","0.21%"
"11/30/2016","28.03","28.05","28.07","28.01","802.06K","0.00%"
"11/29/2016","28.03","28.01","28.05","28.00","821.17K","0.04%"
"11/28/2016","28.02","28.07","28.07","28.00","797.74K","-0.18%"
"11/25/2016","28.07","28.05","28.07","28.01","400.18K","0.00%"
"11/23/2016","28.07","28.05","28.09","28.00","1.15M","0.11%"
"11/22/2016","28.04","28.04","28.06","27.98","867.60K","0.14%"
"11/21/2016","28.00","28.02","28.07","27.99","955.09K","0.00%"
"11/18/2016","28.00","28.04","28.06","27.97","1.04M","-0.18%"
"11/17/2016","28.05","28.03","28.07","28.00","646.46K","0.18%"
"11/16/2016","28.00","28.05","28.09","27.98","666.81K","-0.11%"
"11/15/2016","28.03","28.09","28.10","28.03","1.49M","-0.21%"
"11/14/2016","28.09","28.09","28.13","28.06","1.16M","0.04%"
"11/11/2016","28.08","27.99","28.14","27.97","1.83M","0.43%"
"11/10/2016","27.96","28.03","28.04","27.95","1.51M","-0.21%"
"11/09/2016","28.02","27.92","28.05","27.92","2.44M","0.18%"
"11/08/2016","27.97","27.92","27.99","27.91","684.08K","0.04%"
"11/07/2016","27.96","27.88","27.97","27.86","704.84K","0.43%"
"11/04/2016","27.84","27.83","27.91","27.82","893.49K","0.04%"
"11/03/2016","27.83","27.86","27.90","27.82","939.32K","-0.07%"
"11/02/2016","27.85","27.78","27.93","27.77","1.55M","0.18%"
"11/01/2016","27.80","27.86","27.88","27.77","1.76M","-0.11%"
"10/31/2016","27.83","27.85","27.90","27.83","1.26M","-0.14%"
"10/28/2016","27.87","27.90","27.94","27.85","822.19K","-0.11%"
"10/27/2016","27.90","27.87","27.91","27.85","876.24K","0.18%"
"10/26/2016","27.85","27.89","27.94","27.85","649.10K","-0.21%"
"10/25/2016","27.91","27.87","27.97","27.87","682.26K","0.04%"
"10/24/2016","27.90","27.94","27.94","27.86","515.20K","0.04%"
"10/21/2016","27.89","27.80","27.92","27.80","718.06K","0.07%"
"10/20/2016","27.87","27.85","27.92","27.83","735.64K","0.04%"
"10/19/2016","27.86","27.81","27.92","27.80","2.01M","0.18%"
"10/18/2016","27.81","27.90","27.91","27.77","1.34M","-0.04%"
"10/17/2016","27.82","27.85","27.92","27.80","2.60M","-0.14%"
"10/14/2016","27.86","27.93","28.00","27.84","1.10M","-0.14%"
"10/13/2016","27.90","27.86","27.95","27.81","1.52M","0.50%"
"10/12/2016","27.76","27.73","27.80","27.73","862.59K","0.04%"
"10/11/2016","27.75","27.80","27.85","27.72","1.48M","-0.25%"
"10/10/2016","27.82","27.82","27.87","27.78","660.50K","0.36%"
"10/07/2016","27.72","27.83","27.88","27.69","942.02K","-0.36%"
"10/06/2016","27.82","27.80","27.89","27.78","696.15K","0.00%"
"10/05/2016","27.82","27.83","27.94","27.80","1.01M","0.07%"
"10/04/2016","27.80","27.73","27.85","27.72","2.00M","0.11%"
"10/03/2016","27.77","27.65","27.80","27.65","1.04M","0.11%"
"09/30/2016","27.74","27.67","27.85","27.62","1.34M","0.47%"
"09/29/2016","27.61","27.71","27.79","27.57","1.29M","-0.54%"
"09/28/2016","27.76","27.64","27.83","27.62","1.33M","0.54%"
"09/27/2016","27.61","27.45","27.63","27.45","1.15M","0.66%"
"09/26/2016","27.43","27.55","27.68","27.40","1.51M","-0.58%"
"09/23/2016","27.59","27.72","27.77","27.59","879.37K","-0.50%"
"09/22/2016","27.73","27.66","27.87","27.63","1.14M","0.43%"
"09/21/2016","27.61","27.49","27.66","27.49","2.13M","0.58%"
"09/20/2016","27.45","27.50","27.61","27.45","1.60M","-0.04%"
"09/19/2016","27.46","27.55","27.65","27.42","755.17K","-0.07%"
"09/16/2016","27.48","27.51","27.57","27.43","1.67M","-0.25%"
"09/15/2016","27.55","27.59","27.69","27.50","1.28M","-0.22%"
"09/14/2016","27.61","27.46","27.65","27.44","1.05M","0.47%"
"09/13/2016","27.48","27.42","27.55","27.41","1.12M","-0.22%"
"09/12/2016","27.54","27.44","27.55","27.38","1.76M","0.33%"
"09/09/2016","27.45","27.50","27.52","27.38","1.52M","-0.54%"
"09/08/2016","27.60","27.44","27.60","27.38","1.00M","0.44%"
"09/07/2016","27.48","27.28","27.48","27.28","641.15K","0.73%"
"09/06/2016","27.28","27.26","27.39","27.21","1.59M","0.07%"
"09/02/2016","27.26","27.32","27.50","27.22","867.67K","0.04%"
"09/01/2016","27.25","27.25","27.39","27.15","1.68M","-0.11%"
"08/31/2016","27.28","27.41","27.42","27.27","1.76M","-0.44%"
"08/30/2016","27.40","27.49","27.55","27.39","1.47M","-0.44%"
"08/29/2016","27.52","27.40","27.55","27.35","762.90K","0.70%"
"08/26/2016","27.33","27.50","27.58","27.27","1.72M","-0.55%"
"08/25/2016","27.48","27.40","27.55","27.40","1.21M","0.37%"
"08/24/2016","27.38","27.51","27.51","27.32","1.43M","-0.51%"
"08/23/2016","27.52","27.53","27.62","27.50","907.71K","0.04%"
"08/22/2016","27.51","27.47","27.60","27.35","2.02M","-0.22%"
"08/19/2016","27.57","27.66","27.66","27.52","1.19M","-0.43%"
"08/18/2016","27.69","27.46","27.74","27.45","3.91M","0.84%"
"08/17/2016","27.46","27.45","27.49","27.38","1.97M","0.22%"
"08/16/2016","27.40","27.46","27.48","27.39","1.91M","-0.25%"
"08/15/2016","27.47","27.43","27.50","27.42","2.27M","0.40%"
"08/12/2016","27.36","27.45","27.48","27.34","2.92M","-0.33%"
"08/11/2016","27.45","27.48","27.52","27.45","2.69M","-0.07%"
