"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2016","3.410","3.390","3.425","3.385","5.00M","1.79%"
"10/28/2016","3.350","3.300","3.360","3.290","1.45M","1.82%"
"10/27/2016","3.290","3.370","3.380","3.270","1.28M","-2.37%"
"10/26/2016","3.370","3.400","3.410","3.330","1.54M","-1.17%"
"10/25/2016","3.410","3.390","3.420","3.380","545.18K","-0.29%"
"10/24/2016","3.420","3.410","3.450","3.390","311.15K","0.00%"
"10/21/2016","3.420","3.400","3.480","3.380","905.77K","1.48%"
"10/20/2016","3.370","3.390","3.406","3.350","1.04M","-0.59%"
"10/19/2016","3.390","3.480","3.510","3.380","1.06M","-2.02%"
"10/18/2016","3.460","3.440","3.480","3.420","401.29K","1.47%"
"10/17/2016","3.410","3.420","3.450","3.400","317.01K","-0.87%"
"10/14/2016","3.440","3.420","3.486","3.410","758.87K","0.58%"
"10/13/2016","3.420","3.400","3.450","3.395","637.36K","0.59%"
"10/12/2016","3.400","3.410","3.440","3.380","284.37K","0.00%"
"10/11/2016","3.400","3.460","3.470","3.390","768.28K","-1.45%"
"10/10/2016","3.450","3.400","3.490","3.400","385.63K","1.47%"
"10/07/2016","3.400","3.500","3.500","3.390","658.74K","-2.58%"
"10/06/2016","3.490","3.480","3.540","3.470","608.79K","-0.57%"
"10/05/2016","3.510","3.480","3.570","3.480","380.06K","0.29%"
"10/04/2016","3.500","3.500","3.590","3.440","1.06M","-0.57%"
"10/03/2016","3.520","3.600","3.600","3.460","628.74K","-2.49%"
"09/30/2016","3.610","3.550","3.640","3.535","933.11K","1.69%"
"09/29/2016","3.550","3.550","3.620","3.510","691.93K","-0.28%"
"09/28/2016","3.560","3.520","3.570","3.520","625.30K","0.28%"
"09/27/2016","3.550","3.520","3.570","3.495","551.68K","0.85%"
"09/26/2016","3.520","3.530","3.575","3.520","521.82K","-0.85%"
"09/23/2016","3.550","3.550","3.585","3.520","851.23K","-0.56%"
"09/22/2016","3.570","3.570","3.600","3.520","668.10K","0.00%"
"09/21/2016","3.570","3.560","3.580","3.510","716.99K","0.56%"
"09/20/2016","3.550","3.590","3.590","3.545","683.29K","-0.28%"
"09/19/2016","3.560","3.600","3.620","3.540","802.37K","-1.39%"
"09/16/2016","3.610","3.550","3.640","3.545","1.52M","1.69%"
"09/15/2016","3.550","3.500","3.590","3.485","1.24M","1.14%"
"09/14/2016","3.510","3.520","3.530","3.420","1.03M","0.29%"
"09/13/2016","3.500","3.480","3.540","3.460","2.02M","-0.57%"
"09/12/2016","3.520","3.440","3.530","3.430","1.21M","2.33%"
"09/09/2016","3.440","3.440","3.500","3.425","1.78M","-0.29%"
"09/08/2016","3.450","3.520","3.560","3.450","1.40M","-1.99%"
"09/07/2016","3.520","3.550","3.610","3.510","1.65M","-0.85%"
"09/06/2016","3.550","3.700","3.750","3.510","3.85M","-4.57%"
"09/02/2016","3.720","3.680","3.755","3.680","789.42K","1.36%"
"09/01/2016","3.670","3.690","3.750","3.660","1.64M","0.27%"
"08/31/2016","3.660","3.760","3.760","3.660","1.38M","-2.40%"
"08/30/2016","3.750","3.740","3.790","3.680","1.29M","-0.27%"
"08/29/2016","3.760","3.660","3.770","3.650","1.13M","2.17%"
"08/26/2016","3.680","3.690","3.715","3.560","2.02M","-0.54%"
"08/25/2016","3.700","3.730","3.730","3.655","2.20M","-1.33%"
"08/24/2016","3.750","3.750","3.795","3.700","1.52M","0.00%"
"08/23/2016","3.750","3.700","3.780","3.663","1.13M","1.35%"
"08/22/2016","3.700","3.610","3.720","3.580","2.74M","-2.12%"
"08/19/2016","3.780","3.600","3.810","3.530","5.41M","9.88%"
"08/18/2016","3.440","3.430","3.450","3.425","1.33M","0.29%"
"08/17/2016","3.430","3.430","3.440","3.420","1.41M","0.00%"
"08/16/2016","3.430","3.440","3.470","3.410","3.57M","-0.58%"
"08/15/2016","3.450","3.520","3.560","3.430","2.39M","-1.71%"
"08/12/2016","3.510","3.500","3.570","3.490","1.98M","-0.28%"
"08/11/2016","3.520","3.540","3.570","3.510","2.10M","-0.85%"
"08/10/2016","3.550","3.470","3.560","3.420","9.71M","1.43%"
"08/09/2016","3.500","3.410","3.550","3.390","53.87M","26.35%"
"08/08/2016","2.770","2.700","2.800","2.690","974.85K","4.92%"
"08/05/2016","2.640","2.500","2.680","2.500","633.06K","6.45%"
"08/04/2016","2.480","2.530","2.570","2.470","545.47K","-1.98%"
"08/03/2016","2.530","2.400","2.570","2.370","475.78K","5.86%"
"08/02/2016","2.390","2.480","2.510","2.380","517.97K","-3.63%"
"08/01/2016","2.480","2.520","2.545","2.470","382.13K","-1.98%"
"07/29/2016","2.530","2.580","2.610","2.510","503.98K","-1.56%"
"07/28/2016","2.570","2.800","2.800","2.560","395.32K","-7.89%"
"07/27/2016","2.790","2.730","2.790","2.690","717.65K","2.20%"
"07/26/2016","2.730","2.670","2.810","2.670","1.09M","1.87%"
"07/25/2016","2.680","2.740","2.800","2.670","720.59K","-3.60%"
"07/22/2016","2.780","2.740","2.790","2.670","873.22K","1.46%"
"07/21/2016","2.740","2.690","2.790","2.690","691.72K","1.11%"
"07/20/2016","2.710","2.700","2.720","2.620","745.77K","0.00%"
"07/19/2016","2.710","2.710","2.740","2.690","663.80K","0.37%"
"07/18/2016","2.700","2.590","2.715","2.550","760.88K","3.05%"
"07/15/2016","2.620","2.650","2.650","2.570","398.30K","0.00%"
"07/14/2016","2.620","2.700","2.710","2.620","456.29K","-1.50%"
"07/13/2016","2.660","2.720","2.760","2.610","640.02K","-2.21%"
"07/12/2016","2.720","2.650","2.740","2.640","1.07M","3.42%"
"07/11/2016","2.630","2.560","2.660","2.410","2.23M","0.77%"
"07/08/2016","2.610","2.500","2.620","2.490","837.63K","5.67%"
"07/07/2016","2.470","2.400","2.500","2.400","683.67K","2.49%"
"07/06/2016","2.410","2.420","2.440","2.330","1.40M","-1.23%"
"07/05/2016","2.440","2.370","2.450","2.330","2.36M","2.95%"
"07/01/2016","2.370","2.400","2.440","2.350","2.24M","-0.84%"
"06/30/2016","2.390","2.320","2.400","2.280","624.41K","2.58%"
"06/29/2016","2.330","2.270","2.350","2.230","1.01M","3.56%"
"06/28/2016","2.250","2.300","2.340","2.130","1.55M","-0.88%"
