"Date","Price","Open","High","Low","Vol.","Change %"
"08/25/2021","103.14","104.58","105.58","102.59","45.80M","-1.18%"
"08/24/2021","104.37","106.55","107.14","103.64","12.48M","-2.12%"
"08/23/2021","106.63","106.95","108.61","104.42","13.46M","4.90%"
"08/20/2021","101.65","101.99","102.67","100.77","2.89M","-0.16%"
"08/19/2021","101.81","100.70","102.01","99.33","3.82M","0.86%"
"08/18/2021","100.94","98.45","102.11","97.71","3.43M","1.14%"
"08/17/2021","99.80","99.03","101.18","97.81","3.55M","-0.21%"
"08/16/2021","100.01","99.98","100.52","99.25","2.39M","0.28%"
"08/13/2021","99.73","98.40","99.76","97.94","968.87K","1.29%"
"08/12/2021","98.46","99.43","99.75","97.37","1.50M","-1.48%"
"08/11/2021","99.94","100.44","100.54","98.79","1.25M","-0.16%"
"08/10/2021","100.10","100.49","100.49","98.73","1.78M","-0.37%"
"08/09/2021","100.47","100.29","100.87","99.00","2.56M","-0.21%"
"08/06/2021","100.68","98.86","101.41","98.56","2.30M","0.22%"
"08/05/2021","100.46","101.31","101.31","99.47","2.27M","-0.58%"
"08/04/2021","101.05","99.13","101.76","93.42","7.14M","2.33%"
"08/03/2021","98.75","99.76","100.23","97.24","3.30M","-0.96%"
"08/02/2021","99.71","101.07","102.46","99.56","2.53M","-0.20%"
"07/30/2021","99.91","98.79","100.85","98.49","1.42M","0.45%"
"07/29/2021","99.46","98.09","99.71","97.93","1.95M","2.06%"
"07/28/2021","97.45","97.90","98.46","96.89","2.33M","0.66%"
"07/27/2021","96.81","98.99","99.06","94.81","3.23M","-2.43%"
"07/26/2021","99.22","98.63","99.47","98.63","1.15M","-0.06%"
"07/23/2021","99.28","99.22","99.35","97.95","1.24M","1.18%"
"07/22/2021","98.12","99.09","99.29","97.51","1.09M","-1.95%"
"07/21/2021","100.07","97.56","100.08","97.56","1.35M","2.61%"
"07/20/2021","97.52","96.04","98.05","95.58","1.26M","1.46%"
"07/19/2021","96.12","96.50","96.58","94.67","1.54M","-1.01%"
"07/16/2021","97.10","99.10","99.67","97.04","1.54M","-1.71%"
"07/15/2021","98.79","99.89","99.89","98.05","2.31M","-1.29%"
"07/14/2021","100.08","101.63","102.55","99.88","1.26M","-0.53%"
"07/13/2021","100.61","100.43","101.18","99.75","2.73M","-0.18%"
"07/12/2021","100.79","100.47","100.83","99.43","2.20M","0.76%"
"07/09/2021","100.03","98.40","100.35","97.08","2.09M","1.67%"
"07/08/2021","98.39","97.83","98.66","96.12","3.34M","-1.65%"
"07/07/2021","100.04","103.16","103.16","98.85","4.64M","-2.46%"
"07/06/2021","102.56","104.44","104.44","101.71","1.66M","-1.41%"
"07/02/2021","104.03","104.14","104.51","103.58","1.05M","0.81%"
"07/01/2021","103.19","104.98","105.08","103.07","1.80M","-2.06%"
"06/30/2021","105.36","104.54","105.49","104.23","1.64M","0.38%"
"06/29/2021","104.96","104.45","105.30","104.18","1.05M","0.34%"
"06/28/2021","104.60","103.68","104.97","103.50","1.06M","1.89%"
"06/25/2021","102.66","102.77","103.97","101.81","5.32M","0.13%"
"06/24/2021","102.53","101.64","102.64","101.55","1.34M","2.22%"
"06/23/2021","100.30","99.94","101.12","99.94","1.16M","-0.06%"
"06/22/2021","100.36","100.21","100.65","99.59","1.96M","-0.12%"
"06/21/2021","100.48","100.26","101.13","99.89","4.48M","0.58%"
"06/18/2021","99.90","101.72","101.94","99.39","4.64M","-2.61%"
"06/17/2021","102.58","102.05","103.85","101.91","1.46M","-0.01%"
"06/16/2021","102.59","103.91","104.00","101.64","1.36M","-1.02%"
"06/15/2021","103.65","103.84","104.43","103.42","1.46M","-0.46%"
"06/14/2021","104.13","103.56","104.14","102.47","1.44M","0.48%"
"06/11/2021","103.63","103.66","103.83","102.93","1.67M","0.03%"
"06/10/2021","103.60","103.34","103.93","102.01","1.64M","0.60%"
"06/09/2021","102.98","102.29","103.19","102.21","2.16M","0.91%"
"06/08/2021","102.05","102.53","102.53","100.87","2.09M","0.54%"
"06/07/2021","101.50","102.00","102.50","101.50","1.93M","-0.91%"
"06/04/2021","102.43","101.46","102.83","101.24","2.24M","2.24%"
