"Date","Price","Open","High","Low","Vol.","Change %"
"02/10/2023","47.54","47.60","47.71","47.13","2.56M","-1.12%"
"02/09/2023","48.08","48.26","48.35","47.83","2.46M","0.78%"
"02/08/2023","47.71","47.70","47.80","47.44","2.26M","1.58%"
"02/07/2023","46.97","46.28","47.06","46.21","2.42M","2.42%"
"02/06/2023","45.86","45.53","46.00","45.32","2.89M","-0.35%"
"02/03/2023","46.02","45.96","46.88","45.75","3.50M","-2.58%"
"02/02/2023","47.24","47.83","47.87","47.10","2.14M","-3.10%"
"02/01/2023","48.75","48.55","48.93","48.13","1.43M","-0.79%"
"01/31/2023","49.14","48.82","49.19","48.60","1.33M","1.17%"
"01/30/2023","48.57","48.97","49.09","48.48","2.06M","0.16%"
"01/27/2023","48.49","48.50","48.80","48.33","1.06M","-0.66%"
"01/26/2023","48.81","49.16","49.17","48.66","2.24M","-0.16%"
"01/25/2023","48.89","48.62","49.05","48.61","1.69M","0.74%"
"01/24/2023","48.53","48.56","48.60","48.24","3.65M","-0.21%"
"01/23/2023","48.63","48.83","48.95","48.56","2.88M","-0.92%"
"01/20/2023","49.08","49.22","49.29","48.93","1.54M","-0.73%"
"01/19/2023","49.44","49.32","49.87","48.92","2.22M","0.57%"
"01/18/2023","49.16","49.74","49.79","49.15","1.39M","-1.34%"
"01/17/2023","49.83","49.82","49.93","49.56","2.16M","1.14%"
"01/13/2023","49.27","49.24","49.64","49.23","2.16M","-0.16%"
"01/12/2023","49.35","48.38","49.42","48.05","3.12M","1.25%"
"01/11/2023","48.74","48.55","48.88","48.21","4.72M","-0.16%"
"01/10/2023","48.82","48.39","48.90","48.23","3.56M","0.64%"
"01/09/2023","48.51","48.66","48.96","48.23","4.37M","0.77%"
"01/06/2023","48.14","47.74","48.45","47.53","1.96M","0.82%"
"01/05/2023","47.75","47.76","47.88","47.38","2.48M","-2.03%"
"01/04/2023","48.74","49.25","49.30","48.54","2.01M","-0.53%"
"01/03/2023","49.00","48.40","49.08","48.34","2.09M","1.18%"
"12/30/2022","48.43","48.21","48.57","47.88","1.30M","-0.25%"
"12/29/2022","48.55","48.35","48.62","48.25","1.20M","1.57%"
"12/28/2022","47.80","48.05","48.24","47.71","869.20K","-0.67%"
"12/27/2022","48.12","48.32","48.44","47.95","1.39M","-0.82%"
"12/23/2022","48.52","48.07","48.57","47.90","1.40M","0.68%"
"12/22/2022","48.19","48.18","48.42","47.93","1.45M","-0.17%"
"12/21/2022","48.27","48.26","48.74","47.99","2.25M","2.35%"
"12/20/2022","47.16","47.01","47.40","46.98","1.57M","0.38%"
"12/19/2022","46.98","46.98","47.28","46.82","2.14M","0.00%"
"12/16/2022","46.98","46.52","47.05","46.24","2.90M","-0.38%"
"12/15/2022","47.16","47.56","47.75","47.10","1.98M","-1.65%"
"12/14/2022","47.95","47.64","48.19","47.33","1.79M","1.93%"
"12/13/2022","47.04","47.47","47.74","46.98","2.22M","0.81%"
"12/12/2022","46.66","46.75","46.94","46.39","2.71M","0.86%"
"12/09/2022","46.26","46.70","46.90","46.24","2.92M","-1.41%"
"12/08/2022","46.92","46.86","47.20","46.68","4.01M","-2.13%"
"12/07/2022","47.94","47.48","48.12","47.35","5.42M","-1.26%"
"12/06/2022","48.55","45.11","49.75","44.48","11.62M","8.06%"
"12/05/2022","44.93","44.91","45.24","44.86","1.55M","-0.18%"
"12/02/2022","45.01","45.19","45.27","44.83","1.97M","-1.87%"
"12/01/2022","45.87","45.90","46.02","45.62","1.99M","1.15%"
"11/30/2022","45.35","44.56","45.37","44.22","1.89M","-1.13%"
"11/29/2022","45.87","45.76","45.98","45.55","1.35M","0.72%"
"11/28/2022","45.54","45.68","45.93","45.45","1.68M","0.33%"
"11/25/2022","45.39","45.16","45.62","45.16","686.62K","0.78%"
"11/23/2022","45.04","44.85","45.07","44.61","2.73M","-0.02%"
"11/22/2022","45.05","44.86","45.10","44.69","2.76M","0.69%"
"11/21/2022","44.74","44.66","44.96","44.47","2.13M","0.52%"
"11/18/2022","44.51","44.26","44.70","44.11","2.12M","1.83%"
"11/17/2022","43.71","43.21","43.99","43.19","1.26M","-0.34%"
"11/16/2022","43.86","44.22","44.35","43.78","4.46M","0.71%"
"11/15/2022","43.55","44.04","44.14","43.06","3.25M","0.79%"
"11/14/2022","43.21","43.37","43.68","43.20","3.00M","0.96%"
"11/11/2022","42.80","43.12","43.21","42.23","5.34M","-3.41%"
"11/10/2022","44.31","44.67","44.71","43.80","2.14M","2.24%"
"11/09/2022","43.34","43.44","43.74","43.28","1.44M","-0.23%"
"11/08/2022","43.44","43.10","43.82","43.05","1.72M","-0.02%"
"11/07/2022","43.45","43.11","43.64","43.00","2.54M","-0.39%"
"11/04/2022","43.62","43.44","43.75","43.01","1.62M","1.82%"
"11/03/2022","42.84","42.37","43.01","42.34","2.51M","-0.23%"
"11/02/2022","42.94","43.43","43.65","42.89","3.06M","-0.12%"
"11/01/2022","42.99","43.24","43.25","42.66","1.90M","-0.56%"
"10/31/2022","43.23","43.03","43.57","43.01","4.97M","0.42%"
"10/28/2022","43.05","42.74","43.22","42.61","3.17M","3.54%"
"10/27/2022","41.58","41.82","42.05","41.54","3.56M","-0.65%"
"10/26/2022","41.85","41.56","42.14","41.56","2.33M","1.38%"
"10/25/2022","41.28","40.76","41.34","40.72","2.40M","1.13%"
"10/24/2022","40.82","40.49","40.90","40.36","2.81M","0.94%"
"10/21/2022","40.44","39.67","40.58","39.52","2.02M","2.04%"
"10/20/2022","39.63","39.53","39.82","39.48","4.22M","-0.03%"
"10/19/2022","39.64","40.02","40.12","39.49","6.80M","-1.02%"
"10/18/2022","40.05","40.59","40.59","39.85","3.39M","-0.96%"
"10/17/2022","40.44","40.18","40.56","40.09","2.01M","2.17%"
"10/14/2022","39.58","40.00","40.19","39.48","4.56M","-0.85%"
"10/13/2022","39.92","38.82","40.04","38.80","1.18M","1.73%"
"10/12/2022","39.24","39.48","39.79","39.24","1.58M","-1.13%"
"10/11/2022","39.69","39.26","40.26","39.19","3.61M","1.51%"
"10/10/2022","39.10","38.82","39.26","38.68","2.41M","0.62%"
"10/07/2022","38.86","39.18","39.40","38.81","2.69M","-0.10%"
"10/06/2022","38.90","38.98","39.12","38.69","4.38M","-2.31%"
"10/05/2022","39.82","39.57","40.02","39.46","3.00M","-0.75%"
"10/04/2022","40.12","39.72","40.19","39.51","3.04M","2.37%"
"10/03/2022","39.19","38.70","39.23","38.49","2.73M","3.08%"
"09/30/2022","38.02","38.24","38.58","38.01","2.93M","0.05%"
"09/29/2022","38.00","37.81","38.35","37.53","7.10M","-0.45%"
"09/28/2022","38.17","37.78","38.25","37.60","4.72M","2.55%"
"09/27/2022","37.22","37.47","37.65","37.07","6.16M","-0.08%"
"09/26/2022","37.25","37.50","37.63","36.91","6.81M","-2.99%"
"09/23/2022","38.40","38.39","38.82","38.01","3.40M","-1.87%"
"09/22/2022","39.13","39.05","39.25","38.70","3.01M","0.95%"
"09/21/2022","38.76","39.44","39.44","38.66","2.32M","-2.95%"
"09/20/2022","39.94","39.86","40.20","39.69","1.37M","-1.60%"
"09/19/2022","40.59","40.32","40.64","40.06","1.76M","-0.56%"
"09/16/2022","40.82","40.31","41.07","40.31","1.60M","0.37%"
"09/15/2022","40.67","40.52","40.86","40.47","2.21M","1.55%"
"09/14/2022","40.05","40.36","40.54","39.88","1.78M","-1.18%"
"09/13/2022","40.53","40.93","40.99","40.46","1.45M","-2.31%"
"09/12/2022","41.49","41.28","41.75","41.27","1.40M","1.69%"
"09/09/2022","40.80","40.78","40.96","40.59","1.14M","1.80%"
