"Date","Price","Open","High","Low","Vol.","Change %"
"09/12/2017","10.25","10.24","10.26","10.24","9.79M","0.10%"
"09/11/2017","10.24","10.23","10.25","10.23","12.74M","0.00%"
"09/08/2017","10.24","10.24","10.24","10.23","10.49M","0.10%"
"09/07/2017","10.23","10.24","10.25","10.23","29.65M","-0.10%"
"09/06/2017","10.24","10.23","10.25","10.23","19.90M","-0.10%"
"09/05/2017","10.25","10.22","10.25","10.22","12.00M","0.29%"
"09/01/2017","10.22","10.22","10.23","10.21","4.96M","0.10%"
"08/31/2017","10.21","10.21","10.22","10.21","10.19M","-0.10%"
"08/30/2017","10.22","10.22","10.23","10.21","7.42M","0.00%"
"08/29/2017","10.22","10.21","10.22","10.20","4.74M","0.00%"
"08/28/2017","10.22","10.21","10.22","10.21","3.79M","0.00%"
"08/25/2017","10.22","10.19","10.22","10.19","7.86M","0.29%"
"08/24/2017","10.19","10.19","10.21","10.19","10.93M","0.10%"
"08/23/2017","10.18","10.19","10.20","10.17","15.39M","-0.20%"
"08/22/2017","10.20","10.19","10.20","10.18","7.24M","0.10%"
"08/21/2017","10.19","10.19","10.20","10.18","6.86M","0.00%"
"08/18/2017","10.19","10.19","10.20","10.18","6.13M","-0.10%"
"08/17/2017","10.20","10.20","10.22","10.19","5.82M","-0.20%"
"08/16/2017","10.22","10.20","10.22","10.19","8.11M","0.29%"
"08/15/2017","10.19","10.20","10.21","10.19","11.18M","-0.20%"
"08/14/2017","10.21","10.15","10.22","10.15","8.66M","0.69%"
"08/11/2017","10.14","10.16","10.17","10.14","19.43M","-0.29%"
"08/10/2017","10.17","10.16","10.18","10.15","17.77M","0.10%"
"08/09/2017","10.16","10.18","10.19","10.16","20.90M","-0.29%"
"08/08/2017","10.19","10.18","10.19","10.17","3.07M","0.10%"
"08/07/2017","10.18","10.19","10.20","10.17","9.25M","-0.10%"
"08/04/2017","10.19","10.19","10.20","10.18","4.45M","0.10%"
"08/03/2017","10.18","10.18","10.20","10.17","12.71M","0.39%"
"08/02/2017","10.14","10.17","10.17","10.14","9.13M","-0.39%"
"08/01/2017","10.18","10.14","10.18","10.14","10.35M","0.30%"
"07/31/2017","10.15","10.14","10.16","10.14","8.43M","0.10%"
"07/28/2017","10.14","10.16","10.17","10.13","10.48M","-0.39%"
"07/27/2017","10.18","10.15","10.18","10.13","10.73M","0.39%"
"07/26/2017","10.14","10.13","10.14","10.11","5.26M","0.20%"
"07/25/2017","10.12","10.11","10.14","10.10","9.17M","0.20%"
"07/24/2017","10.10","10.09","10.12","10.09","6.55M","0.10%"
"07/21/2017","10.09","10.09","10.11","10.08","6.70M","-0.10%"
"07/20/2017","10.10","10.10","10.12","10.08","9.73M","-0.10%"
"07/19/2017","10.11","10.10","10.11","10.10","7.48M","0.10%"
"07/18/2017","10.10","10.10","10.12","10.09","5.79M","-0.10%"
"07/17/2017","10.11","10.09","10.12","10.09","8.88M","0.20%"
"07/14/2017","10.09","10.13","10.13","10.08","9.44M","-0.20%"
"07/13/2017","10.11","10.09","10.13","10.09","9.08M","0.10%"
"07/12/2017","10.10","10.10","10.10","10.08","10.47M","0.20%"
"07/11/2017","10.08","10.08","10.10","10.07","15.23M","-0.10%"
"07/10/2017","10.09","10.08","10.11","10.07","12.15M","0.10%"
"07/07/2017","10.08","10.08","10.09","10.07","16.72M","0.00%"
"07/06/2017","10.08","10.08","10.10","10.07","24.25M","-0.10%"
"07/05/2017","10.09","10.11","10.11","10.07","16.32M","-0.59%"
"07/03/2017","10.15","10.07","10.15","10.07","13.41M","0.79%"
"06/30/2017","10.07","10.08","10.09","10.06","45.82M","-0.10%"
"06/29/2017","10.08","10.13","10.14","10.08","141.71M","1.51%"
"06/28/2017","9.93","9.20","9.97","9.16","19.81M","8.41%"
"06/27/2017","9.16","9.23","9.27","9.15","3.98M","-1.08%"
"06/26/2017","9.26","9.27","9.30","9.15","5.19M","-0.32%"
"06/23/2017","9.29","9.19","9.30","9.08","7.58M","0.98%"
"06/22/2017","9.20","9.15","9.36","9.05","15.25M","6.24%"
"06/21/2017","8.66","8.67","8.73","8.55","6.76M","-1.03%"
"06/20/2017","8.75","8.83","8.86","8.72","5.68M","-1.02%"
"06/19/2017","8.84","8.82","8.92","8.71","6.16M","0.45%"
"06/16/2017","8.80","8.95","8.99","8.75","8.90M","-2.11%"
"06/15/2017","8.99","8.96","9.04","8.95","5.06M","0.11%"
"06/14/2017","8.98","9.12","9.16","8.92","5.30M","-1.86%"
"06/13/2017","9.15","9.23","9.26","9.11","3.72M","-1.08%"
"06/12/2017","9.25","9.24","9.39","9.20","5.36M","0.00%"
"06/09/2017","9.25","9.27","9.27","9.11","4.31M","0.33%"
"06/08/2017","9.22","9.23","9.31","9.19","3.99M","0.66%"
"06/07/2017","9.16","9.29","9.59","9.00","7.82M","0.77%"
"06/06/2017","9.09","9.09","9.17","9.01","3.91M","-0.11%"
"06/05/2017","9.10","9.10","9.18","8.99","3.20M","0.00%"
"06/02/2017","9.10","9.08","9.14","9.00","4.84M","-0.55%"
"06/01/2017","9.15","9.09","9.25","9.03","4.79M","0.77%"
"05/31/2017","9.08","8.99","9.14","8.82","8.08M","1.34%"
"05/30/2017","8.96","8.98","9.03","8.91","2.58M","-0.22%"
"05/26/2017","8.98","9.03","9.10","8.96","4.19M","-0.88%"
"05/25/2017","9.06","8.84","9.35","8.78","9.78M","3.19%"
"05/24/2017","8.78","8.71","8.85","8.67","5.44M","1.15%"
"05/23/2017","8.68","8.80","8.84","8.61","4.12M","-1.14%"
"05/22/2017","8.78","8.73","8.80","8.71","5.18M","0.69%"
"05/19/2017","8.72","8.81","8.87","8.69","8.34M","-0.34%"
"05/18/2017","8.75","8.83","8.91","8.73","4.85M","-1.13%"
"05/17/2017","8.85","8.90","9.04","8.78","6.11M","-1.56%"
"05/16/2017","8.99","9.17","9.30","8.81","9.26M","-3.54%"
"05/15/2017","9.32","9.29","9.41","9.19","6.82M","0.76%"
"05/12/2017","9.25","9.42","9.42","9.23","3.68M","-1.91%"
"05/11/2017","9.43","9.68","9.74","9.40","4.20M","-2.98%"
"05/10/2017","9.72","9.63","9.72","9.51","3.75M","1.04%"
"05/09/2017","9.62","9.69","9.71","9.57","3.44M","-0.31%"
"05/08/2017","9.65","9.65","9.73","9.62","3.67M","0.63%"
"05/05/2017","9.59","9.62","9.68","9.56","4.88M","-0.21%"
"05/04/2017","9.61","9.68","9.69","9.54","5.25M","-0.52%"
"05/03/2017","9.66","9.77","9.81","9.58","4.75M","-1.23%"
"05/02/2017","9.78","9.69","10.25","9.61","7.94M","1.35%"
"05/01/2017","9.65","9.80","9.81","9.63","3.30M","-1.23%"
"04/28/2017","9.77","9.86","9.86","9.68","3.29M","-0.61%"
"04/27/2017","9.83","9.79","9.89","9.65","3.36M","0.00%"
"04/26/2017","9.83","9.83","9.95","9.82","3.00M","0.00%"
"04/25/2017","9.83","9.90","9.92","9.73","4.46M","-0.51%"
"04/24/2017","9.88","9.81","9.93","9.72","4.50M","1.65%"
"04/21/2017","9.72","9.71","9.80","9.59","4.39M","-0.21%"
"04/20/2017","9.74","9.65","9.84","9.62","3.53M","1.25%"
"04/19/2017","9.62","9.66","9.75","9.60","4.58M","0.21%"
"04/18/2017","9.60","9.58","9.68","9.53","4.96M","0.00%"
"04/17/2017","9.60","9.55","9.64","9.51","5.24M","0.84%"
"04/13/2017","9.52","9.50","9.62","9.50","5.78M","0.11%"
"04/12/2017","9.51","9.64","9.65","9.42","8.48M","-1.76%"
"04/11/2017","9.68","9.71","9.74","9.61","4.60M","-0.21%"
"04/10/2017","9.70","9.90","9.93","9.69","10.49M","-0.51%"
"04/07/2017","9.75","9.81","9.87","9.66","8.77M","-0.71%"
"04/06/2017","9.82","9.86","10.18","9.76","13.66M","0.61%"
"04/05/2017","9.76","9.71","10.05","9.61","21.34M","2.63%"
"04/04/2017","9.51","8.63","10.00","8.62","31.30M","9.82%"
"04/03/2017","8.66","8.76","8.83","8.59","3.92M","-1.25%"
"03/31/2017","8.77","8.73","8.90","8.71","5.15M","0.34%"
"03/30/2017","8.74","8.58","8.76","8.52","6.18M","1.98%"
"03/29/2017","8.57","8.49","8.61","8.48","4.27M","0.94%"
"03/28/2017","8.49","8.30","8.50","8.30","4.26M","1.56%"
"03/27/2017","8.36","8.37","8.48","8.30","5.85M","-1.30%"
"03/24/2017","8.47","8.50","8.55","8.41","5.55M","-0.59%"
"03/23/2017","8.52","8.54","8.68","8.48","4.35M","0.12%"
"03/22/2017","8.51","8.53","8.56","8.42","4.85M","-1.50%"
"03/21/2017","8.64","8.85","8.89","8.60","7.24M","-2.15%"
"03/20/2017","8.83","8.98","9.00","8.76","5.44M","-1.89%"
"03/17/2017","9.00","8.84","9.01","8.75","12.93M","2.74%"
"03/16/2017","8.76","8.80","8.88","8.66","6.29M","-0.23%"
"03/15/2017","8.78","8.46","8.81","8.46","5.98M","1.27%"
"03/14/2017","8.67","8.56","8.70","8.44","5.16M","1.17%"
"03/13/2017","8.57","8.65","8.76","8.50","6.84M","-1.27%"
"03/10/2017","8.68","8.53","9.11","8.53","16.70M","2.24%"
"03/09/2017","8.49","8.38","9.17","8.35","17.05M","-5.25%"
"03/08/2017","8.96","8.77","9.06","8.76","7.03M","2.05%"
"03/07/2017","8.78","8.83","8.87","8.74","4.62M","-1.01%"
"03/06/2017","8.87","8.94","8.96","8.75","6.17M","-1.33%"
"03/03/2017","8.99","9.27","9.37","8.91","5.30M","-2.81%"
"03/02/2017","9.25","9.12","9.29","9.10","5.34M","0.87%"
"03/01/2017","9.17","9.12","9.35","9.02","9.12M","2.00%"
