"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2017","80.82","80.81","81.31","80.72","14.74M","0.16%"
"01/03/2017","80.69","80.40","80.77","80.11","2.34M","0.62%"
"12/30/2016","80.19","79.85","80.53","79.82","3.89M","0.45%"
"12/29/2016","79.83","79.78","80.03","79.68","1.22M","0.03%"
"12/28/2016","79.81","80.29","80.38","79.65","1.72M","-0.42%"
"12/27/2016","80.15","79.98","80.32","79.84","3.18M","0.40%"
"12/23/2016","79.83","79.80","80.03","79.62","1.52M","0.16%"
"12/22/2016","79.70","79.20","80.00","79.08","3.15M","0.53%"
"12/21/2016","79.28","79.33","79.41","79.04","1.51M","-0.18%"
"12/20/2016","79.42","79.80","79.80","79.16","1.99M","-0.46%"
"12/19/2016","79.79","79.16","79.82","79.15","2.12M","0.74%"
"12/16/2016","79.20","80.10","80.29","79.09","2.55M","-0.85%"
"12/15/2016","79.88","79.62","80.00","79.29","2.49M","0.15%"
"12/14/2016","79.76","80.46","80.73","79.59","2.71M","-0.81%"
"12/13/2016","80.41","80.25","80.68","80.22","2.46M","0.26%"
"12/12/2016","80.20","80.10","80.56","79.97","2.42M","-0.12%"
"12/09/2016","80.30","79.93","80.41","79.90","1.86M","0.50%"
"12/08/2016","79.90","79.67","79.91","79.22","2.19M","0.28%"
"12/07/2016","79.68","78.90","79.68","78.59","2.39M","0.16%"
"12/06/2016","79.55","79.65","79.70","79.31","2.05M","0.08%"
"12/05/2016","79.49","79.20","79.52","79.13","2.67M","0.59%"
"12/02/2016","79.02","78.95","79.25","78.78","1.45M","0.30%"
"12/01/2016","78.78","79.19","79.48","78.54","1.98M","-0.53%"
"11/30/2016","79.20","79.69","79.86","79.12","2.00M","-0.63%"
"11/29/2016","79.70","80.00","80.16","79.66","1.61M","-0.05%"
"11/28/2016","79.74","80.06","80.23","79.74","1.27M","-0.69%"
"11/25/2016","80.29","80.24","80.29","79.87","546.15K","0.34%"
"11/23/2016","80.02","78.86","80.05","78.64","2.87M","1.42%"
"11/22/2016","78.90","79.91","79.98","78.51","2.00M","-1.71%"
"11/21/2016","80.27","80.20","80.66","79.96","5.27M","0.31%"
"11/18/2016","80.02","80.07","80.27","79.87","2.30M","-0.25%"
"11/17/2016","80.22","79.66","80.28","79.56","1.28M","0.56%"
"11/16/2016","79.77","79.14","80.09","79.14","1.65M","0.03%"
"11/15/2016","79.75","78.68","80.53","78.60","3.21M","1.63%"
"11/14/2016","78.47","79.49","79.49","78.47","2.34M","-1.17%"
"11/11/2016","79.40","79.81","79.81","79.17","1.40M","-0.41%"
"11/10/2016","79.73","79.62","79.98","79.39","1.96M","0.66%"
"11/09/2016","79.21","79.18","80.11","78.42","1.80M","0.33%"
"11/08/2016","78.95","78.84","79.13","78.38","1.97M","-0.01%"
"11/07/2016","78.96","78.57","79.00","78.57","1.32M","1.26%"
"11/04/2016","77.98","77.55","78.33","77.47","1.05M","0.70%"
"11/03/2016","77.44","77.87","78.15","77.32","1.39M","-0.26%"
"11/02/2016","77.64","77.76","78.15","77.59","1.38M","-0.22%"
"11/01/2016","77.81","77.75","78.11","77.54","2.50M","-0.04%"
"10/31/2016","77.84","77.84","78.20","77.51","1.96M","-0.17%"
"10/28/2016","77.97","78.88","79.19","77.94","5.67M","-1.32%"
"10/27/2016","79.01","78.94","79.39","78.86","1.57M","0.39%"
"10/26/2016","78.70","78.78","79.28","78.64","1.33M","-0.39%"
"10/25/2016","79.01","79.52","79.54","78.87","2.32M","-0.52%"
"10/24/2016","79.42","79.65","79.81","79.12","2.75M","0.08%"
"10/21/2016","79.36","79.12","79.50","78.92","1.92M","-0.34%"
"10/20/2016","79.63","78.65","79.74","78.65","2.97M","1.18%"
"10/19/2016","78.70","79.26","80.13","78.67","6.97M","-0.93%"
"10/18/2016","79.44","78.87","79.68","78.62","4.59M","2.29%"
"10/17/2016","77.66","77.95","78.22","77.64","2.09M","-0.41%"
"10/14/2016","77.98","78.40","78.71","77.94","1.42M","-0.23%"
"10/13/2016","78.16","77.97","78.45","77.75","2.43M","-0.24%"
"10/12/2016","78.35","78.63","78.76","78.26","1.57M","-0.08%"
"10/11/2016","78.41","79.89","80.05","78.12","12.73M","-3.53%"
"10/10/2016","81.28","80.86","81.53","80.86","2.39M","0.52%"
"10/07/2016","80.86","80.70","81.00","80.44","1.30M","0.15%"
"10/06/2016","80.74","80.07","81.01","80.04","2.60M","0.54%"
"10/05/2016","80.31","79.92","80.37","79.76","1.49M","0.60%"
"10/04/2016","79.83","80.25","80.71","79.55","2.39M","-0.41%"
"10/03/2016","80.16","79.43","80.21","79.43","1.38M","0.50%"
"09/30/2016","79.76","79.29","80.12","79.20","2.65M","1.01%"
"09/29/2016","78.96","79.45","79.65","78.76","2.35M","-0.97%"
"09/28/2016","79.73","79.64","79.87","79.35","1.17M","-0.23%"
"09/27/2016","79.91","79.02","79.95","79.00","2.35M","1.08%"
"09/26/2016","79.06","79.50","79.70","78.99","1.87M","-0.73%"
"09/23/2016","79.64","79.65","79.88","79.40","1.17M","0.04%"
"09/22/2016","79.61","79.70","79.90","79.52","2.23M","0.21%"
"09/21/2016","79.44","78.88","79.54","78.64","2.37M","0.70%"
"09/20/2016","78.89","79.37","79.53","78.89","1.94M","-0.19%"
"09/19/2016","79.04","79.50","79.74","79.01","2.48M","-0.19%"
"09/16/2016","79.19","78.67","79.35","78.27","2.39M","0.69%"
"09/15/2016","78.65","78.33","78.77","78.13","1.13M","0.60%"
"09/14/2016","78.18","78.02","78.61","78.00","2.09M","0.05%"
"09/13/2016","78.14","78.36","78.65","78.03","1.40M","-0.89%"
"09/12/2016","78.84","77.70","79.00","77.62","2.03M","1.03%"
"09/09/2016","78.04","78.94","79.01","78.04","4.26M","-1.70%"
"09/08/2016","79.39","79.32","79.59","79.20","1.85M","0.27%"
"09/07/2016","79.18","78.90","79.68","78.86","4.49M","0.35%"
"09/06/2016","78.90","78.55","79.08","78.26","2.02M","0.32%"
"09/02/2016","78.65","78.40","78.74","78.26","1.89M","0.65%"
"09/01/2016","78.14","78.03","78.40","77.79","3.35M","0.28%"
"08/31/2016","77.92","79.19","79.19","77.35","4.42M","-0.90%"
"08/30/2016","78.63","78.25","79.15","77.77","9.93M","0.49%"
"08/29/2016","78.25","78.27","78.64","77.64","9.12M","0.31%"
"08/26/2016","78.01","77.71","78.18","75.34","13.18M","0.24%"
"08/25/2016","77.82","81.73","81.99","73.40","33.12M","-4.96%"
"08/24/2016","81.88","82.76","82.89","81.79","2.84M","-1.05%"
"08/23/2016","82.75","83.00","83.15","82.67","1.96M","-0.16%"
"08/22/2016","82.88","82.81","82.98","82.49","2.30M","-0.12%"
