"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2015","35.10","35.15","35.19","35.10","52.54M","-0.11%"
"01/28/2015","35.14","35.18","35.26","35.14","12.60M","-0.03%"
"01/27/2015","35.15","35.06","35.24","35.05","19.25M","0.14%"
"01/26/2015","35.10","35.16","35.22","35.10","41.62M","-0.54%"
"01/23/2015","35.29","35.29","35.29","35.22","991.71K","0.00%"
"01/22/2015","35.29","35.25","35.29","35.24","1.16M","0.20%"
"01/21/2015","35.22","35.18","35.28","35.17","1.83M","0.09%"
"01/20/2015","35.19","35.20","35.23","35.15","1.18M","0.06%"
"01/16/2015","35.17","35.20","35.24","35.14","2.56M","-0.06%"
"01/15/2015","35.19","35.33","35.33","35.18","2.39M","-0.14%"
"01/14/2015","35.24","35.20","35.30","35.20","3.40M","-0.17%"
"01/13/2015","35.30","35.45","35.45","35.20","1.57M","0.11%"
"01/12/2015","35.26","35.21","35.26","35.20","1.07M","0.06%"
"01/09/2015","35.24","35.21","35.26","35.16","1.02M","-0.03%"
"01/08/2015","35.25","35.24","35.26","35.21","1.52M","0.09%"
"01/07/2015","35.22","35.18","35.25","35.14","1.33M","0.14%"
"01/06/2015","35.17","35.12","35.19","35.10","2.28M","0.26%"
"01/05/2015","35.08","35.11","35.18","35.08","1.69M","-0.14%"
"01/02/2015","35.13","35.14","35.25","35.08","1.17M","0.03%"
"12/31/2014","35.12","35.12","35.16","35.07","1.59M","0.00%"
"12/30/2014","35.12","35.05","35.25","35.05","2.84M","0.09%"
"12/29/2014","35.09","35.05","35.10","35.01","1.02M","0.03%"
"12/26/2014","35.08","35.07","35.13","35.06","896.08K","0.06%"
"12/24/2014","35.06","35.14","35.19","35.05","1.10M","-0.06%"
"12/23/2014","35.08","34.90","35.15","34.62","4.15M","0.26%"
"12/22/2014","34.99","34.86","35.05","34.85","1.62M","0.63%"
"12/19/2014","34.77","35.00","35.06","34.70","3.62M","-0.52%"
"12/18/2014","34.95","34.81","34.98","34.75","1.70M","0.60%"
"12/17/2014","34.74","34.65","34.84","34.58","1.75M","0.38%"
"12/16/2014","34.61","34.67","34.82","34.60","1.42M","-0.12%"
"12/15/2014","34.65","34.67","34.80","34.65","1.34M","0.14%"
"12/12/2014","34.60","34.73","34.84","34.60","1.34M","-0.37%"
"12/11/2014","34.73","34.65","34.88","34.65","1.16M","0.35%"
"12/10/2014","34.61","34.86","34.88","34.60","1.25M","-0.72%"
"12/09/2014","34.86","34.80","34.90","34.73","1.42M","0.03%"
"12/08/2014","34.85","34.73","34.88","34.66","2.01M","0.43%"
"12/05/2014","34.70","34.71","34.77","34.60","1.66M","-0.12%"
"12/04/2014","34.74","34.90","34.90","34.70","1.61M","-0.46%"
"12/03/2014","34.90","34.80","34.90","34.77","1.72M","0.20%"
"12/02/2014","34.83","34.80","34.86","34.77","1.57M","0.11%"
"12/01/2014","34.79","34.83","34.83","34.74","1.44M","-0.14%"
"11/28/2014","34.84","34.90","35.05","34.82","567.31K","0.11%"
"11/26/2014","34.80","34.90","34.90","34.79","1.06M","-0.09%"
"11/25/2014","34.83","34.88","34.90","34.80","1.36M","0.03%"
"11/24/2014","34.82","34.91","34.93","34.81","982.48K","0.00%"
"11/21/2014","34.82","35.01","35.04","34.78","1.10M","-0.23%"
"11/20/2014","34.90","34.78","34.92","34.78","641.81K","0.11%"
"11/19/2014","34.86","34.79","34.98","34.75","2.03M","0.23%"
"11/18/2014","34.78","34.75","34.86","34.70","711.22K","0.09%"
"11/17/2014","34.75","34.83","34.89","34.61","1.38M","-0.29%"
"11/14/2014","34.85","34.87","34.91","34.84","1.02M","-0.03%"
"11/13/2014","34.86","34.90","34.94","34.86","985.80K","-0.06%"
"11/12/2014","34.88","34.85","34.91","34.85","1.13M","-0.06%"
"11/11/2014","34.90","34.90","34.99","34.87","884.85K","0.03%"
"11/10/2014","34.89","34.80","34.95","34.80","904.11K","0.06%"
"11/07/2014","34.87","34.86","34.93","34.77","781.34K","-0.03%"
"11/06/2014","34.88","34.99","34.99","34.86","1.21M","-0.26%"
