"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2016","27.64","27.65","27.67","27.64","18.31M","-0.04%"
"06/29/2016","27.65","27.66","27.67","27.65","2.08M","-0.04%"
"06/28/2016","27.66","27.65","27.68","27.65","1.22M","0.04%"
"06/27/2016","27.65","27.65","27.68","27.64","2.07M","-0.04%"
"06/24/2016","27.66","27.66","27.70","27.63","1.87M","-0.04%"
"06/23/2016","27.67","27.68","27.69","27.65","872.05K","-0.07%"
"06/22/2016","27.69","27.62","27.69","27.60","2.68M","0.33%"
"06/21/2016","27.60","27.65","27.68","27.60","1.44M","-0.29%"
"06/20/2016","27.68","27.63","27.68","27.61","1.61M","0.18%"
"06/17/2016","27.63","27.66","27.67","27.60","1.95M","-0.18%"
"06/16/2016","27.68","27.64","27.69","27.61","1.85M","0.07%"
"06/15/2016","27.66","27.64","27.68","27.60","961.29K","0.04%"
"06/14/2016","27.65","27.62","27.66","27.60","859.84K","0.07%"
"06/13/2016","27.63","27.64","27.68","27.61","1.55M","-0.11%"
"06/10/2016","27.66","27.64","27.69","27.64","1.38M","-0.11%"
"06/09/2016","27.69","27.67","27.70","27.65","1.44M","0.07%"
"06/08/2016","27.67","27.63","27.68","27.62","1.53M","0.11%"
"06/07/2016","27.64","27.61","27.65","27.59","983.02K","0.11%"
"06/06/2016","27.61","27.58","27.64","27.57","904.19K","0.07%"
"06/03/2016","27.59","27.63","27.68","27.57","1.43M","-0.18%"
"06/02/2016","27.64","27.58","27.64","27.54","1.12M","0.14%"
"06/01/2016","27.60","27.53","27.63","27.53","1.60M","0.22%"
"05/31/2016","27.54","27.54","27.57","27.52","2.71M","0.04%"
"05/27/2016","27.53","27.54","27.57","27.50","2.57M","0.04%"
"05/26/2016","27.52","27.53","27.63","27.49","3.72M","0.00%"
"05/25/2016","27.52","27.53","27.54","27.50","1.42M","-0.07%"
"05/24/2016","27.54","27.52","27.55","27.50","1.79M","0.15%"
"05/23/2016","27.50","27.53","27.55","27.49","1.31M","0.04%"
"05/20/2016","27.49","27.53","27.54","27.49","2.42M","-0.11%"
"05/19/2016","27.52","27.50","27.55","27.49","1.27M","0.07%"
"05/18/2016","27.50","27.48","27.55","27.45","2.37M","0.00%"
"05/17/2016","27.50","27.52","27.54","27.47","2.07M","-0.15%"
"05/16/2016","27.54","27.44","27.57","27.44","1.46M","0.07%"
"05/13/2016","27.52","27.53","27.59","27.47","2.77M","-0.04%"
"05/12/2016","27.53","27.54","27.56","27.47","1.71M","-0.79%"
"05/11/2016","27.75","27.76","27.78","27.73","1.87M","-0.04%"
"05/10/2016","27.76","27.78","27.78","27.75","2.49M","-0.04%"
"05/09/2016","27.77","27.75","27.78","27.74","1.32M","0.11%"
"05/06/2016","27.74","27.75","27.79","27.74","2.01M","-0.07%"
"05/05/2016","27.76","27.74","27.76","27.73","4.02M","0.04%"
"05/04/2016","27.75","27.73","27.76","27.72","2.94M","0.07%"
"05/03/2016","27.73","27.73","27.76","27.71","3.84M","0.00%"
"05/02/2016","27.73","27.75","27.77","27.71","2.11M","-0.14%"
"04/29/2016","27.77","27.74","27.77","27.70","2.38M","0.04%"
"04/28/2016","27.76","27.76","27.77","27.73","1.77M","0.00%"
"04/27/2016","27.76","27.76","27.77","27.74","2.37M","0.00%"
"04/26/2016","27.76","27.74","27.77","27.71","2.03M","0.14%"
"04/25/2016","27.72","27.71","27.77","27.71","1.05M","0.00%"
"04/22/2016","27.72","27.68","27.77","27.68","1.99M","0.11%"
"04/21/2016","27.69","27.75","27.77","27.66","2.23M","-0.18%"
"04/20/2016","27.74","27.76","27.83","27.70","2.79M","-0.14%"
"04/19/2016","27.78","27.73","27.78","27.69","1.56M","0.11%"
"04/18/2016","27.75","27.69","27.75","27.67","1.52M","0.22%"
"04/15/2016","27.69","27.73","27.74","27.66","1.05M","-0.11%"
"04/14/2016","27.72","27.67","27.73","27.66","3.49M","0.14%"
"04/13/2016","27.68","27.65","27.70","27.61","1.67M","0.11%"
"04/12/2016","27.65","27.49","27.73","27.48","4.51M","0.73%"
"04/11/2016","27.45","27.44","27.48","27.44","1.08M","0.00%"
"04/08/2016","27.45","27.48","27.50","27.45","1.26M","-0.07%"
"04/07/2016","27.47","27.47","27.48","27.44","2.25M","-0.07%"
"04/06/2016","27.49","27.43","27.50","27.43","965.41K","0.22%"
"04/05/2016","27.43","27.48","27.49","27.27","3.74M","-0.22%"
"04/04/2016","27.49","27.54","27.54","27.48","1.33M","-0.25%"
"04/01/2016","27.56","27.51","27.56","27.49","2.69M","0.11%"
"03/31/2016","27.53","27.51","27.53","27.48","2.10M","0.00%"
"03/30/2016","27.53","27.52","27.53","27.46","2.21M","0.04%"
"03/29/2016","27.52","27.51","27.54","27.49","2.79M","0.04%"
"03/28/2016","27.51","27.51","27.54","27.45","2.59M","0.00%"
"03/24/2016","27.51","27.46","27.52","27.46","1.86M","0.07%"
"03/23/2016","27.49","27.45","27.50","27.43","972.42K","0.18%"
"03/22/2016","27.44","27.47","27.49","27.43","2.43M","-0.18%"
"03/21/2016","27.49","27.45","27.53","27.43","1.49M","0.11%"
"03/18/2016","27.46","27.50","27.54","27.43","5.71M","-0.33%"
"03/17/2016","27.55","27.51","27.57","27.45","3.18M","0.04%"
"03/16/2016","27.54","27.45","27.55","27.43","3.47M","0.22%"
"03/15/2016","27.48","27.45","27.48","27.43","2.04M","0.00%"
"03/14/2016","27.48","27.44","27.51","27.43","2.06M","0.18%"
"03/11/2016","27.43","27.47","27.48","27.43","1.93M","-0.11%"
"03/10/2016","27.46","27.46","27.49","27.42","3.41M","0.00%"
"03/09/2016","27.46","27.47","27.49","27.44","2.02M","0.00%"
"03/08/2016","27.46","27.49","27.49","27.45","1.90M","-0.22%"
"03/07/2016","27.52","27.46","27.52","27.43","1.92M","0.07%"
"03/04/2016","27.50","27.45","27.51","27.43","2.89M","0.04%"
"03/03/2016","27.49","27.44","27.49","27.42","2.00M","0.07%"
"03/02/2016","27.47","27.49","27.50","27.42","2.63M","-0.07%"
"03/01/2016","27.49","27.50","27.54","27.43","2.51M","0.07%"
"02/29/2016","27.47","27.49","27.52","27.37","11.29M","0.04%"
"02/26/2016","27.46","27.49","27.53","27.30","3.47M","-0.07%"
"02/25/2016","27.48","27.49","27.50","27.42","2.42M","-0.04%"
"02/24/2016","27.49","27.43","27.50","27.42","2.45M","0.18%"
"02/23/2016","27.44","27.52","27.53","27.43","1.68M","-0.36%"
"02/22/2016","27.54","27.42","27.54","27.42","2.17M","0.33%"
"02/19/2016","27.45","27.40","27.45","27.25","3.38M","0.07%"
"02/18/2016","27.43","27.23","27.45","27.23","3.77M","0.70%"
"02/17/2016","27.24","27.22","27.32","27.15","2.85M","0.18%"
"02/16/2016","27.19","27.30","27.30","27.13","4.40M","0.04%"
"02/12/2016","27.18","27.13","27.34","27.09","2.52M","0.33%"
"02/11/2016","27.09","27.12","27.23","27.06","2.32M","-0.15%"
"02/10/2016","27.13","27.17","27.36","27.09","2.17M","-0.84%"
"02/09/2016","27.36","27.15","27.43","27.15","2.78M","0.66%"
"02/08/2016","27.18","27.25","27.28","27.09","2.12M","-0.37%"
"02/05/2016","27.28","27.31","27.41","27.18","3.12M","-0.33%"
"02/04/2016","27.37","27.33","27.40","27.31","1.42M","0.11%"
"02/03/2016","27.34","27.38","27.45","27.30","1.90M","0.11%"
"02/02/2016","27.31","27.31","27.45","27.28","2.46M","-0.29%"
"02/01/2016","27.39","27.19","27.39","27.15","2.39M","1.00%"
"01/29/2016","27.12","27.33","27.41","27.10","3.93M","-0.70%"
"01/28/2016","27.31","27.20","27.44","27.13","2.63M","0.33%"
"01/27/2016","27.22","27.01","27.22","26.97","1.98M","0.63%"
"01/26/2016","27.05","26.99","27.18","26.98","1.82M","0.26%"
"01/25/2016","26.98","27.00","27.07","26.94","1.75M","-0.22%"
"01/22/2016","27.04","26.99","27.09","26.97","1.58M","0.19%"
"01/21/2016","26.99","26.87","27.02","26.78","1.69M","0.26%"
"01/20/2016","26.92","26.93","27.04","26.69","3.42M","-0.63%"
"01/19/2016","27.09","26.89","27.11","26.88","1.75M","0.67%"
"01/15/2016","26.91","26.84","26.98","26.78","1.95M","-0.04%"
"01/14/2016","26.92","26.87","27.02","26.86","1.78M","0.22%"
"01/13/2016","26.86","26.89","26.98","26.76","2.21M","-0.41%"
"01/12/2016","26.97","26.92","27.00","26.69","1.77M","0.19%"
"01/11/2016","26.92","26.75","26.99","26.75","1.48M","0.90%"
"01/08/2016","26.68","26.94","26.98","26.66","1.84M","-0.82%"
"01/07/2016","26.90","26.76","26.94","26.76","1.60M","0.00%"
"01/06/2016","26.90","26.81","27.00","26.75","976.24K","-0.33%"
"01/05/2016","26.99","26.80","27.07","26.73","1.54M","0.67%"
"01/04/2016","26.81","26.56","26.81","26.50","1.33M","0.60%"
"12/31/2015","26.65","26.75","26.80","26.56","1.88M","-0.63%"
"12/30/2015","26.82","26.71","26.93","26.71","878.91K","0.19%"
"12/29/2015","26.77","26.66","26.80","26.65","1.02M","0.45%"
"12/28/2015","26.65","26.64","26.68","26.62","881.86K","-0.26%"
"12/24/2015","26.72","26.66","26.80","26.64","336.88K","0.04%"
"12/23/2015","26.71","26.54","26.76","26.54","986.75K","0.72%"
"12/22/2015","26.52","26.39","26.58","26.25","2.10M","0.49%"
"12/21/2015","26.39","26.46","26.56","26.26","2.12M","-0.11%"
"12/18/2015","26.42","26.78","26.82","26.35","11.23M","-1.34%"
"12/17/2015","26.78","26.86","26.97","26.77","1.30M","-0.33%"
"12/16/2015","26.87","26.83","26.99","26.71","1.81M","0.22%"
"12/15/2015","26.81","26.75","26.83","26.66","1.38M","0.71%"
"12/14/2015","26.62","26.65","26.73","26.56","1.63M","-0.15%"
"12/11/2015","26.66","26.61","26.77","26.59","1.30M","-0.30%"
"12/10/2015","26.74","26.63","26.81","26.56","3.58M","0.15%"
"12/09/2015","26.70","26.60","26.73","26.50","987.84K","0.26%"
"12/08/2015","26.63","26.71","26.84","26.59","770.19K","-0.67%"
"12/07/2015","26.81","26.55","26.86","26.51","1.34M","0.98%"
"12/04/2015","26.55","26.30","26.55","26.28","1.49M","0.99%"
"12/03/2015","26.29","26.27","26.39","26.22","1.32M","0.08%"
"12/02/2015","26.27","26.36","26.38","26.22","1.41M","-0.45%"
"12/01/2015","26.39","26.35","26.43","26.35","1.26M","0.27%"
"11/30/2015","26.32","26.33","26.47","26.29","1.22M","0.08%"
"11/27/2015","26.30","26.30","26.40","26.29","264.33K","0.04%"
"11/25/2015","26.29","26.26","26.39","26.21","785.94K","-0.11%"
"11/24/2015","26.32","26.25","26.45","26.16","1.37M","0.15%"
"11/23/2015","26.28","26.33","26.41","26.26","1.04M","-0.15%"
"11/20/2015","26.32","26.47","26.50","26.30","1.30M","-0.30%"
"11/19/2015","26.40","26.37","26.54","26.34","1.54M","0.19%"
"11/18/2015","26.35","26.33","26.40","26.13","1.45M","0.11%"
"11/17/2015","26.32","26.47","26.52","26.25","2.03M","-0.68%"
"11/16/2015","26.50","26.42","26.54","26.42","872.22K","0.23%"
"11/13/2015","26.44","26.45","26.59","26.36","3.03M","-0.04%"
"11/12/2015","26.45","26.60","26.67","26.45","1.54M","-0.68%"
"11/11/2015","26.63","26.70","26.74","26.59","788.19K","-0.15%"
"11/10/2015","26.67","26.86","26.96","26.60","1.37M","-0.82%"
"11/09/2015","26.89","26.95","27.02","26.82","1.53M","-0.26%"
"11/06/2015","26.96","27.03","27.07","26.94","1.32M","-0.48%"
"11/05/2015","27.09","27.00","27.10","26.99","1.03M","0.11%"
"11/04/2015","27.06","27.00","27.09","26.95","1.21M","0.15%"
"11/03/2015","27.02","27.02","27.04","26.95","1.26M","-0.11%"
"11/02/2015","27.05","27.00","27.08","26.93","851.34K","0.19%"
"10/30/2015","27.00","27.13","27.19","26.93","1.71M","-0.41%"
"10/29/2015","27.11","27.15","27.18","27.04","1.31M","-0.40%"
"10/28/2015","27.22","27.13","27.23","27.04","1.69M","0.22%"
"10/27/2015","27.16","27.05","27.16","27.03","1.67M","0.26%"
"10/26/2015","27.09","27.07","27.13","27.00","1.79M","0.07%"
"10/23/2015","27.07","27.06","27.10","26.99","1.47M","-0.07%"
"10/22/2015","27.09","27.05","27.11","26.99","1.56M","0.30%"
"10/21/2015","27.01","27.07","27.16","26.95","1.24M","-0.15%"
"10/20/2015","27.05","26.93","27.09","26.87","1.65M","0.30%"
"10/19/2015","26.97","26.84","26.97","26.79","1.29M","0.11%"
"10/16/2015","26.94","26.95","26.98","26.86","1.72M","0.26%"
"10/15/2015","26.87","26.79","26.99","26.66","2.83M","0.30%"
"10/14/2015","26.79","26.73","26.79","26.68","2.31M","0.26%"
"10/13/2015","26.72","26.66","26.81","26.66","2.35M","0.04%"
"10/12/2015","26.71","26.53","26.74","26.50","1.50M","1.14%"
"10/09/2015","26.41","26.76","26.79","26.36","4.23M","-1.38%"
"10/08/2015","26.78","26.70","26.80","26.70","2.06M","0.19%"
"10/07/2015","26.73","26.60","26.76","26.54","2.67M","0.60%"
"10/06/2015","26.57","26.60","26.66","26.44","1.71M","-0.34%"
"10/05/2015","26.66","26.72","26.72","26.50","1.64M","0.41%"
"10/02/2015","26.55","26.36","26.56","26.16","1.88M","0.91%"
"10/01/2015","26.31","26.31","26.41","26.08","2.82M","0.19%"
"09/30/2015","26.26","26.25","26.37","26.21","2.20M","0.04%"
"09/29/2015","26.25","26.35","26.48","26.15","1.98M","-0.38%"
