"Date","Price","Open","High","Low","Vol.","Change %"
"02/23/2016","4.990","5.010","5.020","4.990","469.00K","-0.40%"
"02/22/2016","5.010","5.010","5.020","4.990","503.45K","0.20%"
"02/19/2016","5.000","4.980","5.060","4.980","965.04K","0.60%"
"02/18/2016","4.970","4.940","4.980","4.940","1.50M","0.61%"
"02/17/2016","4.940","4.940","4.980","4.920","569.60K","0.00%"
"02/16/2016","4.940","4.950","4.980","4.920","503.35K","-0.40%"
"02/12/2016","4.960","4.920","4.960","4.905","626.85K","0.40%"
"02/11/2016","4.940","4.900","4.960","4.900","787.60K","0.20%"
"02/10/2016","4.930","4.910","4.960","4.890","726.96K","0.61%"
"02/09/2016","4.900","4.910","4.930","4.850","780.86K","-0.61%"
"02/08/2016","4.930","4.900","4.950","4.890","676.52K","0.00%"
"02/05/2016","4.930","4.910","4.950","4.900","744.30K","0.41%"
"02/04/2016","4.910","4.900","4.920","4.880","477.59K","0.20%"
"02/03/2016","4.900","4.950","4.950","4.860","1.63M","-0.81%"
"02/02/2016","4.940","4.940","5.010","4.910","802.64K","0.00%"
"02/01/2016","4.940","4.950","4.960","4.930","755.53K","-0.40%"
"01/29/2016","4.960","4.940","4.960","4.940","731.41K","0.61%"
"01/28/2016","4.930","4.950","4.960","4.920","432.30K","-0.40%"
"01/27/2016","4.950","4.920","4.955","4.920","588.11K","0.00%"
"01/26/2016","4.950","4.870","4.950","4.860","913.81K","1.85%"
"01/25/2016","4.860","4.870","4.920","4.860","516.57K","0.00%"
"01/22/2016","4.860","4.860","4.900","4.820","669.57K","0.83%"
"01/21/2016","4.820","4.820","4.855","4.800","1.48M","0.00%"
"01/20/2016","4.820","4.860","4.880","4.780","2.60M","-1.63%"
"01/19/2016","4.900","4.940","4.950","4.760","3.62M","-1.11%"
"01/15/2016","4.955","4.950","4.970","4.950","1.11M","-0.10%"
"01/14/2016","4.960","4.950","4.970","4.945","323.15K","0.20%"
"01/13/2016","4.950","4.950","4.970","4.932","824.24K","-0.20%"
"01/12/2016","4.960","4.960","4.970","4.950","368.69K","0.20%"
"01/11/2016","4.950","4.950","4.960","4.940","955.62K","0.00%"
"01/08/2016","4.950","4.950","4.950","4.940","1.10M","0.00%"
"01/07/2016","4.950","4.950","4.960","4.940","2.42M","-0.20%"
"01/06/2016","4.960","4.960","4.970","4.950","1.25M","0.00%"
"01/05/2016","4.960","4.960","4.970","4.955","1.02M","-0.20%"
"01/04/2016","4.970","4.970","4.980","4.950","2.58M","0.00%"
"12/31/2015","4.970","4.970","4.990","4.970","413.68K","0.00%"
"12/30/2015","4.970","4.970","4.980","4.970","323.56K","-0.20%"
"12/29/2015","4.980","4.980","4.980","4.970","642.54K","0.10%"
"12/28/2015","4.975","4.970","4.980","4.970","1.36M","-0.10%"
"12/24/2015","4.980","4.970","4.980","4.960","614.76K","0.00%"
"12/23/2015","4.980","4.980","4.980","4.970","843.36K","0.00%"
"12/22/2015","4.980","4.980","4.980","4.970","298.52K","0.10%"
"12/21/2015","4.975","4.970","4.980","4.960","783.56K","0.30%"
"12/18/2015","4.960","4.960","4.970","4.960","799.47K","-0.10%"
"12/17/2015","4.965","4.960","4.970","4.960","382.49K","0.10%"
"12/16/2015","4.960","4.960","4.970","4.960","1.49M","-0.20%"
"12/15/2015","4.970","4.970","4.970","4.960","365.69K","0.00%"
"12/14/2015","4.970","4.960","4.970","4.960","923.05K","0.10%"
"12/11/2015","4.965","4.960","4.970","4.960","629.33K","-0.10%"
"12/10/2015","4.970","4.950","4.970","4.950","877.59K","0.20%"
"12/09/2015","4.960","4.970","4.970","4.950","580.62K","0.00%"
"12/08/2015","4.960","4.950","4.970","4.950","534.43K","0.00%"
"12/07/2015","4.960","4.960","4.960","4.940","777.32K","0.20%"
"12/04/2015","4.950","4.940","4.950","4.930","997.93K","0.20%"
"12/03/2015","4.940","4.940","4.940","4.930","1.72M","0.00%"
"12/02/2015","4.940","4.930","4.940","4.920","1.88M","0.41%"
"12/01/2015","4.920","4.930","4.940","4.920","2.04M","0.00%"
"11/30/2015","4.920","4.930","4.940","4.920","3.64M","-0.40%"
"11/27/2015","4.940","4.930","4.940","4.930","319.77K","0.00%"
"11/25/2015","4.940","4.940","4.940","4.930","2.88M","0.00%"
"11/24/2015","4.940","4.940","4.950","4.930","3.90M","0.00%"
"11/23/2015","4.940","4.940","4.960","4.920","20.57M","12.53%"
"11/20/2015","4.390","4.360","4.490","4.350","233.13K","0.23%"
"11/19/2015","4.380","4.390","4.480","4.370","173.71K","-1.13%"
"11/18/2015","4.430","4.450","4.500","4.321","251.01K","0.45%"
"11/17/2015","4.410","4.400","4.530","4.330","417.87K","0.23%"
"11/16/2015","4.400","4.500","4.580","4.210","589.05K","-3.08%"
"11/13/2015","4.540","4.560","4.630","4.510","466.66K","-0.66%"
"11/12/2015","4.570","4.560","4.660","4.560","151.89K","-0.22%"
"11/11/2015","4.580","4.660","4.660","4.470","247.86K","0.44%"
"11/10/2015","4.560","4.600","4.725","4.500","372.58K","-0.44%"
"11/09/2015","4.580","4.440","4.650","4.360","619.02K","5.05%"
"11/06/2015","4.360","4.400","4.450","4.330","352.47K","-1.80%"
"11/05/2015","4.440","4.500","4.500","4.405","220.61K","-0.45%"
"11/04/2015","4.460","4.540","4.540","4.360","340.73K","-0.67%"
"11/03/2015","4.490","4.410","4.550","4.400","642.16K","2.51%"
"11/02/2015","4.380","4.250","4.400","4.230","1.07M","7.09%"
"10/30/2015","4.090","4.000","4.120","3.850","759.14K","8.78%"
"10/29/2015","3.760","3.900","4.010","3.760","177.21K","-4.57%"
"10/28/2015","3.940","3.840","4.030","3.840","194.80K","2.87%"
"10/27/2015","3.830","3.980","4.020","3.810","120.61K","-4.49%"
"10/26/2015","4.010","4.060","4.085","3.925","147.39K","-0.74%"
"10/23/2015","4.040","4.020","4.070","3.900","152.52K","1.00%"
"10/22/2015","4.000","3.840","4.050","3.830","141.74K","4.71%"
"10/21/2015","3.820","4.010","4.020","3.820","180.08K","-4.26%"
"10/20/2015","3.990","4.060","4.071","3.940","125.37K","-1.48%"
"10/19/2015","4.050","3.800","4.060","3.800","364.96K","6.58%"
"10/16/2015","3.800","3.790","3.820","3.737","96.74K","0.80%"
"10/15/2015","3.770","3.660","3.770","3.660","161.11K","2.72%"
"10/14/2015","3.670","3.690","3.740","3.610","205.38K","0.00%"
"10/13/2015","3.670","3.610","3.710","3.610","109.03K","0.82%"
"10/12/2015","3.640","3.680","3.690","3.550","112.33K","-0.27%"
"10/09/2015","3.650","3.580","3.680","3.520","152.60K","2.82%"
"10/08/2015","3.550","3.520","3.585","3.490","78.86K","0.85%"
"10/07/2015","3.520","3.560","3.590","3.510","102.11K","-1.12%"
