"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2020","0.08","0.06","0.08","0.06","251.00K","0.00%"
"09/18/2020","0.08","0.07","0.08","0.07","122.01K","0.00%"
"09/17/2020","0.08","0.07","0.08","0.07","138.18K","14.29%"
"09/16/2020","0.07","0.07","0.07","0.07","","0.00%"
"09/15/2020","0.07","0.07","0.07","0.07","","0.00%"
"09/14/2020","0.07","0.07","0.07","0.07","","0.00%"
"09/11/2020","0.07","0.07","0.07","0.07","","0.00%"
"09/10/2020","0.07","0.06","0.07","0.06","135.23K","16.67%"
"09/09/2020","0.06","0.08","0.08","0.06","281.18K","-14.29%"
"09/08/2020","0.07","0.08","0.08","0.07","234.93K","0.00%"
"09/04/2020","0.07","0.06","0.07","0.06","191.09K","0.00%"
"09/03/2020","0.07","0.07","0.07","0.07","","0.00%"
"09/02/2020","0.07","0.06","0.08","0.06","163.47K","0.00%"
"09/01/2020","0.07","0.09","0.09","0.06","655.08K","-12.50%"
"08/31/2020","0.08","0.09","0.09","0.07","46.98K","0.00%"
"08/28/2020","0.08","0.09","0.09","0.08","123.77K","0.00%"
"08/27/2020","0.08","0.09","0.09","0.08","101.34K","0.00%"
"08/26/2020","0.08","0.09","0.09","0.08","37.57K","0.00%"
"08/25/2020","0.08","0.09","0.09","0.08","137.12K","14.29%"
"08/24/2020","0.07","0.08","0.09","0.07","165.26K","-12.50%"
"08/21/2020","0.08","0.09","0.09","0.07","62.69K","0.00%"
"08/20/2020","0.08","0.09","0.09","0.07","86.07K","14.29%"
"08/19/2020","0.07","0.08","0.09","0.07","74.91K","-22.22%"
"08/18/2020","0.09","0.08","0.09","0.08","114.28K","12.50%"
"08/17/2020","0.08","0.09","0.09","0.08","89.88K","-11.11%"
"08/14/2020","0.09","0.07","0.09","0.07","262.81K","12.50%"
"08/13/2020","0.08","0.07","0.09","0.07","176.02K","14.29%"
"08/12/2020","0.07","0.08","0.09","0.07","183.61K","-12.50%"
"08/11/2020","0.08","0.07","0.08","0.07","186.28K","14.29%"
"08/10/2020","0.07","0.06","0.08","0.06","95.90K","-12.50%"
"08/07/2020","0.08","0.06","0.08","0.06","78.90K","14.29%"
"08/06/2020","0.07","0.08","0.08","0.07","301.53K","-12.50%"
"08/05/2020","0.08","0.09","0.09","0.08","82.46K","0.00%"
"08/04/2020","0.08","0.07","0.09","0.07","147.33K","0.00%"
"08/03/2020","0.08","0.09","0.09","0.07","308.88K","0.00%"
"07/31/2020","0.08","0.09","0.09","0.08","36.68K","-11.11%"
"07/30/2020","0.09","0.08","0.09","0.07","147.79K","0.00%"
"07/29/2020","0.09","0.07","0.09","0.07","172.05K","12.50%"
"07/28/2020","0.08","0.09","0.09","0.07","250.39K","0.00%"
"07/27/2020","0.08","0.09","0.09","0.07","433.77K","0.00%"
"07/24/2020","0.08","0.09","0.11","0.07","988.45K","-11.11%"
"07/23/2020","0.09","0.10","0.10","0.09","166.02K","12.50%"
"07/22/2020","0.08","0.09","0.09","0.08","213.90K","-11.11%"
"07/21/2020","0.09","0.08","0.09","0.08","215.40K","12.50%"
"07/20/2020","0.08","0.09","0.09","0.08","227.63K","14.29%"
"07/17/2020","0.07","0.08","0.09","0.07","289.63K","-12.50%"
"07/16/2020","0.08","0.10","0.10","0.07","194.79K","0.00%"
"07/15/2020","0.08","0.07","0.08","0.07","667.87K","14.29%"
"07/14/2020","0.07","0.07","0.07","0.07","","0.00%"
"07/13/2020","0.07","0.07","0.07","0.07","","0.00%"
"07/10/2020","0.07","0.08","0.08","0.07","784.82K","-12.50%"
"07/09/2020","0.08","0.07","0.08","0.07","530.97K","14.29%"
"07/08/2020","0.07","0.06","0.07","0.06","1.65M","-12.50%"
"07/07/2020","0.08","0.09","0.09","0.07","954.76K","-20.00%"
"07/06/2020","0.10","0.12","0.12","0.06","1.66M","-23.08%"
"07/02/2020","0.13","0.12","0.13","0.12","53.91K","0.00%"
"07/01/2020","0.13","0.12","0.13","0.12","369.91K","8.33%"
"06/30/2020","0.12","0.11","0.14","0.11","555.21K","0.00%"
"06/29/2020","0.12","0.13","0.13","0.10","1.58M","-7.69%"
"06/26/2020","0.13","0.14","0.14","0.10","1.14M","-7.14%"
"06/25/2020","0.14","0.13","0.14","0.12","117.11K","7.69%"
"06/24/2020","0.13","0.14","0.14","0.12","141.44K","-13.33%"
"06/23/2020","0.15","0.14","0.15","0.13","132.39K","7.14%"
"06/22/2020","0.14","0.13","0.15","0.08","1.13M","0.00%"
"06/19/2020","0.14","0.14","0.14","0.14","","0.00%"
