"Date","Price","Open","High","Low","Vol.","Change %"
"09/11/2018","57.59","57.58","57.60","57.57","8.91M","1.04%"
"09/10/2018","57.00","57.20","57.20","56.85","2.56M","-0.31%"
"09/07/2018","57.18","57.17","57.27","57.17","1.32M","0.02%"
"09/06/2018","57.17","57.34","57.36","57.13","1.97M","-0.35%"
"09/05/2018","57.37","57.31","57.38","57.31","1.28M","0.09%"
"09/04/2018","57.32","57.30","57.44","57.26","1.82M","-0.12%"
"08/31/2018","57.39","57.12","57.39","57.12","3.17M","0.47%"
"08/30/2018","57.12","57.08","57.20","57.06","1.22M","0.11%"
"08/29/2018","57.06","57.16","57.24","57.05","1.46M","-0.12%"
"08/28/2018","57.13","57.06","57.19","57.06","1.03M","0.07%"
"08/27/2018","57.09","57.01","57.10","56.99","564.29K","0.09%"
"08/24/2018","57.04","57.00","57.05","56.95","1.51M","0.16%"
"08/23/2018","56.95","56.96","57.04","56.92","908.83K","-0.09%"
"08/22/2018","57.00","57.00","57.05","56.90","1.28M","-0.14%"
"08/21/2018","57.08","56.92","57.09","56.92","1.25M","0.21%"
"08/20/2018","56.96","56.97","56.99","56.83","1.46M","0.04%"
"08/17/2018","56.94","56.84","56.96","56.84","1.40M","0.16%"
"08/16/2018","56.85","56.36","57.00","56.36","4.68M","0.82%"
"08/15/2018","56.39","56.35","56.45","56.32","1.72M","0.05%"
"08/14/2018","56.36","56.35","56.43","56.28","1.15M","0.04%"
"08/13/2018","56.34","56.14","56.45","56.14","1.48M","-0.07%"
"08/10/2018","56.38","56.41","56.44","56.30","814.50K","-0.07%"
"08/09/2018","56.42","56.20","56.45","56.20","524.28K","0.14%"
"08/08/2018","56.34","56.33","56.45","56.25","777.01K","-0.07%"
"08/07/2018","56.38","56.11","56.44","56.10","1.12M","0.30%"
"08/06/2018","56.21","56.26","56.26","56.20","485.55K","-0.11%"
"08/03/2018","56.27","56.33","56.35","56.21","714.58K","-0.11%"
"08/02/2018","56.33","56.37","56.50","56.20","1.10M","-0.09%"
"08/01/2018","56.38","56.21","56.40","56.21","1.40M","0.27%"
"07/31/2018","56.23","56.24","56.30","56.20","1.30M","-0.04%"
"07/30/2018","56.25","55.89","56.26","55.89","921.44K","0.07%"
"07/27/2018","56.21","56.20","56.26","56.17","723.83K","0.04%"
"07/26/2018","56.19","56.17","56.26","56.13","1.03M","0.14%"
"07/25/2018","56.11","56.13","56.20","56.07","1.06M","-0.04%"
"07/24/2018","56.13","56.05","56.20","56.02","1.92M","0.25%"
"07/23/2018","55.99","56.25","56.25","55.99","1.56M","-0.48%"
"07/20/2018","56.26","56.25","56.32","56.17","1.94M","-0.05%"
"07/19/2018","56.29","56.43","56.47","56.20","1.98M","-0.32%"
"07/18/2018","56.47","56.40","56.51","56.38","1.62M","-0.04%"
"07/17/2018","56.49","56.42","56.50","56.36","1.05M","0.11%"
"07/16/2018","56.43","56.35","56.45","56.35","1.11M","0.12%"
"07/13/2018","56.36","56.36","56.37","56.29","1.12M","-0.02%"
"07/12/2018","56.37","56.38","56.40","56.34","888.73K","0.11%"
"07/11/2018","56.31","56.31","56.43","56.31","1.08M","-0.05%"
"07/10/2018","56.34","56.37","56.42","56.27","515.12K","-0.04%"
"07/09/2018","56.36","56.41","56.45","56.31","865.47K","-0.09%"
"07/06/2018","56.41","56.12","56.47","56.12","1.08M","0.50%"
"07/05/2018","56.13","56.14","56.27","56.00","1.16M","0.23%"
"07/03/2018","56.00","56.01","56.06","55.98","603.17K","-0.02%"
"07/02/2018","56.01","56.00","56.12","55.92","3.05M","0.11%"
"06/29/2018","55.95","56.03","56.12","55.84","2.91M","-0.21%"
"06/28/2018","56.07","56.00","56.17","55.97","949.56K","0.23%"
"06/27/2018","55.94","56.10","56.12","55.92","2.03M","-0.27%"
"06/26/2018","56.09","56.12","56.24","56.08","620.79K","-0.04%"
"06/25/2018","56.11","56.21","56.28","56.08","1.26M","-0.07%"
"06/22/2018","56.15","56.23","56.27","56.14","1.16M","-0.09%"
"06/21/2018","56.20","56.17","56.25","56.13","1.50M","-0.02%"
"06/20/2018","56.21","56.17","56.25","56.12","612.60K","0.04%"
"06/19/2018","56.19","56.17","56.23","56.12","973.84K","-0.02%"
"06/18/2018","56.20","56.07","56.20","56.05","715.52K","0.04%"
"06/15/2018","56.18","56.15","56.23","56.02","2.49M","-0.04%"
"06/14/2018","56.20","56.19","56.29","56.14","1.93M","-0.12%"
"06/13/2018","56.27","56.40","56.49","56.26","2.85M","-0.07%"
"06/12/2018","56.31","56.35","56.49","56.25","2.71M","-0.16%"
"06/11/2018","56.40","56.35","56.49","56.26","2.02M","0.18%"
"06/08/2018","56.30","56.30","56.35","56.20","2.14M","0.00%"
"06/07/2018","56.30","56.15","56.31","56.03","2.65M","0.21%"
"06/06/2018","56.18","56.00","56.19","55.94","1.89M","0.39%"
"06/05/2018","55.96","55.87","55.98","55.79","1.13M","0.04%"
"06/04/2018","55.94","56.00","56.05","55.75","991.47K","0.00%"
"06/01/2018","55.94","55.60","56.00","55.55","1.86M","0.65%"
"05/31/2018","55.58","55.52","55.67","55.42","3.53M","-0.02%"
"05/30/2018","55.59","55.32","55.79","55.32","1.63M","0.49%"
"05/29/2018","55.32","55.63","55.70","55.30","2.24M","-0.58%"
"05/25/2018","55.64","55.60","55.77","55.55","2.57M","-0.05%"
"05/24/2018","55.67","55.78","55.78","55.60","2.26M","-0.18%"
"05/23/2018","55.77","55.74","55.86","55.51","1.20M","0.05%"
"05/22/2018","55.74","55.72","55.84","55.70","3.97M","-0.04%"
"05/21/2018","55.76","55.50","55.83","55.50","1.74M","0.54%"
