,Date,Open,High,Low,Close,Adj Close,Volume
0,1995-04-04,2.9375,2.96875,2.8125,2.953125,2.268681287765503,40387200
1,1995-04-05,2.90625,2.96875,2.84375,2.84375,2.1846566200256348,12236800
2,1995-04-06,2.84375,2.9375,2.84375,2.890625,2.2206673622131348,3776000
3,1995-04-07,2.90625,2.90625,2.84375,2.84375,2.1846566200256348,1920800
4,1995-04-10,2.84375,2.90625,2.84375,2.875,2.2086634635925293,2047200
5,1995-04-11,2.84375,2.90625,2.84375,2.859375,2.196659803390503,4096800
6,1995-04-12,2.84375,2.875,2.84375,2.859375,2.196659803390503,2457600
7,1995-04-13,2.84375,2.875,2.84375,2.875,2.2086634635925293,2297600
8,1995-04-17,2.84375,2.953125,2.84375,2.953125,2.268681287765503,2233600
9,1995-04-18,2.890625,2.953125,2.875,2.9375,2.2566781044006348,2441600
10,1995-04-19,2.875,2.90625,2.8125,2.84375,2.1846566200256348,1422400
11,1995-04-20,2.8125,2.8125,2.71875,2.734375,2.100630760192871,1023200
12,1995-04-21,2.71875,2.8125,2.71875,2.796875,2.1486454010009766,2803200
13,1995-04-24,2.75,2.8125,2.75,2.75,2.1126344203948975,644800
14,1995-04-25,2.75,2.8125,2.75,2.8125,2.160649538040161,484800
15,1995-04-26,2.75,2.8125,2.75,2.75,2.1126344203948975,151200
16,1995-04-27,2.75,2.8125,2.75,2.78125,2.1366422176361084,3552000
17,1995-04-28,2.78125,2.8125,2.765625,2.765625,2.124638319015503,1076000
18,1995-05-01,2.8125,2.8125,2.765625,2.765625,2.124638319015503,2287200
19,1995-05-02,2.765625,2.890625,2.765625,2.84375,2.1846566200256348,1212000
20,1995-05-03,2.8125,2.890625,2.78125,2.859375,2.196659803390503,791200
21,1995-05-04,2.84375,2.890625,2.8125,2.8125,2.160649538040161,1011200
22,1995-05-05,2.8125,2.875,2.8125,2.8125,2.160649538040161,164000
23,1995-05-08,2.8125,2.890625,2.8125,2.8125,2.160649538040161,59200
