,Date,Open,High,Low,Close,Adj Close,Volume
0,1973-02-21,0.0,29.375,28.875,29.25,10.409375190734863,16000
1,1973-02-22,0.0,29.375,29.125,29.125,10.36489486694336,7100
2,1973-02-23,0.0,29.25,28.75,28.75,10.231432914733887,23000
3,1973-02-26,0.0,28.875,28.625,28.625,10.186943054199219,6500
4,1973-02-27,0.0,28.875,28.75,28.75,10.231432914733887,5800
5,1973-02-28,0.0,28.75,28.5,28.625,10.186943054199219,5100
6,1973-03-01,0.0,28.625,28.125,28.25,10.05349349975586,15400
7,1973-03-02,0.0,28.625,28.25,28.625,10.186943054199219,6400
8,1973-03-05,0.0,28.75,28.375,28.375,10.097984313964844,7200
9,1973-03-06,0.0,28.75,28.5,28.5,10.142465591430664,3800
10,1973-03-07,0.0,28.75,28.375,28.375,10.097984313964844,4300
11,1973-03-08,0.0,28.75,28.375,28.75,10.231432914733887,5000
12,1973-03-09,0.0,28.875,28.5,28.625,10.186943054199219,4800
13,1973-03-12,0.0,28.875,28.5,28.5,10.142465591430664,18700
14,1973-03-13,0.0,28.625,28.375,28.5,10.142465591430664,11800
15,1973-03-14,0.0,28.75,28.5,28.625,10.186943054199219,4000
16,1973-03-15,0.0,28.625,28.375,28.5,10.142465591430664,5700
17,1973-03-16,0.0,28.75,28.375,28.625,10.186943054199219,5300
18,1973-03-19,0.0,28.75,28.25,28.375,10.097984313964844,6300
19,1973-03-20,0.0,28.375,28.25,28.25,10.05349349975586,20100
20,1973-03-21,0.0,28.5,28.25,28.25,10.05349349975586,3500
21,1973-03-22,0.0,28.25,28.125,28.125,10.009010314941406,19100
22,1973-03-23,0.0,28.375,28.125,28.125,10.009010314941406,10800
23,1973-03-26,0.0,28.25,28.125,28.25,10.05349349975586,9100
24,1973-03-27,0.0,28.5,28.25,28.25,10.05349349975586,11400
25,1973-03-28,0.0,28.625,28.25,28.625,10.186943054199219,3500
26,1973-03-29,0.0,28.625,28.375,28.5,10.142465591430664,9700
27,1973-03-30,0.0,28.75,28.375,28.5,10.142465591430664,1300
28,1973-04-02,0.0,28.5,28.25,28.5,10.142465591430664,7800
29,1973-04-03,0.0,28.625,28.25,28.375,10.097984313964844,4300
30,1973-04-04,0.0,28.375,28.125,28.125,10.009010314941406,7800
31,1973-04-05,0.0,28.375,28.125,28.25,10.05349349975586,5500
32,1973-04-06,0.0,28.5,28.0,28.0,9.964529037475586,29300
33,1973-04-09,0.0,27.875,27.5,27.625,9.831072807312012,10300
34,1973-04-10,0.0,28.0,27.75,27.875,9.92004680633545,10100
35,1973-04-11,0.0,28.375,28.0,28.375,10.097984313964844,4300
36,1973-04-12,0.0,28.25,27.75,28.125,10.009010314941406,10700
37,1973-04-13,0.0,28.0,27.75,28.0,10.144885063171387,5800
38,1973-04-16,0.0,28.0,27.75,27.875,10.099593162536621,5400
39,1973-04-17,0.0,28.0,27.75,27.75,10.054299354553223,8500
40,1973-04-18,0.0,28.0,27.75,27.75,10.054299354553223,3200
41,1973-04-19,0.0,28.0,27.75,27.75,10.054299354553223,11000
42,1973-04-23,0.0,27.875,27.625,27.75,10.054299354553223,6300
43,1973-04-24,0.0,27.875,27.625,27.625,10.009011268615723,2700
44,1973-04-25,0.0,27.875,27.625,27.625,10.009011268615723,4500
45,1973-04-26,0.0,27.875,27.625,27.75,10.054299354553223,6300
46,1973-04-27,0.0,27.875,27.75,27.75,10.054299354553223,3400
47,1973-04-30,0.0,27.875,27.625,27.625,10.009011268615723,9800
48,1973-05-01,0.0,27.875,27.75,27.875,10.099593162536621,3600
49,1973-05-02,0.0,27.875,27.75,27.875,10.099593162536621,6500
50,1973-05-03,0.0,28.25,27.75,28.125,10.190167427062988,6100
51,1973-05-04,0.0,28.25,27.875,27.875,10.099593162536621,5100
52,1973-05-07,0.0,28.0,27.875,27.875,10.099593162536621,4600
53,1973-05-08,0.0,28.125,27.875,28.125,10.190167427062988,1700
54,1973-05-09,0.0,28.25,28.0,28.0,10.144885063171387,3200
55,1973-05-10,0.0,27.875,27.75,27.875,10.099593162536621,6600
56,1973-05-11,0.0,28.0,27.875,28.0,10.144885063171387,3300
57,1973-05-14,0.0,27.875,27.75,27.875,10.099593162536621,4100
58,1973-05-15,0.0,27.875,27.625,27.75,10.054299354553223,3900
59,1973-05-16,0.0,27.875,27.75,27.875,10.099593162536621,9200
60,1973-05-17,0.0,27.875,27.625,27.625,10.009011268615723,4200
61,1973-05-18,0.0,27.875,27.625,27.75,10.054299354553223,9900
62,1973-05-21,0.0,27.875,27.625,27.625,10.009011268615723,15100
63,1973-05-22,0.0,28.0,27.5,27.625,10.009011268615723,11500
64,1973-05-23,0.0,27.75,27.5,27.625,10.009011268615723,6700
65,1973-05-24,0.0,27.75,27.5,27.75,10.054299354553223,7500
66,1973-05-25,0.0,27.75,27.25,27.375,9.918436050415039,65600
67,1973-05-29,0.0,27.375,27.125,27.375,9.918436050415039,3600
68,1973-05-30,0.0,27.375,27.0,27.0,9.782561302185059,26900
69,1973-05-31,0.0,27.0,26.75,26.875,9.737272262573242,4700
70,1973-06-01,0.0,27.0,26.75,26.875,9.737272262573242,6900
71,1973-06-04,0.0,26.875,26.625,26.75,9.691987037658691,6700
72,1973-06-05,0.0,26.875,26.625,26.75,9.691987037658691,6800
73,1973-06-06,0.0,27.0,26.625,26.875,9.737272262573242,9200
74,1973-06-07,0.0,27.0,26.75,26.875,9.737272262573242,4600
75,1973-06-08,0.0,27.0,26.875,27.0,9.782561302185059,5000
76,1973-06-11,0.0,27.125,26.875,26.875,9.737272262573242,8300
77,1973-06-12,0.0,27.0,26.875,27.0,9.782561302185059,4200
78,1973-06-13,0.0,27.0,26.625,26.75,9.691987037658691,12400
79,1973-06-14,0.0,27.25,26.75,27.125,9.827852249145508,20200
80,1973-06-15,0.0,27.25,27.125,27.25,9.873141288757324,3800
81,1973-06-18,0.0,27.125,26.875,27.0,9.782561302185059,5700
82,1973-06-19,0.0,27.25,26.75,27.25,9.873141288757324,4300
83,1973-06-20,0.0,27.25,27.0,27.0,9.782561302185059,3400
84,1973-06-21,0.0,27.0,26.875,27.0,9.782561302185059,1800
85,1973-06-22,0.0,27.25,27.0,27.25,9.873141288757324,39300
86,1973-06-25,0.0,27.375,27.0,27.125,9.827852249145508,3200
87,1973-06-26,0.0,27.25,27.0,27.0,9.782561302185059,6900
88,1973-06-27,0.0,27.125,27.0,27.0,9.782561302185059,4400
