,Date,Open,High,Low,Close,Adj Close,Volume
0,1992-02-05,9.125,9.125,8.25,8.625,5.089731693267822,11325800
1,1992-02-06,8.625,8.625,8.375,8.4375,4.979086875915527,5696400
2,1992-02-07,8.4375,8.4375,7.8125,7.8125,4.610263347625732,1698000
3,1992-02-10,7.875,7.875,7.5,7.5625,4.462735652923584,1104400
4,1992-02-11,7.5625,7.6875,7.5625,7.6875,4.536500453948975,656200
5,1992-02-12,7.6875,8.0,7.625,7.9375,4.684027671813965,629600
6,1992-02-13,8.0,8.1875,7.9375,8.0,4.720910549163818,808200
7,1992-02-14,8.0,8.0,7.8125,7.8125,4.610263347625732,418000
8,1992-02-18,7.875,7.875,7.75,7.8125,4.610263347625732,687200
9,1992-02-19,7.8125,8.0,7.8125,8.0,4.720910549163818,638000
10,1992-02-20,8.0,8.0,7.8125,7.8125,4.610263347625732,139000
11,1992-02-21,7.9375,7.9375,7.875,7.9375,4.684027671813965,410600
12,1992-02-24,7.9375,8.0,7.875,7.9375,4.684027671813965,353800
13,1992-02-25,7.9375,7.9375,7.625,7.6875,4.536500453948975,590400
14,1992-02-26,7.75,7.8125,7.5625,7.625,4.4996185302734375,155200
15,1992-02-27,7.625,7.875,7.625,7.6875,4.536500453948975,438000
16,1992-02-28,7.875,7.875,7.75,7.75,4.5733819007873535,266600
17,1992-03-02,7.625,7.9375,7.625,7.8125,4.610263347625732,83800
18,1992-03-03,7.75,7.875,7.75,7.875,4.647145748138428,177400
19,1992-03-04,7.875,7.875,7.75,7.75,4.5733819007873535,247800
20,1992-03-05,7.8125,7.875,7.6875,7.6875,4.536500453948975,131200
21,1992-03-06,7.6875,7.8125,7.6875,7.8125,4.610263347625732,453400
22,1992-03-09,7.75,7.8125,7.75,7.8125,4.610263347625732,114000
23,1992-03-10,7.75,7.8125,7.75,7.75,4.5733819007873535,57800
24,1992-03-11,7.75,7.8125,7.6875,7.6875,4.536500453948975,104200
25,1992-03-12,7.75,7.75,7.6875,7.6875,4.536500453948975,70800
26,1992-03-13,7.6875,7.75,7.6875,7.6875,4.536500453948975,124800
27,1992-03-16,7.75,7.75,7.625,7.75,4.5733819007873535,34600
28,1992-03-17,7.6875,7.75,7.6875,7.6875,4.536500453948975,206200
29,1992-03-18,7.6875,7.6875,7.5625,7.6875,4.536500453948975,53000
30,1992-03-19,7.6875,7.6875,7.5,7.5625,4.462735652923584,155600
31,1992-03-20,7.5,7.5,7.125,7.25,4.278326034545898,218800
32,1992-03-23,7.125,7.1875,6.875,7.0,4.130796909332275,131600
33,1992-03-24,7.0,7.0625,6.75,7.0,4.130796909332275,231200
34,1992-03-25,7.0,7.9375,7.0,7.875,4.647145748138428,662000
35,1992-03-26,7.8125,7.9375,7.625,7.625,4.4996185302734375,162600
36,1992-03-27,7.625,7.625,7.3125,7.3125,4.315208911895752,120600
37,1992-03-30,7.375,7.375,7.1875,7.1875,4.241444110870361,96200
38,1992-03-31,7.125,7.1875,7.0625,7.125,4.204561710357666,96400
