,Date,Open,High,Low,Close,Adj Close,Volume
0,1973-02-21,0.0,22.625,22.125,22.375,4.814025402069092,4300
1,1973-02-22,0.0,22.5,22.125,22.5,4.840919494628906,4000
2,1973-02-23,0.0,22.5,22.0,22.0,4.733343124389648,3500
3,1973-02-26,0.0,22.125,21.75,21.875,4.706451416015625,2200
4,1973-02-27,0.0,21.875,21.5,21.5,4.625767707824707,6400
5,1973-02-28,0.0,21.75,21.5,21.625,4.652661323547363,2200
6,1973-03-01,0.0,21.875,21.5,21.625,4.652661323547363,6200
7,1973-03-02,0.0,21.875,21.625,21.75,4.679555892944336,3100
8,1973-03-05,0.0,22.0,20.5,20.75,4.464404106140137,27800
9,1973-03-06,0.0,21.125,20.875,20.875,4.491298198699951,7900
10,1973-03-07,0.0,21.375,21.0,21.25,4.571981430053711,4400
11,1973-03-08,0.0,21.625,21.0,21.25,4.571981430053711,14200
12,1973-03-09,0.0,21.375,20.875,20.875,4.491298198699951,3600
13,1973-03-12,0.0,20.875,20.5,20.5,4.410616397857666,4800
14,1973-03-13,0.0,21.375,20.5,21.125,4.5450849533081055,8400
15,1973-03-14,0.0,21.25,20.75,21.0,4.518192291259766,9500
16,1973-03-15,0.0,21.375,21.0,21.0,4.518192291259766,6600
17,1973-03-16,0.0,21.375,20.75,20.75,4.464404106140137,5900
18,1973-03-19,0.0,21.0,20.625,20.625,4.437509536743164,5900
19,1973-03-20,0.0,20.5,20.25,20.375,4.383722305297852,6300
20,1973-03-21,0.0,20.375,20.25,20.375,4.383722305297852,5700
21,1973-03-22,0.0,20.375,19.875,19.875,4.2761454582214355,7000
22,1973-03-23,0.0,20.0,19.625,20.0,4.303041458129883,10400
23,1973-03-26,0.0,20.25,20.0,20.25,4.356827735900879,5700
24,1973-03-27,0.0,20.375,20.0,20.25,4.356827735900879,8300
25,1973-03-28,0.0,20.5,20.125,20.25,4.356827735900879,3500
26,1973-03-29,0.0,20.625,20.0,20.5,4.410616397857666,34400
27,1973-03-30,0.0,20.75,20.5,20.625,4.437509536743164,3400
28,1973-04-02,0.0,20.75,19.875,19.875,4.2761454582214355,19000
29,1973-04-03,0.0,19.875,19.75,19.875,4.2761454582214355,7700
30,1973-04-04,0.0,19.875,19.5,19.5,4.195463180541992,17200
